date,open,high,low,close,volume,dividend,split
2015-07-16,22.68,22.99,20.57,21.15,12591100,0,1
2015-07-17,21.24,21.35,20.0,20.04,1260500,0,1
2015-07-20,20.4,21.18,19.58,20.2,485600,0,1
2015-07-21,20.0,20.45,19.62,20.0,207700,0,1
2015-07-22,20.0,20.82,20.0,20.65,199700,0,1
2015-07-23,20.83,20.9,20.33,20.37,95300,0,1
2015-07-24,20.22,20.89,19.79,20.0,139000,0,1
2015-07-27,20.0,20.17,18.28,19.97,576600,0,1
2015-07-28,19.94,20.835,18.72,19.71,294200,0,1
2015-07-29,19.46,19.81,19.27,19.7,150500,0,1
2015-07-30,19.45,19.73,19.0,19.6,188200,0,1
2015-07-31,19.55,19.68,19.43,19.62,99700,0,1
2015-08-03,19.56,20.91,19.44,20.88,267200,0,1
2015-08-04,20.9,21.19,19.7,20.57,299700,0,1
2015-08-05,20.61,20.85,19.8,19.99,237500,0,1
2015-08-06,20.0,20.43,19.75,19.95,129600,0,1
2015-08-07,19.81,20.06,19.8,19.94,151000,0,1
2015-08-10,19.89,20.83,18.8,19.13,310600,0,1
2015-08-11,18.86,19.83,18.79,19.31,220100,0,1
2015-08-12,19.3,19.925,18.95,19.73,145400,0,1
2015-08-13,19.79,19.94,19.12,19.25,101100,0,1
2015-08-14,19.42,20.0,18.97,19.91,201500,0,1
2015-08-17,19.99,20.4,19.165,19.45,265900,0,1
2015-08-18,19.66,20.01,19.18,19.87,110000,0,1
2015-08-19,19.75,20.32,19.52,19.81,162900,0,1
2015-08-20,19.75,20.03,19.54,19.54,132700,0,1
2015-08-21,19.29,19.74,18.28,18.32,332000,0,1
2015-08-24,17.36,17.73,16.72,16.72,314000,0,1
2015-08-25,17.4,17.74,15.7,15.91,493800,0,1
2015-08-26,16.37,16.71,16.22,16.52,230300,0,1
2015-08-27,16.86,17.31,16.415,16.62,321900,0,1
2015-08-28,16.72,17.63,16.59,17.57,169400,0,1
2015-08-31,17.7,17.97,16.97,17.89,184300,0,1
2015-09-01,17.62,18.045,17.26,17.55,126500,0,1
2015-09-02,17.92,17.97,16.98,17.1,380000,0,1
2015-09-03,17.07,17.64,16.22,16.61,365500,0,1
2015-09-04,16.31,17.29,16.31,17.03,185200,0,1
2015-09-08,17.47,17.81,16.95,17.27,236900,0,1
2015-09-09,17.29,18.27,16.998,17.09,326100,0,1
2015-09-10,17.48,18.74,17.31,18.25,582100,0,1
2015-09-11,18.5,18.78,17.71,18.26,498300,0,1
2015-09-14,18.24,18.45,17.78,18.1,405800,0,1
2015-09-15,18.19,18.44,17.74,18.19,238400,0,1
2015-09-16,18.1,18.7,17.99,18.68,283200,0,1
2015-09-17,18.56,18.83,18.25,18.7,257500,0,1
2015-09-18,18.33,18.95,17.53,17.82,882200,0,1
2015-09-21,17.97,18.64,17.19,17.31,269700,0,1
2015-09-22,17.15,17.31,16.82,17.27,244500,0,1
2015-09-23,17.25,17.405,16.18,16.36,271400,0,1
2015-09-24,16.34,17.96,15.86,16.14,257300,0,1
2015-09-25,16.34,17.094,15.96,16.35,336800,0,1
2015-09-28,16.29,16.39,15.63,16.16,459100,0,1
2015-09-29,16.31,16.81,16.04,16.49,376400,0,1
2015-09-30,16.56,16.935,15.995,16.17,2560500,0,1
2015-10-01,16.25,16.63,15.45,16.08,536700,0,1
2015-10-02,16.29,16.82,15.725,16.73,471900,0,1
2015-10-05,16.83,16.875,16.29,16.66,321800,0,1
2015-10-06,16.57,16.62,15.95,16.39,227400,0,1
2015-10-07,16.4,16.76,16.22,16.59,243400,0,1
2015-10-08,16.49,16.6,16.08,16.49,175500,0,1
2015-10-09,16.49,17.11,16.4,17.1,188000,0,1
2015-10-12,17.03,17.19,16.2,16.94,249800,0,1
2015-10-13,16.82,17.1,16.73,16.99,265400,0,1
2015-10-14,16.98,17.438,16.095,16.3,331500,0,1
2015-10-15,16.28,16.504,15.62,16.18,177900,0,1
2015-10-16,16.2,16.32,15.69,15.91,336800,0,1
2015-10-19,15.82,15.96,15.65,15.66,159100,0,1
2015-10-20,15.69,15.978,15.25,15.38,156300,0,1
2015-10-21,15.49,15.6,15.17,15.4,209000,0,1
2015-10-22,15.45,15.72,15.22,15.55,599800,0,1
2015-10-23,15.6,15.786,15.0,15.28,119200,0,1
2015-10-26,15.19,15.67,15.0,15.49,131800,0,1
2015-10-27,15.4,15.46,14.88,15.28,322300,0,1
2015-10-28,15.47,15.91,15.19,15.34,234100,0,1
2015-10-29,15.24,15.97,15.24,15.92,249000,0,1
