date,open,high,low,close,volume,dividend,split
2000-01-03,2.25,2.3281,2.2422,2.3125,1087200,0,1
2000-01-04,2.3438,2.3438,2.2656,2.2969,1038400,0,1
2000-01-05,2.3047,2.3672,2.2891,2.3203,1565600,0,1
2000-01-06,2.3047,2.4531,2.25,2.4297,5441600,0,1
2000-01-07,2.3438,2.5781,2.3359,2.3672,2848800,0,1
2000-01-10,2.375,2.4531,2.3125,2.3438,1300000,0,1
2000-01-11,2.3125,2.375,2.3125,2.3438,1750400,0,1
2000-01-12,2.3281,2.3438,2.2656,2.3203,900800,0,1
2000-01-13,2.2812,2.375,2.2812,2.3594,1905600,0,1
2000-01-14,2.3594,2.4062,2.3047,2.3047,835200,0,1
2000-01-18,2.3438,2.4609,2.3047,2.4219,3758400,0,1
2000-01-19,2.5312,2.6172,2.4375,2.4531,4390400,0,1
2000-01-20,2.5273,2.5312,2.4453,2.4453,2037600,0,1
2000-01-21,2.5,2.5078,2.4062,2.4141,484800,0,1
2000-01-24,2.3828,2.4141,2.2344,2.3516,1155200,0,1
2000-01-25,2.3438,2.4062,2.25,2.3828,1709600,0,1
2000-01-26,2.3594,2.4062,2.3125,2.3125,836800,0,1
2000-01-27,2.2969,2.6562,2.2812,2.6406,5383200,0,1
2000-01-28,2.5312,2.7266,2.4766,2.5625,3506400,0,1
2000-01-31,2.5586,2.5625,2.5,2.5469,1556000,0,1
2000-02-01,2.5625,3.1016,2.5312,3.0781,8680000,0,1
2000-02-02,3.0078,3.4688,2.9844,3.2969,6088800,0,1
2000-02-03,3.3281,3.4844,3.3125,3.4141,3083200,0,1
2000-02-04,3.3828,3.3906,3.2734,3.3594,3003200,0,1
2000-02-07,3.2812,3.4297,3.1875,3.4297,2264800,0,1
2000-02-08,3.4141,3.75,3.4141,3.7422,2199200,0,1
2000-02-09,3.75,4.0,3.7031,3.8047,2648800,0,1
2000-02-10,3.8438,3.8828,3.5938,3.6172,1195200,0,1
2000-02-11,3.5781,3.6875,3.5312,3.6797,1115200,0,1
2000-02-14,3.6914,3.8828,3.6719,3.7031,1193600,0,1
2000-02-15,3.6562,4.5625,3.6406,4.2422,6524000,0,1
2000-02-16,4.2344,4.3203,4.2188,4.2344,1536000,0,1
2000-02-17,4.2656,4.4453,4.1875,4.2031,2189600,0,1
2000-02-18,4.2109,4.3164,4.1562,4.2344,3354400,0,1
2000-02-22,4.2734,4.3594,3.875,3.9219,2768800,0,1
2000-02-23,3.9297,4.2109,3.8359,4.1875,3007200,0,1
2000-02-24,4.2344,6.0234,4.2344,5.7422,18020800,0,1
2000-02-25,5.8359,6.7656,4.8906,4.9922,22417600,0,1
2000-02-28,5.1406,5.3438,4.8359,5.0,2850400,0,1
2000-02-29,5.0391,6.25,5.0391,5.9609,5751200,0,1
2000-03-01,5.9375,7.2812,5.8125,6.9688,6190400,0,1
2000-03-02,6.75,7.5781,6.5625,6.7734,8404000,0,1
2000-03-03,6.7422,7.25,6.4844,6.6016,2307200,0,1
2000-03-06,6.6953,6.9141,6.5312,6.8125,1818400,0,1
2000-03-07,6.7578,7.0,6.6016,6.6016,2341600,0,1
2000-03-08,6.5781,6.5938,6.0625,6.3125,2817600,0,1
2000-03-09,6.3203,6.7188,6.3125,6.6719,4268000,0,1
2000-03-10,6.625,6.6719,6.3281,6.4297,1832800,0,1
2000-03-13,6.2188,6.2344,5.7812,5.8125,1755200,0,1
2000-03-14,5.793,6.2188,5.7266,5.9531,2013600,0,1
2000-03-15,5.8594,6.0,4.7969,5.1328,4053600,0,1
2000-03-16,5.1211,5.5781,4.8594,5.1875,5652000,0,1
2000-03-17,5.1562,5.375,5.0703,5.1875,1702400,0,1
2000-03-20,5.1875,5.1875,4.375,4.75,4228800,0,1
2000-03-21,4.7344,4.7383,4.2578,4.4297,5848800,0,1
2000-03-22,4.4062,4.6875,4.3438,4.5312,7856800,0,1
2000-03-23,4.5312,4.7812,4.3594,4.7344,3580000,0,1
2000-03-24,4.7891,5.3594,4.75,5.0781,2315200,0,1
2000-03-27,5.0781,5.0781,4.8594,4.9219,816800,0,1
2000-03-28,4.9297,4.9766,4.4609,4.5156,1520000,0,1
2000-03-29,4.7305,4.9375,4.3125,4.375,3683200,0,1
2000-03-30,4.25,4.3438,3.8281,3.875,2038400,0,1
2000-03-31,3.9375,4.0,3.7109,3.7109,1837600,0,1
2000-04-03,3.7188,3.9844,3.25,3.2969,2102400,0,1
2000-04-04,3.3047,3.3594,2.5469,2.9219,3939200,0,1
2000-04-05,2.8906,3.4219,2.8438,3.2578,3079200,0,1
2000-04-06,3.375,3.8125,3.375,3.6172,2957600,0,1
2000-04-07,3.9375,4.2188,3.8281,3.8672,2685600,0,1
2000-04-10,3.9375,4.125,3.5859,3.6094,2716800,0,1
2000-04-11,3.5469,3.8203,3.375,3.375,1420800,0,1
2000-04-12,3.375,3.3984,3.0156,3.0391,1516800,0,1
2000-04-13,3.0625,3.5,3.0312,3.0391,1714400,0,1
2000-04-14,3.0078,3.0469,2.5469,2.5469,2324000,0,1
2000-04-17,2.5664,2.7969,2.5312,2.7969,2281600,0,1
2000-04-18,2.9141,3.2812,2.8125,3.1641,1875200,0,1
