date,open,high,low,close,volume,dividend,split
2006-02-27,28.62,29.33,28.0,28.95,3042200,0,1
2006-02-28,29.0,29.0,28.0,28.8,1837800,0,1
2006-03-01,29.4,30.49,29.15,29.9,1604800,0,1
2006-03-02,30.0,30.5,29.89,30.3,631800,0,1
2006-03-03,30.0,30.2,29.48,29.65,726100,0,1
2006-03-06,29.85,30.0,29.0,29.1,477400,0,1
2006-03-07,29.0,29.3,28.79,29.05,495900,0,1
2006-03-08,29.5,29.5,28.77,28.95,298000,0,1
2006-03-09,29.0,29.5,29.0,29.45,878700,0,1
2006-03-10,29.51,29.55,29.05,29.55,353600,0,1
2006-03-13,29.55,30.9,29.55,30.5,670100,0,1
2006-03-14,30.05,30.7,30.0,30.7,343700,0,1
2006-03-15,31.0,32.5,31.0,32.15,759600,0,1
2006-03-16,32.1,32.9,32.0,32.69,425300,0,1
2006-03-17,32.81,33.0,32.06,32.85,57200,0,1
2006-03-20,32.9,33.2,32.6,33.15,246200,0,1
2006-03-21,33.05,34.0,33.0,33.8,58500,0,1
2006-03-22,33.9,34.0,33.4,34.0,255400,0,1
2006-03-23,34.1,34.15,33.55,34.0,258300,0,1
2006-03-24,34.17,34.17,32.06,32.59,340100,0,1
2006-03-27,32.59,32.59,30.87,30.9,516000,0,1
2006-03-28,30.9,32.4,30.85,32.39,451000,0,1
2006-03-29,33.0,33.0,31.55,32.7,250000,0,1
2006-03-30,32.5,32.8,31.79,31.99,123000,0,1
2006-03-31,31.74,32.25,31.43,31.95,107300,0,1
2006-04-03,32.1,32.53,31.5,31.7,165400,0,1
2006-04-04,31.7,31.8,31.1,31.4,165900,0,1
2006-04-05,31.4,31.4,30.75,31.0,391200,0,1
2006-04-06,31.25,31.45,31.0,31.2,213100,0,1
2006-04-07,31.27,31.6,31.21,31.3,328900,0,1
2006-04-10,31.15,31.5,31.06,31.1,159300,0,1
2006-04-11,31.03,31.1,29.43,29.72,533400,0,1
2006-04-12,29.85,30.13,29.0,29.49,567900,0,1
2006-04-13,29.65,29.95,28.8,29.35,336000,0,1
2006-04-17,29.36,29.84,29.25,29.47,184000,0,1
2006-04-18,29.48,30.18,29.48,30.1,449800,0,1
2006-04-19,30.1,30.5,30.1,30.37,455000,0,1
2006-04-20,30.37,30.65,30.37,30.65,180900,0,1
2006-04-21,30.65,31.05,30.64,30.86,73400,0,1
2006-04-24,30.75,31.3,30.75,31.3,228100,0,1
2006-04-25,31.45,31.45,31.04,31.25,185500,0,1
2006-04-26,31.37,31.8,31.37,31.71,568700,0,1
2006-04-27,31.72,35.75,31.7,34.1,1481800,0,1
2006-04-28,34.5,34.5,33.2,33.28,180300,0,1
2006-05-01,34.0,34.6,34.0,34.2,198100,0,1
2006-05-02,34.35,36.74,34.32,36.08,1083000,0,1
2006-05-03,35.75,36.25,34.87,35.48,688000,0,1
2006-05-04,35.75,35.98,35.33,35.45,364700,0,1
2006-05-05,35.65,36.35,35.6,36.15,403900,0,1
2006-05-08,36.6,38.5,36.35,37.23,563000,0,1
2006-05-09,37.5,38.5,37.32,38.11,771200,0,1
2006-05-10,38.11,38.35,37.8,38.3,399100,0,1
2006-05-11,39.1,39.35,37.36,37.41,347400,0,1
2006-05-12,37.0,37.0,35.12,35.62,390400,0,1
2006-05-15,35.59,36.25,35.4,35.69,316100,0,1
2006-05-16,36.2,36.3,35.59,35.7,590900,0,1
2006-05-17,35.6,35.78,34.07,34.45,245600,0,1
2006-05-18,34.5,35.0,33.75,33.76,294700,0,1
2006-05-19,33.9,34.01,32.6,33.95,852900,0,1
2006-05-22,33.8,33.8,31.62,32.76,699000,0,1
2006-05-23,33.0,33.25,32.2,32.61,466300,0,1
2006-05-24,32.75,32.84,31.35,32.0,666500,0,1
2006-05-25,32.25,33.95,32.2,33.95,561300,0,1
2006-05-26,34.35,34.65,34.02,34.31,105800,0,1
2006-05-30,33.85,34.0,33.25,33.43,158800,0,1
2006-05-31,33.55,33.59,32.5,33.3,320000,0,1
2006-06-01,33.5,33.65,32.52,32.75,157400,0,1
2006-06-02,33.0,33.32,32.51,32.6,319600,0,1
2006-06-05,33.0,33.0,31.46,31.46,139800,0,1
2006-06-06,31.25,31.64,30.6,31.4,655900,0,1
2006-06-07,31.6,31.75,31.0,31.11,237400,0,1
2006-06-08,31.1,31.13,29.36,30.52,305200,0,1
2006-06-09,30.75,31.34,29.8,30.0,223800,0,1
2006-06-12,30.1,30.33,29.45,29.64,180500,0,1
2006-06-13,29.9,30.36,29.44,29.65,386400,0,1
2006-06-14,29.65,30.05,27.95,28.3,322800,0,1
2006-06-15,28.8,30.38,28.8,30.24,302900,0,1
2006-06-16,30.27,30.35,29.88,30.15,145300,0,1
2006-06-19,30.15,30.4,29.28,29.28,75000,0,1
2006-06-20,29.1,29.6,28.87,29.6,150700,0,1
2006-06-21,29.6,30.59,29.49,29.75,257100,0,1
2006-06-22,29.7,30.03,29.56,29.66,61500,0,1
2006-06-23,29.6,30.58,29.6,30.58,101200,0,1
2006-06-26,30.55,31.21,30.55,30.71,145100,0,1
2006-06-27,30.85,31.17,30.35,30.66,143500,0,1
2006-06-28,30.8,30.85,29.99,30.15,86200,0,1
2006-06-29,30.05,30.99,29.9,30.75,143600,0,1
2006-06-30,30.8,32.45,30.76,31.85,249500,0,1
2006-07-03,32.25,33.75,32.25,32.92,155500,0,1
2006-07-05,33.59,33.59,32.55,32.8,113500,0,1
2006-07-06,32.95,33.32,32.75,32.9,223400,0,1
2006-07-07,32.9,33.25,32.9,33.0,119500,0,1
2006-07-10,33.0,33.66,32.9,32.9,300600,0,1
2006-07-11,32.72,32.84,32.0,32.8,112300,0,1
2006-07-12,32.7,32.84,31.5,31.64,112200,0,1
2006-07-13,31.55,31.56,30.85,31.1,77900,0,1
2006-07-14,30.9,30.9,30.4,30.65,55600,0,1
2006-07-17,30.52,31.24,30.38,31.1,108200,0,1
2006-07-18,31.2,31.42,30.4,30.45,283900,0,1
2006-07-19,30.6,31.23,30.51,31.0,405000,0,1
2006-07-20,31.1,31.37,30.95,30.95,152900,0,1
2006-07-21,30.99,30.99,30.55,30.74,95000,0,1
2006-07-24,30.74,31.42,30.73,30.75,117800,0,1
2006-07-25,30.55,30.55,29.91,30.05,236600,0,1
2006-07-26,30.0,30.02,28.62,29.1,1381300,0,1
2006-07-27,29.05,29.96,29.0,29.7,473500,0,1
2006-07-28,29.55,30.37,29.55,29.82,772400,0,1
2006-07-31,29.7,29.93,29.15,29.93,443100,0,1
2006-08-01,29.9,30.5,29.83,30.25,352000,0,1
2006-08-02,30.15,30.6,30.0,30.25,340700,0,1
2006-08-03,30.25,30.34,29.94,30.24,140600,0,1
2006-08-04,30.48,31.5,30.48,31.01,405500,0,1
2006-08-07,31.0,31.39,30.88,31.03,157100,0,1
2006-08-08,31.0,31.09,30.79,31.01,173800,0,1
2006-08-09,31.1,31.1,30.2,30.21,328700,0,1
2006-08-10,30.05,31.48,30.0,31.4,240100,0,1
2006-08-11,31.41,31.41,30.01,30.14,430300,0,1
2006-08-14,30.14,31.0,30.14,30.65,74200,0,1
2006-08-15,30.65,31.35,30.65,31.15,127100,0,1
2006-08-16,31.4,32.0,31.35,32.0,527900,0,1
2006-08-17,31.85,32.55,31.75,32.4,298900,0,1
2006-08-18,32.35,32.48,32.0,32.3,101400,0,1
2006-08-21,32.25,32.4,31.86,31.98,150900,0,1
2006-08-22,31.99,33.39,31.99,32.9,340200,0,1
2006-08-23,32.9,33.06,32.5,32.53,260100,0,1
2006-08-24,32.7,32.7,31.43,31.54,180100,0,1
2006-08-25,31.54,32.02,31.45,31.62,159000,0,1
2006-08-28,31.4,32.96,31.4,32.6,101000,0,1
2006-08-29,32.52,32.98,32.52,32.9,130200,0,1
2006-08-30,32.95,33.96,32.7,33.87,234000,0,1
2006-08-31,34.0,34.0,33.51,33.95,155600,0,1
2006-09-01,33.95,34.2,33.59,34.09,222000,0,1
2006-09-05,34.09,34.4,34.09,34.16,137500,0,1
2006-09-06,34.18,34.18,33.21,33.3,236500,0,1
2006-09-07,33.25,33.25,32.2,32.68,203800,0,1
2006-09-08,33.15,34.76,32.9,34.51,269600,0,1
2006-09-11,34.45,34.89,33.61,34.0,271900,0,1
2006-09-12,33.95,35.5,33.75,35.0,463500,0,1
2006-09-13,34.95,35.99,34.95,35.69,243300,0,1
2006-09-14,35.95,36.0,35.34,35.5,98400,0,1
2006-09-15,35.6,35.95,35.12,35.14,62600,0,1
2006-09-18,35.05,35.52,34.67,34.72,87900,0,1
2006-09-19,34.67,34.67,33.7,33.81,227300,0,1
2006-09-20,33.81,34.46,33.79,34.15,216900,0,1
2006-09-21,34.05,35.5,33.99,34.56,318900,0,1
2006-09-22,34.4,34.4,33.66,33.77,313700,0,1
2006-09-25,33.55,33.7,33.4,33.4,220500,0,1
2006-09-26,33.5,33.84,33.5,33.63,61500,0,1
2006-09-27,33.73,33.95,33.5,33.89,292100,0,1
2006-09-28,33.94,34.0,33.73,33.8,80100,0,1
2006-09-29,33.85,34.16,33.02,34.0,285800,0,1
2006-10-02,34.25,34.83,34.1,34.1,197100,0,1
2006-10-03,34.15,34.25,33.5,33.57,56400,0,1
2006-10-04,33.5,34.4,33.5,34.38,225700,0,1
2006-10-05,34.19,34.86,34.19,34.62,412400,0,1
2006-10-06,34.37,34.5,33.92,34.17,569700,0,1
2006-10-09,34.3,34.95,33.86,34.9,182400,0,1
2006-10-10,34.9,35.72,34.86,35.59,377000,0,1
2006-10-11,35.61,35.71,35.41,35.49,133400,0,1
2006-10-12,35.65,35.7,35.39,35.6,110900,0,1
2006-10-13,35.43,35.84,35.33,35.83,182600,0,1
2006-10-16,35.63,36.03,35.63,36.0,118500,0,1
2006-10-17,35.9,35.9,34.53,35.5,275700,0,1
2006-10-18,35.64,36.47,35.64,36.38,168200,0,1
2006-10-19,36.2,36.85,36.2,36.78,116800,0,1
2006-10-20,36.7,36.85,36.57,36.57,90800,0,1
2006-10-23,36.57,37.16,36.56,36.9,224800,0,1
2006-10-24,36.8,37.55,36.48,37.55,122500,0,1
2006-10-25,37.71,37.74,37.04,37.28,110400,0,1
2006-10-26,37.53,37.63,37.4,37.5,145200,0,1
2006-10-27,37.4,37.66,37.05,37.66,169400,0,1
2006-10-30,37.75,37.76,36.96,37.37,184100,0,1
2006-10-31,37.62,38.0,37.46,37.74,375500,0,1
2006-11-01,37.89,37.99,37.07,37.25,237900,0,1
2006-11-02,37.25,37.59,37.08,37.3,154300,0,1
2006-11-03,37.45,37.82,37.39,37.7,49100,0,1
2006-11-06,37.8,39.25,37.54,39.09,571500,0,1
2006-11-07,39.09,40.24,38.88,39.2,872300,0,1
2006-11-08,39.15,39.32,38.26,38.36,229400,0,1
2006-11-09,38.41,39.0,38.41,38.69,87600,0,1
2006-11-10,38.94,38.98,38.38,38.72,281600,0,1
2006-11-13,38.89,38.96,38.15,38.34,108900,0,1
2006-11-14,38.24,38.56,38.11,38.45,77500,0,1
2006-11-15,38.25,38.87,38.25,38.75,183300,0,1
2006-11-16,39.0,39.09,38.8,38.85,57500,0,1
2006-11-17,38.85,38.9,38.05,38.33,233700,0,1
2006-11-20,38.4,38.52,37.99,38.16,106700,0,1
2006-11-21,38.15,38.15,37.5,37.6,160900,0,1
2006-11-22,37.55,38.29,37.55,38.2,371600,0,1
2006-11-24,38.15,39.5,38.09,39.35,316500,0,1
2006-11-27,39.0,39.0,37.93,38.21,266600,0,1
2006-11-28,38.05,39.09,38.0,39.01,270000,0,1
2006-11-29,39.48,39.71,38.9,39.65,472400,0,1
2006-11-30,39.9,39.99,39.4,39.49,225100,0,1
2006-12-01,39.68,39.75,38.9,39.75,269400,0,1
2006-12-04,39.6,39.8,39.36,39.36,155900,0,1
2006-12-05,39.22,39.3,38.5,38.55,438600,0,1
2006-12-06,38.22,38.43,37.5,37.7,479600,0,1
2006-12-07,37.85,38.49,37.4,38.11,306900,0,1
2006-12-08,37.9,38.3,37.02,38.25,580700,0,1
2006-12-11,38.1,38.49,37.95,38.31,177100,0,1
2006-12-12,38.35,38.45,37.92,38.28,70700,0,1
2006-12-13,38.15,38.5,38.15,38.2,78100,0,1
2006-12-14,38.0,38.3,37.96,38.18,163300,0,1
2006-12-15,38.43,38.95,38.15,38.74,123300,0,1
2006-12-18,38.65,38.9,36.91,38.74,115100,0,1
2006-12-19,38.6,38.7,37.9,38.54,140100,0,1
2006-12-20,38.7,39.19,38.54,38.81,155200,0,1
2006-12-21,38.71,38.98,38.55,38.9,174800,0,1
2006-12-22,39.0,39.15,38.64,38.85,106000,0,1
2006-12-26,38.8,39.2,38.63,39.15,102400,0,1
2006-12-27,39.15,39.8,39.05,39.52,359600,0,1
2006-12-28,39.68,39.7,39.26,39.26,101300,0,1
2006-12-29,39.01,39.31,39.0,39.19,81400,0,1
2007-01-03,39.4,39.93,38.95,39.55,337400,0,1
2007-01-04,39.3,39.3,38.5,38.62,169700,0,1
2007-01-05,38.7,38.7,37.61,38.23,159600,0,1
2007-01-08,37.98,38.97,37.98,38.65,95000,0,1
2007-01-09,38.5,38.6,37.75,38.0,226200,0,1
2007-01-10,37.75,38.4,37.5,38.3,129900,0,1
2007-01-11,38.35,39.98,38.35,39.94,314200,0,1
2007-01-12,39.8,40.97,39.4,40.5,660600,0,1
2007-01-16,40.47,41.79,40.32,41.5,580300,0,1
2007-01-17,41.25,42.25,41.13,42.01,172700,0,1
2007-01-18,42.4,42.5,40.85,40.96,247200,0,1
2007-01-19,41.17,41.77,40.83,41.29,329000,0,1
2007-01-22,41.27,41.72,40.8,41.44,236900,0,1
2007-01-23,41.43,41.44,40.71,41.07,282500,0,1
2007-01-24,41.07,41.33,40.85,41.07,168300,0,1
2007-01-25,40.82,41.14,39.75,39.76,131400,0,1
2007-01-26,39.65,39.75,38.57,39.43,342700,0,1
2007-01-29,39.46,39.79,38.47,38.65,307600,0,1
2007-01-30,38.7,39.6,38.64,39.17,521000,0,1
2007-01-31,38.85,40.85,38.85,40.46,599200,0,1
2007-02-01,40.74,41.16,40.3,40.94,194200,0,1
2007-02-02,41.05,41.28,40.71,41.2,70300,0,1
2007-02-05,41.4,42.03,41.02,41.83,225200,0,1
2007-02-06,41.84,41.85,41.14,41.45,149200,0,1
2007-02-07,41.5,43.73,41.4,43.73,566400,0,1
2007-02-08,43.8,43.96,43.12,43.66,179200,0,1
2007-02-09,43.86,43.96,42.92,42.93,149400,0,1
2007-02-12,42.9,42.96,41.92,41.92,145600,0,1
2007-02-13,42.1,42.62,41.95,42.42,204400,0,1
2007-02-14,42.6,43.18,42.44,42.6,207800,0,1
2007-02-15,42.75,42.75,42.09,42.3,351800,0,1
2007-02-16,41.5,42.74,41.31,42.64,281500,0,1
2007-02-20,42.55,44.6,42.55,44.34,275200,0,1
2007-02-21,44.25,44.77,43.63,44.6,199100,0,1
2007-02-22,44.85,45.28,44.53,44.92,407200,0,1
2007-02-23,44.88,44.98,44.09,44.21,242300,0,1
2007-02-26,43.98,43.98,41.86,42.27,461400,0,1
2007-02-27,42.25,42.29,40.52,41.07,743300,0,1
2007-02-28,41.27,42.0,40.52,41.5,339000,0,1
2007-03-01,41.03,41.48,40.28,40.65,248200,0,1
2007-03-02,40.5,40.73,40.06,40.73,431700,0,1
2007-03-05,40.71,40.71,39.21,39.38,255000,0,1
2007-03-06,40.25,40.56,39.88,40.11,374600,0,1
2007-03-07,40.14,41.09,40.07,41.0,318300,0,1
2007-03-08,41.0,43.42,41.0,42.26,593800,0,1
2007-03-09,42.51,43.26,42.21,42.4,204900,0,1
2007-03-12,42.33,43.01,42.23,42.82,279800,0,1
2007-03-13,42.5,43.16,41.28,41.8,374000,0,1
2007-03-14,41.7,42.3,41.22,41.89,295900,0,1
2007-03-15,41.81,42.01,40.92,40.97,279500,0,1
2007-03-16,41.14,41.24,40.35,40.49,189200,0,1
2007-03-19,40.6,41.5,40.6,41.22,76900,0,1
2007-03-20,41.2,42.45,41.1,41.99,167200,0,1
2007-03-21,42.0,43.42,42.0,43.37,253600,0,1
2007-03-22,43.36,43.58,42.92,43.23,131400,0,1
2007-03-23,43.14,43.26,42.64,42.8,630700,0,1
2007-03-26,42.55,42.85,41.93,42.05,233200,0,1
2007-03-27,41.5,41.92,41.29,41.55,393300,0,1
2007-03-28,41.55,41.66,41.07,41.36,179400,0,1
2007-03-29,41.26,42.08,41.17,41.92,138000,0,1
2007-03-30,43.4,44.5,42.13,43.0,889700,0,1
2007-04-02,43.0,43.52,42.46,43.18,233100,0,1
2007-04-03,43.1,44.12,43.1,44.06,408900,0,1
2007-04-04,44.25,44.72,44.25,44.58,294300,0,1
2007-04-05,44.54,44.79,43.29,44.12,151900,0,1
2007-04-09,44.05,45.0,43.95,44.91,211400,0,1
