date,open,high,low,close,volume,dividend,split
2012-07-20,55.15,62.07,53.1,53.13,7016100,0,1
2012-07-23,52.6,54.0,51.1,51.51,788400,0,1
2012-07-24,52.0,56.0,51.52,55.5,716800,0,1
2012-07-25,56.5,59.0,55.3,58.95,599700,0,1
2012-07-26,59.78,61.85,58.08,59.88,427800,0,1
2012-07-27,60.88,60.88,57.0,57.0,153400,0,1
2012-07-30,56.86,56.86,53.92,55.0,276400,0,1
2012-07-31,55.0,57.14,52.21,57.14,285400,0,1
2012-08-01,58.72,58.72,55.14,56.18,110900,0,1
2012-08-02,55.68,60.0,53.27,55.1,166000,0,1
2012-08-03,56.65,56.9,54.25,54.79,290900,0,1
2012-08-06,55.7,55.92,53.68,54.78,156300,0,1
2012-08-07,55.0,57.44,54.52,56.8,365800,0,1
2012-08-08,56.2,61.0,55.87,60.93,503900,0,1
2012-08-09,61.0,62.46,59.86,61.33,292700,0,1
2012-08-10,61.0,63.97,60.49,61.32,285100,0,1
2012-08-13,61.1,63.08,60.0,62.72,222000,0,1
2012-08-14,64.13,64.36,59.33,59.8,473700,0,1
2012-08-15,59.6,62.9,57.7,62.73,253800,0,1
2012-08-16,63.5,66.91,61.87,66.5,371800,0,1
2012-08-17,67.1,68.5,64.84,67.29,384600,0,1
2012-08-20,66.78,67.15,64.97,65.47,270000,0,1
2012-08-21,65.48,66.43,63.28,64.32,247600,0,1
2012-08-22,65.06,65.17,63.12,63.25,124600,0,1
2012-08-23,63.2,64.88,62.5,64.14,215300,0,1
2012-08-24,63.45,65.77,63.25,64.77,202900,0,1
2012-08-27,65.05,65.84,62.62,63.69,177000,0,1
2012-08-28,63.7,64.41,62.91,63.9,104200,0,1
2012-08-29,64.22,65.1,63.1,64.73,162000,0,1
2012-08-30,64.71,66.67,63.27,63.43,229900,0,1
2012-08-31,64.48,64.58,63.1,64.38,92300,0,1
2012-09-04,65.3,70.28,63.9,70.21,767800,0,1
2012-09-05,72.61,72.61,69.12,70.0,473000,0,1
2012-09-06,70.71,72.0,70.38,71.41,224800,0,1
2012-09-07,72.16,72.22,69.36,70.74,589900,0,1
2012-09-10,71.51,72.6,71.13,71.75,1384900,0,1
2012-09-11,66.75,69.74,64.33,66.6,3025800,0,1
2012-09-12,67.68,68.25,64.75,64.86,689100,0,1
2012-09-13,64.75,68.23,64.75,67.98,767500,0,1
2012-09-14,68.59,68.97,66.88,66.99,424700,0,1
2012-09-17,66.72,67.98,66.58,67.91,148400,0,1
2012-09-18,67.01,70.33,67.01,69.18,432500,0,1
2012-09-19,68.96,68.98,67.5,68.0,391500,0,1
2012-09-20,66.69,67.41,64.64,65.05,258500,0,1
2012-09-21,65.45,65.5,62.24,64.02,525400,0,1
2012-09-24,63.98,64.85,62.41,64.66,304700,0,1
2012-09-25,65.4,66.55,64.14,64.17,378600,0,1
2012-09-26,63.97,63.97,62.55,63.25,392700,0,1
2012-09-27,64.0,65.23,63.37,65.07,376100,0,1
2012-09-28,65.0,65.31,61.27,61.57,1065000,0,1
2012-10-01,61.61,63.19,60.24,60.6,397200,0,1
2012-10-02,61.65,62.4,59.98,62.0,368900,0,1
2012-10-03,62.85,66.22,62.15,65.86,831100,0,1
2012-10-04,65.82,65.97,64.55,65.76,176300,0,1
2012-10-05,65.25,65.62,60.88,62.0,763900,0,1
2012-10-08,62.36,62.84,61.45,62.07,197000,0,1
2012-10-09,61.17,62.89,60.98,61.96,247000,0,1
2012-10-10,61.6,63.5,61.4,61.44,545900,0,1
2012-10-11,62.06,62.46,60.75,60.96,295800,0,1
2012-10-12,62.5,63.15,61.08,62.96,320400,0,1
2012-10-15,63.11,65.8,62.92,65.55,295000,0,1
