date,open,high,low,close,volume,dividend,split
2000-01-03,5.5625,5.6172,5.4688,5.4688,183800,0,1
2000-01-04,5.2812,5.4375,5.1562,5.25,226800,0,1
2000-01-05,5.0938,5.25,4.75,4.75,245800,0,1
2000-01-06,4.75,5.0,4.625,4.8125,151400,0,1
2000-01-07,4.8359,5.125,4.75,5.125,89600,0,1
2000-01-10,4.875,5.1875,4.8125,5.125,125200,0,1
2000-01-11,5.1562,5.5,4.9375,5.4375,280000,0,1
2000-01-12,5.625,6.0,5.25,5.4375,267800,0,1
2000-01-13,5.3125,5.75,5.3125,5.5312,125800,0,1
2000-01-14,5.4375,5.5312,5.3438,5.375,78000,0,1
2000-01-18,5.2812,5.75,5.2812,5.75,134200,0,1
2000-01-19,5.7188,5.9375,5.5,5.9375,197800,0,1
2000-01-20,5.8594,6.125,5.6562,6.0,396200,0,1
2000-01-21,6.0938,7.25,6.0625,7.125,955200,0,1
2000-01-24,6.8594,7.0625,6.5625,6.625,551200,0,1
2000-01-25,6.625,6.7188,6.3125,6.625,143200,0,1
2000-01-26,6.5938,8.75,6.5938,8.5,818800,0,1
2000-01-27,8.1562,8.7812,7.9375,8.5312,507200,0,1
2000-01-28,8.5,8.5469,6.1875,6.8125,605800,0,1
2000-01-31,6.0625,6.5,5.5938,6.4062,253400,0,1
2000-02-01,6.375,6.75,6.0,6.625,168200,0,1
2000-02-02,6.6719,7.0625,6.625,7.0625,215000,0,1
2000-02-03,7.0625,7.3281,6.875,7.2812,150200,0,1
2000-02-04,7.2188,7.25,6.375,6.9375,138800,0,1
2000-02-07,7.1875,8.25,7.1562,8.2188,262600,0,1
2000-02-08,8.0,8.5,7.5,8.5,258200,0,1
2000-02-09,8.5,8.625,7.75,8.5,387000,0,1
2000-02-10,8.3125,8.75,8.3125,8.375,160600,0,1
2000-02-11,8.25,8.6875,7.875,8.0,117200,0,1
2000-02-14,7.9688,8.375,7.9688,8.3125,98600,0,1
2000-02-15,8.0,9.0,7.8125,8.9688,253400,0,1
2000-02-16,8.9062,9.6875,8.8125,9.5312,173200,0,1
2000-02-17,9.6875,9.6875,9.375,9.625,183000,0,1
2000-02-18,9.6562,10.0,9.4375,9.7812,203400,0,1
2000-02-22,9.7812,9.7969,8.5,9.1875,223400,0,1
2000-02-23,9.2812,9.2812,8.9375,9.25,56200,0,1
2000-02-24,9.0,9.5625,9.0,9.5625,85200,0,1
2000-02-25,9.5,9.75,9.4688,9.75,121200,0,1
2000-02-28,9.75,10.3125,9.5625,10.2812,177000,0,1
2000-02-29,10.3438,11.8047,10.25,11.75,187800,0,1
2000-03-01,11.5625,13.0,11.5312,12.75,368200,0,1
2000-03-02,12.8125,13.0312,12.5625,12.9375,254400,0,1
2000-03-03,12.9062,13.0,12.75,12.875,218000,0,1
2000-03-06,12.875,13.0,12.75,12.9062,120400,0,1
2000-03-07,12.8125,12.9375,11.375,12.125,162600,0,1
2000-03-08,11.1875,12.0625,11.125,12.0,341200,0,1
2000-03-09,11.9688,12.0,11.875,11.9375,54400,0,1
2000-03-10,11.9688,12.25,11.875,12.25,184600,0,1
2000-03-13,11.2812,11.625,10.0312,10.875,365000,0,1
2000-03-14,11.375,11.4688,10.1562,10.2188,119800,0,1
2000-03-15,10.25,10.4375,8.5,9.4375,191400,0,1
2000-03-16,9.4375,9.625,8.6875,9.3125,450600,0,1
2000-03-17,8.9219,9.375,8.75,9.125,64600,0,1
2000-03-20,9.1875,9.1875,7.7812,8.0625,154600,0,1
2000-03-21,8.0625,8.25,7.1562,7.25,504200,0,1
2000-03-22,7.125,7.25,6.5938,6.875,629800,0,1
2000-03-23,6.9375,8.3125,6.7812,7.9062,509800,0,1
2000-03-24,8.7812,9.1875,8.625,8.9375,405000,0,1
2000-03-27,8.875,9.0,7.9375,8.0,584200,0,1
2000-03-28,7.5,7.6875,6.4375,6.5,1089000,0,1
2000-03-29,6.7188,6.9844,6.0312,6.1875,302200,0,1
2000-03-30,6.125,6.625,6.0625,6.2812,217200,0,1
2000-03-31,6.3125,6.375,5.7812,6.0,281000,0,1
2000-04-03,7.0,7.0,5.5,5.8125,529800,0,1
2000-04-04,6.0625,6.125,5.125,5.5625,352200,0,1
2000-04-05,5.75,5.75,5.125,5.3125,282400,0,1
2000-04-06,5.75,6.0,5.3438,5.5,322600,0,1
2000-04-07,5.75,5.75,5.4375,5.5312,194200,0,1
2000-04-10,5.6875,5.6875,5.0,5.1562,248600,0,1
2000-04-11,5.0312,5.125,4.6875,4.7188,319200,0,1
2000-04-12,4.75,4.9375,4.625,4.75,198200,0,1
2000-04-13,4.6875,5.0,4.6875,4.7344,49200,0,1
2000-04-14,4.9531,4.9531,3.9688,4.1875,335400,0,1
2000-04-17,3.9375,4.25,3.8125,4.1875,194000,0,1
2000-04-18,4.1875,4.5625,3.8438,4.5547,242800,0,1
2000-04-19,4.5625,4.5625,4.25,4.25,278000,0,1
2000-04-20,4.25,4.3125,4.0938,4.1562,128200,0,1
2000-04-24,4.25,4.3125,3.75,3.9375,118000,0,1
2000-04-25,4.0,4.8125,4.0,4.75,191400,0,1
2000-04-26,4.75,4.75,4.2656,4.625,170800,0,1
2000-04-27,4.4688,4.875,4.0625,4.625,87800,0,1
2000-04-28,4.5312,4.5312,4.0938,4.4375,45600,0,1
2000-05-01,4.5,4.875,4.0625,4.5,197000,0,1
2000-05-02,4.4375,4.875,4.4375,4.6641,80000,0,1
2000-05-03,4.5703,4.7031,4.0,4.375,64200,0,1
2000-05-04,4.5,4.875,4.4688,4.6875,212800,0,1
2000-05-05,4.8125,4.9375,4.6562,4.8438,52400,0,1
2000-05-08,4.75,4.7891,4.4922,4.6562,116800,0,1
2000-05-09,4.7812,4.7812,3.9062,4.0,219200,0,1
2000-05-10,4.0,4.0,3.7812,3.8438,59200,0,1
2000-05-11,4.0781,4.7812,4.0781,4.5469,83200,0,1
2000-05-12,4.5625,4.6094,4.0938,4.125,44800,0,1
2000-05-15,4.1719,4.25,4.0312,4.1562,67400,0,1
2000-05-16,3.7188,4.0234,3.5938,3.875,282800,0,1
2000-05-17,4.0,4.0,3.625,3.75,39000,0,1
2000-05-18,3.625,3.625,3.1562,3.4375,197600,0,1
2000-05-19,3.5,3.5312,3.125,3.2188,193600,0,1
2000-05-22,3.25,3.25,2.9844,2.9844,244000,0,1
2000-05-23,2.9844,3.25,2.8125,2.9531,128400,0,1
2000-05-24,2.9375,3.1875,2.7188,3.1562,305600,0,1
2000-05-25,3.125,3.3125,3.125,3.2188,84000,0,1
