date,open,high,low,close,volume,dividend,split
2015-08-06,14.5,16.18,13.75,16.0,16172700,0,1
2015-08-07,16.07,18.45,16.0,18.25,1844500,0,1
2015-08-10,19.5,20.68,18.43,18.68,1088300,0,1
2015-08-11,18.68,18.76,16.71,17.38,668600,0,1
2015-08-12,17.03,17.19,16.5,16.79,550500,0,1
2015-08-13,17.05,18.77,17.0,18.56,466900,0,1
2015-08-14,18.56,18.9,17.9,18.78,426100,0,1
2015-08-17,18.64,19.4,18.34,19.1,225500,0,1
2015-08-18,19.19,19.24,18.78,19.0,211800,0,1
2015-08-19,18.75,19.0,17.15,17.79,581400,0,1
2015-08-20,17.48,17.48,16.581,16.99,540100,0,1
2015-08-21,16.52,16.74,16.01,16.24,513600,0,1
2015-08-24,14.75,15.5,13.65,15.05,653800,0,1
2015-08-25,16.86,16.86,15.01,15.27,302800,0,1
2015-08-26,15.84,16.25,15.45,15.9,258200,0,1
2015-08-27,16.3,16.5,15.84,16.05,252700,0,1
2015-08-28,15.95,16.83,15.94,16.78,202500,0,1
2015-08-31,17.75,17.85,17.45,17.81,450500,0,1
2015-09-01,16.71,19.2,16.71,18.24,689500,0,1
2015-09-02,18.94,19.0,17.79,18.5,566700,0,1
2015-09-03,19.0,19.649,18.065,18.6,902700,0,1
2015-09-04,18.41,18.75,17.75,18.59,227500,0,1
2015-09-08,18.74,18.98,18.2,18.38,487100,0,1
2015-09-09,18.5,18.624,17.14,17.73,409700,0,1
2015-09-10,17.88,18.25,17.5,17.64,371200,0,1
2015-09-11,17.34,17.8,17.29,17.71,218900,0,1
2015-09-14,17.71,17.99,17.0,17.6,348100,0,1
2015-09-15,17.7,17.94,17.38,17.6,455100,0,1
2015-09-16,17.36,18.09,17.31,18.05,757100,0,1
2015-09-17,18.06,18.95,17.73,18.38,722900,0,1
2015-09-18,17.94,18.85,17.59,17.83,1026200,0,1
2015-09-21,17.97,18.75,17.51,17.88,360100,0,1
2015-09-22,17.7,18.08,17.21,17.37,372100,0,1
2015-09-23,17.43,18.38,17.4,17.65,307200,0,1
2015-09-24,17.5,18.27,17.47,17.72,348400,0,1
2015-09-25,18.04,18.29,17.5,18.1,758200,0,1
2015-09-28,18.01,18.4,17.46,17.5,445400,0,1
2015-09-29,17.53,18.28,17.27,17.5,457300,0,1
2015-09-30,17.67,18.01,17.06,17.14,2433300,0,1
2015-10-01,17.25,17.31,15.98,16.19,404600,0,1
2015-10-02,16.12,16.365,15.51,15.94,180000,0,1
2015-10-05,16.12,16.65,15.86,16.28,354400,0,1
2015-10-06,16.21,16.68,16.03,16.4,282700,0,1
2015-10-07,16.39,16.45,15.74,16.11,320500,0,1
2015-10-08,16.03,16.83,15.86,16.6,336800,0,1
2015-10-09,16.6,16.68,16.44,16.53,144800,0,1
2015-10-12,16.5,16.6,15.91,15.93,111100,0,1
2015-10-13,15.93,16.72,15.93,16.55,279800,0,1
2015-10-14,16.52,16.93,16.45,16.75,135600,0,1
2015-10-15,16.78,17.16,16.78,17.13,237700,0,1
2015-10-16,17.1,17.32,16.94,17.04,118200,0,1
2015-10-19,16.94,17.064,16.86,16.91,76800,0,1
2015-10-20,16.81,16.89,16.72,16.75,94100,0,1
2015-10-21,16.82,16.93,15.96,16.37,242000,0,1
2015-10-22,16.43,16.84,16.43,16.77,277000,0,1
2015-10-23,16.86,17.01,16.75,16.84,174200,0,1
2015-10-26,16.77,16.83,16.0,16.57,207800,0,1
2015-10-27,16.49,16.58,16.17,16.35,281000,0,1
2015-10-28,16.41,16.94,16.35,16.88,227600,0,1
2015-10-29,16.88,16.97,16.6,16.89,152800,0,1
2015-10-30,16.87,16.91,16.21,16.34,111300,0,1
2015-11-02,16.36,16.8,16.01,16.26,682600,0,1
2015-11-03,16.27,16.5,15.91,16.03,633700,0,1
2015-11-04,16.11,16.43,15.65,15.89,229200,0,1
2015-11-05,15.9,16.0,15.6,15.7,100600,0,1
2015-11-06,15.76,15.92,15.27,15.36,388400,0,1
2015-11-09,15.3,15.3,14.5,14.99,399600,0,1
2015-11-10,14.92,15.2,14.6,15.01,232600,0,1
2015-11-11,15.07,15.26,14.88,15.13,108800,0,1
2015-11-12,15.15,15.17,14.93,15.03,182100,0,1
2015-11-13,16.87,17.34,16.02,16.07,1199900,0,1
2015-11-16,16.09,16.09,14.89,15.87,430800,0,1
2015-11-17,15.86,16.23,15.75,16.03,220800,0,1
2015-11-18,15.97,16.15,15.865,16.06,189300,0,1
2015-11-19,16.06,16.12,15.51,15.95,217900,0,1
2015-11-20,16.0,16.1,15.81,15.95,185500,0,1
2015-11-23,15.9,16.1,15.66,15.8,218200,0,1
2015-11-24,15.54,15.91,15.43,15.55,217400,0,1
2015-11-25,15.54,16.1,15.54,15.8,146100,0,1
2015-11-27,15.73,15.91,15.63,15.81,68100,0,1
2015-11-30,15.82,16.02,15.68,15.81,275200,0,1
2015-12-01,16.09,16.09,15.85,15.96,534000,0,1
2015-12-02,15.98,16.54,15.94,16.11,404500,0,1
2015-12-03,15.95,16.15,15.6,15.77,436300,0,1
2015-12-04,15.76,15.99,15.36,15.87,253800,0,1
2015-12-07,15.79,16.2,15.55,15.99,296100,0,1
2015-12-08,15.79,16.0,15.75,15.93,243200,0,1
2015-12-09,15.87,16.19,15.76,15.89,310500,0,1
2015-12-10,15.81,16.1,15.8,15.81,228200,0,1
2015-12-11,15.63,15.9,15.23,15.66,342600,0,1
2015-12-14,15.69,15.95,15.23,15.25,261600,0,1
2015-12-15,15.37,15.99,15.23,15.58,311200,0,1
2015-12-16,15.62,15.85,15.46,15.71,186300,0,1
2015-12-17,15.69,15.75,15.42,15.5,141200,0,1
2015-12-18,15.5,15.79,15.06,15.1,559900,0,1
2015-12-21,15.25,15.37,14.96,15.27,209500,0,1
2015-12-22,15.28,15.79,15.28,15.7,127600,0,1
2015-12-23,15.8,15.84,15.35,15.55,100000,0,1
2015-12-24,15.63,15.98,15.63,15.85,64200,0,1
2015-12-28,15.81,15.81,15.41,15.75,93300,0,1
2015-12-29,15.82,15.95,15.59,15.89,92400,0,1
2015-12-30,15.86,16.0,15.56,15.63,87500,0,1
2015-12-31,15.61,15.99,15.61,15.63,200800,0,1
2016-01-04,15.6,15.98,15.11,15.4,332800,0,1
2016-01-05,15.4,15.76,15.225,15.68,219300,0,1
2016-01-06,15.35,15.86,15.27,15.65,241500,0,1
