date,open,high,low,close,volume,dividend,split
2012-02-24,25.0,30.0,25.0,29.0,1843400,0,1
2012-02-27,28.9,30.2,27.14,28.2,62200,0,1
2012-02-28,28.25,29.28,28.13,29.27,14200,0,1
2012-02-29,29.0,30.85,29.0,30.75,31600,0,1
2012-03-01,31.19,31.19,29.4,30.0,84400,0,1
2012-03-02,30.23,30.94,28.36,28.54,63100,0,1
2012-03-05,28.5,28.5,27.16,27.25,29700,0,1
2012-03-06,27.5,28.79,27.0,28.0,96000,0,1
2012-03-07,28.5,29.75,28.0,28.11,34600,0,1
2012-03-08,28.53,30.57,28.5,30.36,59000,0,1
2012-03-09,30.77,31.92,30.17,31.41,48200,0,1
2012-03-12,31.41,31.8,31.33,31.8,27100,0,1
2012-03-13,31.95,32.49,30.96,31.66,26000,0,1
2012-03-14,32.06,33.46,31.43,33.0,75200,0,1
2012-03-15,33.2,35.33,33.2,34.24,185600,0,1
2012-03-16,34.45,35.93,34.45,34.49,131400,0,1
2012-03-19,34.22,35.71,32.95,33.5,46800,0,1
2012-03-20,33.5,33.5,32.01,32.47,35600,0,1
2012-03-21,32.73,34.0,31.69,31.88,51600,0,1
2012-03-22,31.77,32.74,31.77,32.03,18200,0,1
2012-03-23,32.29,32.91,32.0,32.45,11500,0,1
2012-03-26,32.74,33.84,32.71,33.21,27600,0,1
2012-03-27,33.45,34.0,32.01,32.25,38600,0,1
2012-03-28,32.45,33.05,31.0,32.42,66800,0,1
2012-03-29,32.68,34.12,32.29,33.62,71500,0,1
2012-03-30,34.04,34.8,33.35,34.09,392300,0,1
2012-04-02,33.73,35.61,32.9,35.13,76300,0,1
2012-04-03,35.11,35.45,34.5,35.2,44900,0,1
2012-04-04,34.99,34.99,31.6,31.86,212800,0,1
2012-04-05,31.64,32.44,31.42,32.15,25800,0,1
2012-04-09,32.97,34.72,32.71,33.96,62500,0,1
2012-04-10,33.97,34.88,33.48,33.7,83500,0,1
2012-04-11,34.09,34.09,32.33,33.03,51900,0,1
2012-04-12,32.91,32.91,31.0,32.16,97000,0,1
2012-04-13,31.84,32.08,30.78,30.8,92400,0,1
2012-04-16,31.02,31.02,28.61,30.09,118400,0,1
2012-04-17,30.41,30.8,30.02,30.54,105700,0,1
2012-04-18,30.29,30.6,29.73,30.4,35700,0,1
2012-04-19,30.59,33.27,30.59,31.86,142200,0,1
2012-04-20,32.2,34.07,31.53,33.4,59500,0,1
2012-04-23,32.84,33.0,32.28,32.9,18900,0,1
2012-04-24,32.98,33.15,32.69,33.15,23700,0,1
2012-04-25,33.55,33.92,33.09,33.81,28600,0,1
2012-04-26,33.85,35.89,33.59,35.13,96600,0,1
2012-04-27,35.06,36.57,34.82,36.31,41000,0,1
2012-04-30,36.42,37.1,36.07,37.1,65600,0,1
2012-05-01,36.83,39.08,36.83,38.65,81000,0,1
2012-05-02,38.57,38.89,37.57,37.86,57000,0,1
2012-05-03,32.0,32.16,24.93,29.48,1434900,0,1
2012-05-04,28.78,31.13,28.04,30.32,89200,0,1
2012-05-07,30.3,30.58,28.85,30.58,120800,0,1
2012-05-08,30.54,30.54,29.1,29.63,112100,0,1
2012-05-09,29.17,30.23,28.96,29.71,63100,0,1
2012-05-10,29.7,33.21,29.7,32.15,142000,0,1
2012-05-11,31.78,32.57,31.74,32.15,78100,0,1
2012-05-14,31.81,32.14,31.22,31.89,67000,0,1
2012-05-15,31.89,31.99,29.9,30.77,83500,0,1
2012-05-16,30.99,31.39,29.75,30.97,100000,0,1
2012-05-17,30.97,31.71,30.8,31.07,73800,0,1
2012-05-18,30.99,31.54,30.99,31.29,52000,0,1
2012-05-21,31.47,31.6,31.25,31.3,31500,0,1
2012-05-22,31.42,31.96,31.4,31.81,32500,0,1
