date,open,high,low,close,volume,dividend,split
2005-01-05,38.68,38.96,38.47,38.54,127925500,0,1
2005-01-06,38.63,38.71,38.34,38.35,102934600,0,1
2005-01-07,38.56,38.87,38.21,38.55,123104000,0,1
2005-01-10,38.44,38.87,38.39,38.53,88764200,0,1
2005-01-11,38.37,38.5,38.07,38.26,106398800,0,1
2005-01-12,38.43,38.6,38.01,38.58,127754900,0,1
2005-01-13,38.58,38.85,38.01,38.07,101982400,0,1
2005-01-14,38.2,38.52,38.19,38.43,93460900,0,1
2005-01-18,38.28,38.79,38.22,38.72,91760400,0,1
2005-01-19,38.73,38.75,38.06,38.08,104981000,0,1
2005-01-20,37.65,37.81,37.32,37.35,120963900,0,1
2005-01-21,37.48,37.55,36.99,37.05,138569200,0,1
2005-01-24,37.12,37.2,36.46,36.53,137499000,0,1
2005-01-25,36.77,37.09,36.66,36.71,119171300,0,1
2005-01-26,36.96,37.29,36.82,37.15,107465800,0,1
2005-01-27,37.09,37.27,36.87,37.1,103654700,0,1
2005-01-28,37.22,37.27,36.62,36.92,111648600,0,1
2005-01-31,37.36,37.53,37.26,37.4,89139900,0,1
2005-02-01,37.49,37.65,37.37,37.52,76610300,0,1
2005-02-02,37.64,37.73,37.31,37.58,100160500,0,1
2005-02-03,37.38,37.41,37.0,37.15,90157900,0,1
2005-02-04,37.15,37.82,37.15,37.75,99302000,0,1
2005-02-07,37.8,37.91,37.52,37.67,71551400,0,1
2005-02-08,37.66,38.01,37.62,37.74,72821700,0,1
2005-02-09,37.77,37.8,37.06,37.11,93276600,0,1
2005-02-10,37.26,37.32,36.88,37.15,110373000,0,1
2005-02-11,37.03,37.85,36.93,37.7,108684100,0,1
2005-02-14,37.7,37.94,37.69,37.87,54908900,0,1
2005-02-15,37.9,38.48,37.82,38.12,131406500,0,1
2005-02-16,38.03,38.16,37.83,37.98,80273900,0,1
2005-02-17,38.05,38.14,37.43,37.47,115628300,0,1
2005-02-18,37.48,37.57,37.26,37.35,69158800,0,1
2005-02-22,37.03,37.55,36.79,36.89,121232000,0,1
2005-02-23,37.04,37.07,36.7,36.94,95010100,0,1
2005-02-24,36.85,37.44,36.76,37.41,99334600,0,1
2005-02-25,37.38,37.7,37.29,37.62,79988700,0,1
2005-02-28,37.46,37.6,36.92,37.22,95731300,0,1
2005-03-01,37.37,37.7,37.33,37.63,78460600,0,1
2005-03-02,37.41,38.02,37.36,37.61,107270600,0,1
2005-03-03,37.71,37.73,37.02,37.3,89793800,0,1
2005-03-04,37.6,37.75,37.4,37.52,86622300,0,1
2005-03-07,37.6,38.29,37.56,38.06,93563900,0,1
2005-03-08,38.01,38.21,37.65,37.68,89595200,0,1
2005-03-09,37.67,37.93,37.47,37.57,98063000,0,1
2005-03-10,37.61,37.67,37.08,37.52,97043600,0,1
2005-03-11,37.69,37.82,37.02,37.17,102857500,0,1
2005-03-14,37.24,37.36,37.03,37.34,65576200,0,1
2005-03-15,37.42,37.48,36.99,37.04,93856300,0,1
2005-03-16,36.91,37.18,36.53,36.62,159578000,0,1
2005-03-17,36.61,36.89,36.54,36.71,100429600,0,1
2005-03-18,36.75,36.79,36.35,36.51,108899400,0,1
2005-03-21,36.6,36.75,36.25,36.58,92752500,0,1
2005-03-22,36.61,36.75,36.11,36.13,114016300,0,1
2005-03-23,36.09,36.49,36.07,36.26,97444900,0,1
2005-03-24,36.39,36.65,36.27,36.27,77566800,0,1
2005-03-28,36.41,36.61,36.31,36.34,59739000,0,1
2005-03-29,36.27,36.58,35.94,36.05,119554300,0,1
2005-03-30,36.23,36.78,36.22,36.73,114711000,0,1
2005-03-31,36.73,36.75,36.44,36.57,86578900,0,1
2005-04-01,36.82,36.88,36.13,36.2,143814300,0,1
2005-04-04,36.25,36.6,36.03,36.46,100090300,0,1
2005-04-05,36.49,36.67,36.42,36.56,66266600,0,1
2005-04-06,36.66,36.91,36.42,36.5,82168900,0,1
2005-04-07,36.53,36.95,36.51,36.94,88618000,0,1
2005-04-08,37.0,37.07,36.6,36.64,92332900,0,1
2005-04-11,36.75,36.78,36.4,36.48,70976000,0,1
2005-04-12,36.44,36.74,35.91,36.66,144848500,0,1
2005-04-13,36.56,36.6,35.98,36.06,108995500,0,1
2005-04-14,36.06,36.1,35.5,35.55,158057900,0,1
2005-04-15,35.24,35.37,34.68,34.74,170013300,0,1
2005-04-18,34.71,35.0,34.64,34.75,110084000,0,1
2005-04-19,35.02,35.1,34.75,34.99,96922100,0,1
2005-04-20,35.21,35.29,34.59,34.7,140457400,0,1
2005-04-21,35.12,35.71,34.96,35.62,124505100,0,1
2005-04-22,35.46,35.47,34.82,35.09,114996800,0,1
2005-04-25,35.3,35.46,35.15,35.38,72170100,0,1
2005-04-26,35.29,35.7,35.04,35.05,104958800,0,1
2005-04-27,34.87,35.25,34.73,35.1,112539300,0,1
2005-04-28,34.92,35.15,34.72,34.75,98181900,0,1
2005-04-29,35.0,35.06,34.35,34.98,144435900,0,1
2005-05-02,35.1,35.26,34.89,35.12,67648800,0,1
2005-05-03,35.05,35.43,35.03,35.3,103428700,0,1
2005-05-04,35.29,35.83,35.24,35.73,90480600,0,1
2005-05-05,35.75,35.92,35.53,35.76,79341700,0,1
2005-05-06,35.97,36.02,35.72,35.86,77310200,0,1
2005-05-09,35.87,36.06,35.66,36.03,66298400,0,1
2005-05-10,35.86,35.96,35.62,35.77,77194700,0,1
