date,open,high,low,close,volume,dividend,split
2000-01-03,3.125,3.25,2.875,3.0625,132400,0,1
2000-01-04,3.0,3.1094,2.875,3.0625,60500,0,1
2000-01-05,2.9688,3.0625,2.9688,3.0,89100,0,1
2000-01-06,3.0625,3.1875,2.9375,3.0625,125500,0,1
2000-01-07,3.0938,3.375,3.0625,3.3125,175700,0,1
2000-01-10,3.4375,4.5,3.3125,3.75,183700,0,1
2000-01-11,3.8125,4.0,3.5,3.75,174700,0,1
2000-01-12,3.8125,4.125,3.625,3.6875,670500,0,1
2000-01-13,3.625,4.0,3.625,3.75,83000,0,1
2000-01-14,3.875,4.25,3.75,4.25,658100,0,1
2000-01-18,3.9375,4.125,3.8125,4.125,384000,0,1
2000-01-19,4.0,4.125,3.8438,4.0,139700,0,1
2000-01-20,4.125,4.375,3.875,4.25,354300,0,1
2000-01-21,4.25,4.375,4.125,4.375,245300,0,1
2000-01-24,4.5,5.625,4.375,4.9375,1203300,0,1
2000-01-25,5.0625,5.4375,4.75,5.1875,428200,0,1
2000-01-26,5.1875,5.25,4.8125,5.0,451000,0,1
2000-01-27,5.0,5.25,4.6875,4.75,259600,0,1
2000-01-28,4.7812,5.125,4.5,4.5625,227000,0,1
2000-01-31,4.5625,4.625,4.125,4.5,196100,0,1
2000-02-01,4.5625,4.625,4.3125,4.5,150800,0,1
2000-02-02,4.5,4.5,4.1875,4.375,215600,0,1
2000-02-03,4.5625,4.625,4.25,4.375,113700,0,1
2000-02-04,4.4375,5.0,4.4062,4.6875,265200,0,1
2000-02-07,4.4375,4.75,4.25,4.375,345300,0,1
2000-02-08,4.25,4.625,4.25,4.5938,148900,0,1
2000-02-09,4.8125,5.5,4.625,5.4688,365700,0,1
2000-02-10,5.4062,7.5,5.4062,7.4375,1503100,0,1
2000-02-11,7.625,7.875,6.0,6.125,758300,0,1
2000-02-14,7.4375,7.5,6.375,6.9062,1253900,0,1
2000-02-15,7.0312,7.8125,6.8125,7.6875,579900,0,1
2000-02-16,8.375,9.4375,8.125,8.5,2719500,0,1
2000-02-17,9.1875,12.625,9.0,12.25,6480200,0,1
2000-02-18,14.0625,14.0625,12.125,13.4375,2708200,0,1
2000-02-22,14.0,14.25,10.125,11.375,1936800,0,1
2000-02-23,12.0,12.0,10.0,10.75,927900,0,1
2000-02-24,10.0625,10.375,8.625,9.9375,1462100,0,1
2000-02-25,9.6875,11.9375,9.625,10.75,1805600,0,1
2000-02-28,10.875,13.0,10.875,12.875,1093400,0,1
2000-02-29,13.9375,14.0,12.875,13.125,1194000,0,1
2000-03-01,13.4375,16.625,13.375,16.25,2311200,0,1
2000-03-02,17.75,18.0,15.125,15.5,1947500,0,1
2000-03-03,17.0,17.0625,15.5,16.625,1142700,0,1
2000-03-06,17.0,17.0,14.25,14.6875,827600,0,1
2000-03-07,15.6875,15.875,12.75,14.9375,1325000,0,1
2000-03-08,15.625,15.875,13.375,13.75,652200,0,1
2000-03-09,14.125,14.125,12.3125,13.6875,871500,0,1
2000-03-10,13.875,14.75,12.75,14.4375,608400,0,1
2000-03-13,12.375,13.125,11.0,11.625,955600,0,1
2000-03-14,11.6875,12.0,9.5625,9.75,1452000,0,1
2000-03-15,10.0,11.5,9.875,11.375,832100,0,1
2000-03-16,11.4375,12.3125,9.75,10.5,569800,0,1
2000-03-17,10.125,11.5,10.0,11.5,432600,0,1
2000-03-20,11.0625,11.5,10.375,10.625,424000,0,1
2000-03-21,10.1875,10.2188,8.5,9.6875,754800,0,1
2000-03-22,9.9375,11.25,9.375,10.875,515000,0,1
2000-03-23,11.375,12.125,10.625,11.625,572700,0,1
2000-03-24,11.9375,12.0625,10.875,10.9375,398500,0,1
2000-03-27,11.0,12.0,10.875,11.75,264500,0,1
2000-03-28,11.3125,11.6875,10.875,11.5625,252800,0,1
2000-03-29,11.4375,11.6875,9.4375,9.75,251400,0,1
2000-03-30,10.0,10.125,8.5,8.9375,275200,0,1
2000-03-31,8.9375,10.1875,8.9375,9.625,283800,0,1
2000-04-03,9.5,9.6875,8.1875,8.25,265600,0,1
2000-04-04,8.25,8.75,4.625,7.125,806600,0,1
2000-04-05,6.4531,8.6875,6.4062,8.1875,321200,0,1
2000-04-06,8.25,9.3125,8.1875,8.75,310600,0,1
2000-04-07,8.875,8.875,8.125,8.5625,122800,0,1
2000-04-10,8.5625,8.6875,7.5625,7.5625,103900,0,1
2000-04-11,7.5938,8.1875,6.5,7.3125,343100,0,1
2000-04-12,7.4375,7.7344,6.4375,6.4375,163400,0,1
2000-04-13,6.4375,6.875,6.125,6.5,347600,0,1
2000-04-14,5.125,6.375,4.625,4.8438,571900,0,1
2000-04-17,4.5,5.0,4.0,4.3125,527600,0,1
2000-04-18,4.375,5.625,4.0,4.9219,343700,0,1
2000-04-19,4.7812,5.25,4.6875,5.0625,325600,0,1
2000-04-20,4.6562,5.625,4.625,5.375,219600,0,1
2000-04-24,5.25,5.875,4.875,5.875,195000,0,1
2000-04-25,6.0,6.0,5.0,5.5,250400,0,1
2000-04-26,5.3125,5.5625,5.0,5.3125,150500,0,1
2000-04-27,5.0625,5.5625,5.0,5.375,100800,0,1
2000-04-28,5.875,6.5,5.6875,6.0,495400,0,1
2000-05-01,6.6875,6.75,5.875,6.25,225400,0,1
2000-05-02,6.25,6.9375,5.75,5.8125,112900,0,1
2000-05-03,5.75,6.25,5.125,5.875,112300,0,1
2000-05-04,5.4375,5.75,5.375,5.75,28500,0,1
2000-05-05,5.8125,6.25,5.75,6.25,108900,0,1
