date,open,high,low,close,volume,dividend,split
2012-11-02,32.05,33.15,30.32,31.1,6838100,0,1
2012-11-05,31.19,33.34,30.86,33.3,570300,0,1
2012-11-06,33.4,33.9,32.2,33.3,462100,0,1
2012-11-07,32.55,33.08,32.03,32.45,111700,0,1
2012-11-08,32.03,33.51,32.0,33.08,200200,0,1
2012-11-09,32.52,32.52,31.5,32.13,335700,0,1
2012-11-12,32.13,32.65,31.64,32.24,237400,0,1
2012-11-13,31.9,32.5,31.74,32.41,161800,0,1
2012-11-14,32.75,33.8,32.55,33.39,215600,0,1
2012-11-15,32.7,33.96,32.7,33.63,242600,0,1
2012-11-16,33.82,35.18,33.72,34.45,183400,0,1
2012-11-19,34.8,35.28,34.32,34.57,141700,0,1
2012-11-20,34.7,35.63,34.53,35.08,70300,0,1
2012-11-21,35.45,35.45,34.93,35.12,61200,0,1
2012-11-23,35.4,35.55,35.29,35.49,80000,0,1
2012-11-26,35.5,38.33,35.41,37.99,469700,0,1
2012-11-27,37.5,37.64,35.3,35.78,613700,0,1
2012-11-28,35.75,36.93,35.61,36.9,156400,0,1
2012-11-29,37.0,37.14,36.5,37.0,71600,0,1
2012-11-30,37.0,37.81,36.69,36.9,88000,0,1
2012-12-03,37.4,37.4,36.53,36.74,117400,0,1
2012-12-04,36.36,36.7,35.86,36.7,179100,0,1
2012-12-05,36.3,37.2,35.77,36.0,111700,0,1
2012-12-06,36.25,37.0,35.49,36.72,223800,0,1
2012-12-07,37.2,37.31,36.65,36.74,200800,0,1
2012-12-10,37.16,37.47,36.32,36.5,327400,0,1
2012-12-11,36.7,36.92,35.82,36.06,158400,0,1
2012-12-12,36.44,37.02,35.72,36.69,311000,0,1
2012-12-13,33.5,36.32,33.2,34.9,1878900,0,1
2012-12-14,34.5,35.74,34.45,34.51,176800,0,1
2012-12-17,33.61,34.92,33.61,33.72,170900,0,1
2012-12-18,33.86,33.95,31.72,32.7,647000,0,1
2012-12-19,31.56,33.24,31.56,32.97,270800,0,1
2012-12-20,32.86,32.95,31.68,32.0,300600,0,1
2012-12-21,31.15,31.74,30.92,31.49,816500,0,1
2012-12-24,31.59,32.88,31.36,32.35,112300,0,1
2012-12-26,32.43,32.64,32.1,32.37,149500,0,1
2012-12-27,32.29,32.88,32.19,32.76,107600,0,1
2012-12-28,32.7,34.5,32.6,33.89,229100,0,1
2012-12-31,33.89,34.26,33.5,33.73,102400,0,1
2013-01-02,33.8,34.2,33.14,33.23,207900,0,1
