date,open,high,low,close,volume,dividend,split
2000-01-03,1.3169,1.3333,1.284,1.3333,277600,0,1
2000-01-04,1.3224,1.3333,1.3224,1.3224,131800,0,1
2000-01-05,1.3224,1.3278,1.3059,1.3169,355600,0,1
2000-01-06,1.3169,1.3278,1.3169,1.3278,246300,0,1
2000-01-07,1.3388,1.3388,1.3278,1.3388,56700,0,1
2000-01-10,1.3388,1.3498,1.3333,1.3498,70200,0,1
2000-01-11,1.3443,1.3553,1.3443,1.3443,47400,0,1
2000-01-12,1.3443,1.3498,1.3388,1.3443,58900,0,1
2000-01-13,1.3498,1.3498,1.3388,1.3388,47400,0,1
2000-01-14,1.3443,1.3608,1.3443,1.3443,360400,0,1
2000-01-18,1.3388,1.3388,1.3224,1.3278,170200,0,1
2000-01-19,1.3278,1.3388,1.3169,1.3224,227700,0,1
2000-01-20,1.3224,1.3333,1.3169,1.3333,52800,0,1
2000-01-21,1.3333,1.3333,1.3169,1.3169,73000,0,1
2000-01-24,1.3169,1.3224,1.2785,1.2785,65700,0,1
2000-01-25,1.3059,1.3498,1.2949,1.2949,588100,0,1
2000-01-26,1.3059,1.3224,1.2949,1.3004,182400,0,1
2000-01-27,1.3114,1.3169,1.2785,1.284,168300,0,1
2000-01-28,1.2894,1.2894,1.262,1.262,226000,0,1
2000-01-31,1.251,1.3608,1.2401,1.3608,501000,0,1
2000-02-01,1.3608,1.3608,1.3443,1.3443,120300,0,1
2000-02-02,1.3498,1.3608,1.3388,1.3608,105300,0,1
2000-02-03,1.3553,1.3717,1.3498,1.3717,152100,0,1
2000-02-04,1.3827,1.3827,1.3717,1.3772,36600,0,1
2000-02-07,1.3717,1.3772,1.3608,1.3772,77100,0,1
2000-02-08,1.3663,1.3992,1.3663,1.3992,113500,0,1
2000-02-09,1.3992,1.3992,1.3882,1.3937,77800,0,1
2000-02-10,1.3937,1.4047,1.3827,1.4047,194400,0,1
2000-02-11,1.3992,1.4376,1.3992,1.4376,141000,0,1
