date,open,high,low,close,volume,dividend,split
2000-01-03,18.9062,18.9688,17.4375,17.7812,88000,0,1
2000-01-04,17.5,17.6875,16.75,16.9688,153200,0,1
2000-01-05,16.9688,16.9688,16.3438,16.75,262200,0,1
2000-01-06,16.75,16.8438,16.5625,16.75,211800,0,1
2000-01-07,16.6875,17.0,16.625,17.0,181600,0,1
2000-01-10,17.125,17.1875,16.875,17.1562,107000,0,1
2000-01-11,17.125,17.125,16.7812,16.9375,79000,0,1
2000-01-12,17.0,17.0312,16.6875,17.0312,101600,0,1
2000-01-13,17.0312,17.0312,16.75,16.875,107400,0,1
2000-01-14,16.875,16.9688,16.75,16.8438,111400,0,1
2000-01-18,16.9062,17.0,16.7188,16.7188,73200,0,1
2000-01-19,16.7188,16.8125,16.6562,16.7188,51800,0,1
2000-01-20,16.6562,17.2812,16.5625,17.2812,101000,0,1
2000-01-21,17.2812,18.2812,17.2812,18.25,197400,0,1
2000-01-24,18.25,18.625,18.0312,18.0938,301600,0,1
2000-01-25,18.0,18.125,17.375,17.4062,315200,0,1
2000-01-26,17.4688,18.2188,17.4688,17.875,118600,0,1
2000-01-27,17.75,17.7812,17.2812,17.2812,133600,0,1
2000-01-28,17.2188,17.5,16.875,17.3125,86400,0,1
2000-01-31,17.2188,17.2188,16.375,16.7812,118200,0,1
2000-02-01,16.7812,16.7812,16.4062,16.7188,191800,0,1
2000-02-02,16.8125,17.0625,16.6875,17.0625,67800,0,1
2000-02-03,17.125,17.875,17.0625,17.875,145400,0,1
2000-02-04,18.0,18.6875,18.0,18.0312,195000,0,1
2000-02-07,17.9688,18.2188,17.8125,17.9375,64800,0,1
2000-02-08,17.9375,18.1562,17.5625,17.7188,109000,0,1
2000-02-09,17.8438,17.8438,16.125,16.6875,541200,0,1
2000-02-10,16.6875,16.75,16.1875,16.5625,489000,0,1
2000-02-11,16.5625,16.5938,15.375,15.625,239200,0,1
2000-02-14,15.625,16.6562,15.0938,16.5625,365600,0,1
2000-02-15,16.625,16.625,16.5,16.625,49400,0,1
2000-02-16,16.625,16.6875,16.5625,16.6562,125400,0,1
2000-02-17,16.6875,16.6875,16.3125,16.5625,104600,0,1
2000-02-18,16.4375,16.4375,15.4688,15.4688,109800,0,1
2000-02-22,15.4688,15.4688,14.9375,15.4688,192800,0,1
2000-02-23,15.4688,15.8438,15.4688,15.8438,100400,0,1
2000-02-24,15.9062,15.9062,15.3125,15.375,89400,0,1
2000-02-25,15.3125,15.3125,14.375,14.4375,317400,0,1
2000-02-28,14.4375,14.4375,13.3438,13.7188,504600,0,1
2000-02-29,13.6562,13.8125,13.625,13.625,265400,0,1
2000-03-01,13.5,13.5,12.9062,13.3125,319000,0,1
2000-03-02,13.4062,15.5,13.25,15.5,678600,0,1
2000-03-03,15.4062,17.3438,15.4062,17.0312,493600,0,1
2000-03-06,16.9062,16.9062,15.9375,16.1562,207200,0,1
2000-03-07,16.0938,16.0938,15.625,15.7188,170600,0,1
2000-03-08,15.6562,15.6562,15.0,15.375,281600,0,1
