date,open,high,low,close,volume,dividend,split
2000-01-03,2.9844,3.0859,2.9062,3.082,24232000,0,1
2000-01-04,3.0078,3.1094,2.9688,2.9844,21564800,0,1
2000-01-05,2.9922,3.0781,2.9609,3.0234,28206400,0,1
2000-01-06,3.0,3.2031,3.0,3.1328,30825600,0,1
2000-01-07,3.0938,3.125,3.0312,3.1172,26044800,0,1
2000-01-10,3.2344,3.3438,3.2266,3.25,29031200,0,1
2000-01-11,3.2422,3.2578,3.1484,3.1562,19623200,0,1
2000-01-12,3.1719,3.2188,3.0938,3.1641,17745600,0,1
2000-01-13,3.1719,3.4062,3.1719,3.3906,21556000,0,1
2000-01-14,3.3984,3.4453,3.2891,3.3047,22196800,0,1
2000-01-18,3.2734,3.3281,3.1641,3.2578,10513600,0,1
2000-01-19,3.2578,3.3281,3.1797,3.1875,15800800,0,1
2000-01-20,3.1953,3.2188,3.0703,3.1328,18167200,0,1
2000-01-21,3.1641,3.1719,3.0938,3.1211,11176000,0,1
2000-01-24,3.125,3.1953,2.8906,3.0703,31140000,0,1
2000-01-25,3.0391,3.375,2.9766,3.25,47650400,0,1
2000-01-26,3.3672,3.6719,3.3438,3.625,75863200,0,1
2000-01-27,3.6094,3.6406,3.5391,3.6094,37517600,0,1
2000-01-28,3.625,3.7734,3.6172,3.7266,60170400,0,1
2000-01-31,3.7422,4.0,3.7344,4.0,51054400,0,1
2000-02-01,3.9688,4.0469,3.9297,4.0391,30592000,0,1
2000-02-02,4.0312,4.0625,3.8594,3.9766,20413600,0,1
2000-02-03,3.9844,4.0,3.7969,3.9297,20513600,0,1
2000-02-04,4.0625,4.3438,3.9375,4.2969,51308800,0,1
2000-02-07,4.2891,4.3125,4.1719,4.2812,19449600,0,1
2000-02-08,4.2812,4.375,4.2578,4.375,21536000,0,1
2000-02-09,4.3516,4.3594,4.2578,4.3125,17676000,0,1
2000-02-10,4.3125,4.3359,3.9453,4.0,24207200,0,1
2000-02-11,3.9844,4.1875,3.9844,4.1094,19193600,0,1
2000-02-14,4.1719,4.3516,4.1094,4.2422,20843200,0,1
2000-02-15,4.2422,4.3594,4.0469,4.3281,16425600,0,1
2000-02-16,4.3281,4.3359,4.2656,4.2734,16617600,0,1
2000-02-17,4.2969,4.3438,4.25,4.3281,11840800,0,1
2000-02-18,4.3203,4.375,4.0625,4.1406,17745600,0,1
2000-02-22,4.1094,4.2109,4.0391,4.1484,13170400,0,1
2000-02-23,4.1172,4.3828,4.0938,4.3594,18372800,0,1
2000-02-24,4.3594,4.5234,4.2109,4.3828,24721600,0,1
2000-02-25,4.3516,4.375,4.1875,4.2188,9384000,0,1
2000-02-28,4.1875,4.2656,4.0938,4.2578,13456000,0,1
2000-02-29,4.2188,4.4297,4.2031,4.3906,13168000,0,1
2000-03-01,4.3906,4.4766,4.3125,4.3438,10548000,0,1
2000-03-02,4.3203,4.3203,4.0781,4.1562,13367200,0,1
2000-03-03,4.2031,4.7188,4.2031,4.6484,28210400,0,1
2000-03-06,4.6152,4.6172,4.4609,4.4844,11278400,0,1
2000-03-07,4.4922,4.5156,4.25,4.2656,12872000,0,1
2000-03-08,4.2578,4.3438,4.1406,4.2344,15707200,0,1
2000-03-09,4.2188,4.5312,4.125,4.5156,13624800,0,1
2000-03-10,4.4609,4.5,4.3281,4.4531,9488000,0,1
2000-03-13,4.3203,4.4375,4.2812,4.3438,14124800,0,1
2000-03-14,4.373,4.4297,4.1719,4.1797,9474400,0,1
2000-03-15,4.1562,4.4922,4.1562,4.3984,14703200,0,1
2000-03-16,4.3984,4.8672,4.3984,4.7969,35879200,0,1
2000-03-17,4.6875,4.7734,4.5469,4.6328,19867200,0,1
2000-03-20,4.5625,4.5938,4.375,4.3984,10842400,0,1
2000-03-21,4.4219,4.8789,4.3984,4.875,21850400,0,1
2000-03-22,4.7969,4.9766,4.6875,4.8906,24861600,0,1
2000-03-23,4.8281,5.0,4.8125,4.9219,18564800,0,1
2000-03-24,4.9531,5.0,4.6953,4.8281,13520000,0,1
2000-03-27,4.8516,5.0547,4.8438,4.8906,17021600,0,1
2000-03-28,4.9062,4.9844,4.6875,4.7422,9432000,0,1
2000-03-29,4.7656,5.0,4.7109,4.9609,12658400,0,1
2000-03-30,4.9062,5.2109,4.9062,4.9688,25609600,0,1
2000-03-31,4.9766,5.6562,4.9141,5.6016,36625600,0,1
2000-04-03,5.0234,5.2812,4.9062,5.1797,35332000,0,1
2000-04-04,5.1406,5.4375,4.9375,5.4297,39746400,0,1
2000-04-05,5.3281,5.3281,4.9062,4.9453,25903200,0,1
2000-04-06,4.9922,5.0312,4.5625,4.6953,19013600,0,1
2000-04-07,4.75,5.0156,4.75,5.0078,18377600,0,1
2000-04-10,5.0312,5.0391,4.5703,4.5781,13938400,0,1
2000-04-11,4.5781,4.875,4.4688,4.7422,10528000,0,1
2000-04-12,4.7461,4.8203,4.6719,4.7031,11848800,0,1
2000-04-13,4.7109,5.0156,4.6953,4.9785,27032000,0,1
2000-04-14,4.8672,4.875,4.2266,4.3984,20801600,0,1
2000-04-17,4.2812,4.5703,4.1797,4.5156,19577600,0,1
2000-04-18,4.5312,4.7031,4.4531,4.6797,12808800,0,1
2000-04-19,4.6484,4.8672,4.5938,4.6562,16598400,0,1
2000-04-20,4.6641,4.75,4.5,4.6797,8062400,0,1
2000-04-24,4.625,5.0781,4.6094,4.9922,15964000,0,1
2000-04-25,4.8125,4.9219,4.375,4.7734,29955200,0,1
2000-04-26,4.7148,4.7266,4.5625,4.6406,18652000,0,1
2000-04-27,4.5078,4.6406,4.4297,4.6328,22625600,0,1
2000-04-28,4.2109,4.2578,3.75,3.7793,131648000,0,1
2000-05-01,3.875,3.9141,3.7656,3.8672,59110400,0,1
