date,open,high,low,close,volume,dividend,split
2000-01-03,46.625,47.0,40.75,41.125,558900,0,1
2000-01-04,40.125,40.25,37.0,38.375,416800,0,1
2000-01-05,38.875,40.3125,37.0,40.3125,472800,0,1
2000-01-06,40.875,46.0,39.625,41.5,2333400,0,1
2000-01-07,42.75,43.125,39.3125,40.875,341800,0,1
2000-01-10,42.75,43.375,41.25,42.5,335100,0,1
2000-01-11,42.625,42.875,40.875,40.875,286300,0,1
2000-01-12,41.25,42.0,40.5,40.75,282700,0,1
2000-01-13,41.1562,41.5625,39.5625,40.25,281400,0,1
2000-01-14,40.2188,42.125,39.625,42.0,186700,0,1
2000-01-18,42.25,44.9375,42.0,44.0,472900,0,1
2000-01-19,44.125,46.875,43.5,46.75,674100,0,1
2000-01-20,47.9375,50.0,47.75,48.0625,1174200,0,1
2000-01-21,48.0625,51.0,46.125,48.8125,488900,0,1
2000-01-24,49.75,51.0,48.6875,48.9375,986100,0,1
2000-01-25,49.125,50.5625,46.375,47.625,589400,0,1
2000-01-26,47.5,48.0,47.25,47.25,447200,0,1
2000-01-27,47.3125,47.625,44.625,45.0,495700,0,1
2000-01-28,44.0,45.625,42.1875,44.0,553600,0,1
2000-01-31,43.75,43.8125,38.125,41.375,628000,0,1
2000-02-01,52.25,52.25,43.25,45.0,1731800,0,1
2000-02-02,46.625,47.0,44.875,45.875,478500,0,1
2000-02-03,47.375,47.75,45.75,47.25,472200,0,1
2000-02-04,47.3125,49.5,47.0,48.75,303200,0,1
2000-02-07,50.0,50.5,48.0,49.75,164900,0,1
2000-02-08,49.8125,54.125,48.375,54.0625,616300,0,1
2000-02-09,54.75,56.0,51.0,53.0,781400,0,1
2000-02-10,53.6875,55.0,51.875,52.0,519700,0,1
2000-02-11,52.0,53.0625,51.6875,52.125,283900,0,1
2000-02-14,52.125,52.5,48.0,49.375,205500,0,1
2000-02-15,49.0625,50.0,48.0,49.0,272800,0,1
2000-02-16,49.0,57.0,48.5,56.8125,1102100,0,1
2000-02-17,57.5,66.75,57.4375,66.5,1367800,0,1
2000-02-18,66.375,68.0,57.25,58.875,803500,0,1
2000-02-22,59.125,63.375,55.5,55.75,610100,0,1
2000-02-23,56.75,61.75,56.0,59.25,398300,0,1
2000-02-24,61.0,61.125,57.125,58.0,254100,0,1
2000-02-25,58.875,60.1875,58.875,59.375,254600,0,1
2000-02-28,60.0,60.5625,57.0,60.5625,188100,0,1
2000-02-29,60.5,63.0,60.0,61.0,551000,0,1
2000-03-01,62.5,69.4375,62.375,64.875,673700,0,1
2000-03-02,66.0,66.0,59.5,61.8125,400500,0,1
2000-03-03,62.375,64.4375,61.875,63.25,203100,0,1
2000-03-06,65.375,69.0,64.75,65.0625,383600,0,1
2000-03-07,66.5,66.5,60.0,60.375,314300,0,1
2000-03-08,61.5,62.0,55.25,60.125,490800,0,1
2000-03-09,60.25,60.75,58.9375,59.75,118600,0,1
2000-03-10,61.375,63.125,59.25,59.25,150400,0,1
2000-03-13,58.0,61.0,55.0625,58.75,505700,0,1
2000-03-14,59.9062,63.5,56.875,57.0625,287500,0,1
2000-03-15,59.25,60.125,53.25,55.5,535600,0,1
2000-03-16,55.5,57.25,52.875,55.0,484400,0,1
2000-03-17,54.6875,57.75,54.1875,56.5,165100,0,1
2000-03-20,57.0,57.0,52.75,52.875,166600,0,1
2000-03-21,54.0,54.0,50.5,51.0625,245800,0,1
2000-03-22,51.6875,58.0,51.6875,57.9375,409000,0,1
2000-03-23,57.5,58.125,54.0,54.875,329800,0,1
2000-03-24,54.7812,57.5,54.6875,54.75,122200,0,1
2000-03-27,54.25,55.75,52.5,53.0625,243700,0,1
2000-03-28,53.125,53.125,50.25,50.5,245100,0,1
2000-03-29,50.875,51.5,47.0,47.0,405700,0,1
2000-03-30,46.2188,46.3125,43.0,45.375,557600,0,1
2000-03-31,46.8125,57.0,46.375,57.0,1053500,0,1
2000-04-03,55.5,55.625,49.75,50.9375,482200,0,1
2000-04-04,50.75,51.1875,39.0,46.5,394300,0,1
2000-04-05,41.625,48.75,41.125,46.0,404800,0,1
