date,open,high,low,close,volume,dividend,split
2000-03-24,63.0,79.9375,62.9844,69.375,7420400,0,1
2000-03-27,65.125,76.625,64.5,75.0,1321000,0,1
2000-03-28,74.9375,97.0,72.5,89.0625,1451000,0,1
2000-03-29,90.0,105.75,85.0,93.125,1272700,0,1
2000-03-30,94.9375,96.0,71.375,85.0,812100,0,1
2000-03-31,85.0,89.0,74.5,88.5,780000,0,1
2000-04-03,86.625,87.875,72.5,73.1875,432400,0,1
2000-04-04,75.0,79.0,57.0,77.0,626800,0,1
2000-04-05,76.625,82.0,69.625,70.5,310000,0,1
2000-04-06,78.875,84.0,71.0,77.875,368400,0,1
2000-04-07,77.3125,85.6875,74.0,82.0,166300,0,1
2000-04-10,79.0,83.0,74.25,75.0,231200,0,1
2000-04-11,68.0,78.75,66.0,74.75,147300,0,1
2000-04-12,74.7812,76.0,68.75,69.0,158800,0,1
2000-04-13,69.75,73.0,66.25,72.0,141600,0,1
2000-04-14,72.0,72.0,60.0,63.0,127300,0,1
2000-04-17,60.0625,70.0,56.0,70.0,163400,0,1
2000-04-18,72.5,85.0,71.0,82.5,198900,0,1
2000-04-19,83.75,85.0,76.875,81.0,89800,0,1
2000-04-20,78.5,80.0,75.0,75.0625,64200,0,1
2000-04-24,75.0,80.0,69.0,74.3125,58000,0,1
2000-04-25,75.4375,83.875,75.0,80.75,87600,0,1
2000-04-26,81.875,82.0,78.375,79.4375,77500,0,1
2000-04-27,78.0,87.5,74.5,87.25,96900,0,1
2000-04-28,84.5,89.0,83.375,87.0,159400,0,1
2000-05-01,87.0,100.0,84.0,93.5,170100,0,1
2000-05-02,94.0,101.0,94.0,98.0,171300,0,1
2000-05-03,98.125,102.75,85.0,91.5,227700,0,1
2000-05-04,92.5,96.75,91.75,93.375,52300,0,1
2000-05-05,94.6875,96.75,92.0,92.0,45600,0,1
2000-05-08,91.5,91.5,80.0,80.6875,24100,0,1
2000-05-09,84.8125,87.0,75.75,82.5,34600,0,1
2000-05-10,79.25,84.0,75.75,80.0,59100,0,1
2000-05-11,81.0,82.0,78.625,80.5,31800,0,1
2000-05-12,79.75,80.75,78.625,78.6875,58400,0,1
2000-05-15,78.375,78.375,70.5,73.0,64200,0,1
2000-05-16,74.9375,80.875,74.0,79.0,21000,0,1
2000-05-17,76.25,82.0,76.0625,79.5,43000,0,1
2000-05-18,78.5,78.875,75.625,76.0,6400,0,1
2000-05-19,75.625,76.0,71.75,73.0,45000,0,1
2000-05-22,71.0,73.75,69.0,73.75,67500,0,1
2000-05-23,72.625,73.125,71.0,71.0,288700,0,1
2000-05-24,70.0,70.0,58.75,64.75,123800,0,1
2000-05-25,67.0,67.0,58.75,60.0,90200,0,1
2000-05-26,61.0,61.0,51.125,53.6875,66200,0,1
2000-05-30,53.0,58.75,52.0,56.0625,32000,0,1
2000-05-31,58.0,59.875,45.5,46.0625,104700,0,1
2000-06-01,48.0,51.5,47.625,48.0,281500,0,1
2000-06-02,55.0,55.0,49.375,50.0625,283300,0,1
2000-06-05,50.0,51.0,49.125,49.75,230500,0,1
2000-06-06,52.0,52.125,47.75,48.5,125100,0,1
2000-06-07,49.625,52.0,48.375,50.0,75900,0,1
2000-06-08,50.0,56.5,49.5,56.375,190600,0,1
2000-06-09,56.375,73.9375,56.375,63.625,187400,0,1
2000-06-12,64.0,66.5,59.5,63.875,43400,0,1
2000-06-13,58.125,63.75,57.5,62.5,93400,0,1
2000-06-14,62.5,71.4375,62.5,65.0625,60300,0,1
2000-06-15,66.25,67.0,59.25,60.25,53400,0,1
2000-06-16,62.0,62.0,58.0,60.0,18700,0,1
2000-06-19,58.625,60.6875,52.0,52.0,600000,0,1
2000-06-20,54.0,55.0,51.3125,53.0,136000,0,1
2000-06-21,53.25,54.5,51.0,53.0,83800,0,1
2000-06-22,53.0,60.5,53.0,57.0,612600,0,1
2000-06-23,56.625,58.375,56.0625,57.0,88700,0,1
2000-06-26,58.625,58.625,55.0,56.25,120700,0,1
2000-06-27,55.25,57.9375,52.0,52.0,137600,0,1
2000-06-28,57.0,60.0,55.0,58.375,150400,0,1
2000-06-29,58.875,58.875,55.0,56.4375,26800,0,1
2000-06-30,58.875,60.0,52.0,53.125,70900,0,1
2000-07-03,57.0938,57.0938,52.25,54.0,23900,0,1
2000-07-05,52.625,54.875,51.0,52.6875,103300,0,1
2000-07-06,51.875,53.5,50.0,53.25,151500,0,1
