date,open,high,low,close,volume,dividend,split
2010-03-31,8.0,8.17,7.505,7.54,15194200,0,1
2010-04-01,7.625,7.745,7.55,7.56,1416200,0,1
2010-04-05,7.645,7.645,7.4,7.525,1336200,0,1
2010-04-06,7.515,7.645,7.515,7.645,391800,0,1
2010-04-07,7.63,7.635,7.55,7.55,610000,0,1
2010-04-08,7.565,7.875,7.55,7.86,640200,0,1
2010-04-09,7.805,8.145,7.7,8.0,812800,0,1
2010-04-12,8.09,8.285,7.935,8.255,498000,0,1
2010-04-13,8.15,8.25,8.0,8.21,841400,0,1
2010-04-14,8.19,8.32,8.105,8.225,246400,0,1
2010-04-15,8.225,8.32,8.125,8.28,378600,0,1
2010-04-16,8.165,8.595,8.035,8.5,403600,0,1
2010-04-19,8.5,8.5,8.2,8.27,171400,0,1
2010-04-20,8.25,8.46,8.165,8.24,235000,0,1
2010-04-21,8.265,8.315,8.175,8.175,237600,0,1
2010-04-22,8.18,8.26,7.9,8.005,362000,0,1
2010-04-23,7.985,8.195,7.955,8.05,303000,0,1
2010-04-26,8.145,8.305,8.0,8.225,291400,0,1
2010-04-27,7.955,8.315,7.955,8.275,232200,0,1
2010-04-28,8.225,8.325,7.99,8.26,198000,0,1
2010-04-29,8.3,8.475,8.165,8.4,591800,0,1
2010-04-30,8.41,8.475,8.295,8.39,328600,0,1
2010-05-03,8.35,8.5,8.11,8.365,217000,0,1
2010-05-04,8.305,8.42,8.22,8.32,564800,0,1
2010-05-05,8.26,8.36,8.05,8.165,235600,0,1
2010-05-06,8.1,8.18,7.85,7.95,255800,0,1
2010-05-07,7.985,8.175,7.615,7.875,245200,0,1
2010-05-10,8.27,8.27,7.59,7.655,559600,0,1
2010-05-11,7.71,7.71,7.225,7.665,1133200,0,1
2010-05-12,7.72,8.215,7.72,8.06,386000,0,1
2010-05-13,8.14,8.4,8.075,8.355,496000,0,1
2010-05-14,8.265,8.465,8.25,8.345,310800,0,1
2010-05-17,8.325,8.385,8.115,8.235,206200,0,1
2010-05-18,8.25,8.38,8.24,8.29,197000,0,1
2010-05-19,8.25,8.325,8.15,8.17,115400,0,1
2010-05-20,8.1,8.19,7.675,7.695,226800,0,1
2010-05-21,7.625,7.81,7.45,7.525,145600,0,1
2010-05-24,7.505,7.965,7.5,7.875,175400,0,1
2010-05-25,7.83,7.925,7.655,7.835,140800,0,1
2010-05-26,7.855,8.145,7.85,8.125,208400,0,1
2010-05-27,8.185,8.25,8.055,8.245,234000,0,1
2010-05-28,8.185,8.25,7.78,8.16,258000,0,1
2010-06-01,8.1,8.215,8.005,8.175,187600,0,1
2010-06-02,8.105,8.375,8.1,8.375,521200,0,1
2010-06-03,8.32,8.495,8.32,8.39,354800,0,1
2010-06-04,8.33,8.415,8.125,8.22,234000,0,1
2010-06-07,8.175,8.245,7.875,8.095,507600,0,1
2010-06-08,8.065,8.19,8.05,8.15,410400,0,1
2010-06-09,8.115,8.25,8.07,8.115,127600,0,1
2010-06-10,8.18,8.365,8.1,8.205,156400,0,1
2010-06-11,8.145,8.375,8.145,8.375,56400,0,1
2010-06-14,8.38,8.85,8.32,8.675,378000,0,1
2010-06-15,8.85,9.12,8.675,9.0,450200,0,1
2010-06-16,9.0,9.2,8.975,9.12,354000,0,1
2010-06-17,9.15,9.205,8.665,8.775,217200,0,1
2010-06-18,8.835,8.85,8.255,8.495,333400,0,1
2010-06-21,8.565,8.8,8.325,8.33,191600,0,1
2010-06-22,8.305,8.64,8.045,8.15,171200,0,1
2010-06-23,8.11,8.245,7.68,8.045,531600,0,1
2010-06-24,8.045,8.425,7.9,8.075,408400,0,1
2010-06-25,8.09,8.335,7.95,8.28,3583200,0,1
2010-06-28,8.25,8.54,8.08,8.445,284000,0,1
2010-06-29,8.375,8.65,8.1,8.23,390000,0,1
2010-06-30,8.19,8.455,8.0,8.015,199200,0,1
2010-07-01,8.055,8.145,7.965,7.985,242000,0,1
2010-07-02,8.045,8.31,7.86,8.235,255600,0,1
2010-07-06,8.305,8.375,8.11,8.285,189600,0,1
2010-07-07,8.295,8.62,8.25,8.58,599600,0,1
2010-07-08,8.62,8.91,8.335,8.88,377000,0,1
2010-07-09,8.85,9.14,8.71,9.1,333400,0,1
2010-07-12,9.095,9.18,9.04,9.055,242800,0,1
2010-07-13,9.13,9.13,8.81,8.815,837800,0,1
2010-07-14,8.77,8.795,8.385,8.525,130800,0,1
2010-07-15,8.51,8.51,8.39,8.465,139200,0,1
2010-07-16,8.375,8.4,8.045,8.12,220800,0,1
2010-07-19,8.065,8.365,8.05,8.24,156400,0,1
2010-07-20,8.155,8.405,8.11,8.285,178000,0,1
2010-07-21,8.355,8.49,8.025,8.03,95800,0,1
2010-07-22,8.155,8.355,8.145,8.25,325200,0,1
2010-07-23,8.2,8.42,8.16,8.39,128000,0,1
2010-07-26,8.455,8.7,8.36,8.465,235400,0,1
