date,open,high,low,close,volume,dividend,split
2000-01-03,10.0312,10.25,9.125,10.25,94800,0,1
2000-01-04,10.0625,11.125,10.0,11.0,45500,0,1
2000-01-05,11.0,11.0,10.625,10.875,56500,0,1
2000-01-06,10.625,11.625,10.5625,11.25,73300,0,1
2000-01-07,11.125,12.0,11.0,11.625,42400,0,1
2000-01-10,11.75,12.0,11.4375,11.4375,29500,0,1
2000-01-11,11.6875,12.125,11.5,11.75,46900,0,1
2000-01-12,11.9062,12.25,11.75,12.25,97000,0,1
2000-01-13,12.125,13.1875,12.125,12.1875,149500,0,1
2000-01-14,12.375,12.5,12.25,12.5,84200,0,1
2000-01-18,12.4375,12.5,12.0625,12.0625,82000,0,1
2000-01-19,12.3125,12.3125,11.4375,12.125,35700,0,1
2000-01-20,12.375,13.75,12.375,13.625,263100,0,1
2000-01-21,13.5625,13.5625,12.8125,13.0625,58100,0,1
2000-01-24,13.0625,13.125,12.0,12.25,26100,0,1
2000-01-25,12.5,12.5,11.5,12.0,40900,0,1
2000-01-26,12.0938,12.25,11.875,11.875,15600,0,1
2000-01-27,11.875,12.125,11.0,11.5625,52400,0,1
2000-01-28,11.5938,11.8125,11.5,11.8125,31400,0,1
2000-01-31,11.6562,11.8125,11.0,11.5,50000,0,1
2000-02-01,11.5,11.625,11.375,11.625,13700,0,1
2000-02-02,11.5,11.8125,11.375,11.375,10600,0,1
2000-02-03,11.375,11.8125,11.375,11.5625,11400,0,1
2000-02-04,11.375,11.8125,11.25,11.25,21800,0,1
2000-02-07,11.375,11.8125,11.25,11.75,45000,0,1
2000-02-08,11.875,11.9375,11.5,11.5625,31200,0,1
2000-02-09,11.7188,11.875,11.5625,11.875,31200,0,1
2000-02-10,11.875,12.5,11.625,11.8125,42800,0,1
2000-02-11,11.9062,12.375,11.75,11.8125,16800,0,1
2000-02-14,12.25,12.25,11.8125,11.875,43100,0,1
2000-02-15,11.875,12.0,11.5625,11.6875,33200,0,1
2000-02-16,11.625,11.625,10.6875,11.375,62100,0,1
2000-02-17,11.5,12.125,11.0,12.125,100300,0,1
2000-02-18,12.125,12.125,11.625,11.875,47000,0,1
2000-02-22,12.125,12.125,11.375,11.75,30700,0,1
2000-02-23,11.375,11.625,10.75,10.75,16900,0,1
2000-02-24,10.6875,11.25,10.25,10.5,279400,0,1
2000-02-25,10.625,11.75,10.4375,11.625,147600,0,1
2000-02-28,11.6562,12.125,11.4375,12.125,149600,0,1
2000-02-29,12.125,12.5,11.9375,12.0,71100,0,1
2000-03-01,12.125,12.1875,11.25,11.875,61500,0,1
2000-03-02,11.875,12.125,11.75,11.9375,77100,0,1
2000-03-03,12.0,12.5,11.75,12.25,273300,0,1
2000-03-06,12.5,12.875,12.0,12.4375,183200,0,1
2000-03-07,12.875,13.0,12.75,12.8125,155600,0,1
2000-03-08,12.8125,12.9375,12.3125,12.4375,108300,0,1
2000-03-09,12.4375,12.6875,12.375,12.625,134700,0,1
2000-03-10,12.375,12.75,12.1875,12.375,109200,0,1
2000-03-13,12.625,12.9375,12.125,12.5,130800,0,1
2000-03-14,12.6562,12.875,12.25,12.25,120900,0,1
2000-03-15,12.4375,12.875,12.25,12.75,147300,0,1
2000-03-16,12.75,13.0,12.5,12.75,49400,0,1
2000-03-17,12.6875,13.875,12.3125,13.75,117500,0,1
2000-03-20,13.75,13.875,12.5,13.0,52100,0,1
2000-03-21,13.0,13.0,12.5625,12.875,43900,0,1
2000-03-22,13.0,13.0625,12.875,13.0,12900,0,1
2000-03-23,13.0,13.0,12.5,12.75,22400,0,1
2000-03-24,12.75,12.75,12.375,12.625,46200,0,1
2000-03-27,12.625,12.625,12.125,12.25,47600,0,1
2000-03-28,12.25,12.2969,11.4375,11.625,55300,0,1
2000-03-29,11.8125,12.1875,11.25,11.25,34900,0,1
2000-03-30,11.5625,11.875,11.0,11.4375,104500,0,1
2000-03-31,11.2188,11.625,11.1875,11.625,42700,0,1
2000-04-03,11.8125,11.8125,11.0,11.0,148100,0,1
2000-04-04,11.5,11.5,9.75,11.0,86000,0,1
2000-04-05,10.375,11.625,10.375,11.625,81700,0,1
2000-04-06,12.375,12.875,10.9375,10.9375,201800,0,1
2000-04-07,11.0,11.1875,10.625,10.6875,63400,0,1
2000-04-10,11.1875,11.625,10.625,10.875,96700,0,1
2000-04-11,10.9375,11.5,10.875,11.0,33900,0,1
2000-04-12,11.125,11.125,10.875,10.9375,114000,0,1
2000-04-13,10.875,12.125,10.875,11.6875,180300,0,1
2000-04-14,11.375,11.625,9.375,10.125,90900,0,1
2000-04-17,9.375,10.125,9.375,10.125,64500,0,1
2000-04-18,9.9062,11.25,9.875,11.25,86000,0,1
2000-04-19,11.25,11.375,10.5625,10.75,52000,0,1
2000-04-20,10.75,10.875,10.4375,10.6875,17600,0,1
2000-04-24,10.625,10.625,10.375,10.375,50500,0,1
2000-04-25,10.6875,10.6875,10.25,10.625,262900,0,1
2000-04-26,10.5,10.625,10.3125,10.625,46800,0,1
2000-04-27,10.4375,10.625,10.4375,10.625,55100,0,1
2000-04-28,10.5625,10.625,10.3125,10.625,23500,0,1
2000-05-01,10.375,11.375,10.375,10.875,1100300,0,1
2000-05-02,10.875,11.125,10.875,10.875,4000,0,1
2000-05-03,10.75,11.875,10.375,11.4375,82700,0,1
2000-05-04,11.5625,13.5,11.25,11.75,488300,0,1
2000-05-05,11.375,11.75,10.6875,11.0625,103200,0,1
2000-05-08,11.0625,11.125,10.75,11.0,40200,0,1
2000-05-09,10.9375,11.0625,10.1875,10.1875,92200,0,1
2000-05-10,10.5,10.75,10.0,10.5625,46300,0,1
2000-05-11,10.5,11.0,10.25,10.625,27000,0,1
2000-05-12,11.0,11.25,10.625,11.0,45300,0,1
2000-05-15,11.125,11.125,10.875,10.875,40300,0,1
2000-05-16,10.875,11.5,10.25,11.375,60800,0,1
2000-05-17,10.75,11.75,10.75,11.625,56500,0,1
2000-05-18,11.625,11.875,11.625,11.875,35500,0,1
2000-05-19,11.6875,13.9375,11.375,13.6406,236500,0,1
