date,open,high,low,close,volume,dividend,split
2000-01-03,87.125,87.75,71.875,82.25,739400,0,1
2000-01-04,77.75,88.25,77.25,82.5,447000,0,1
2000-01-05,88.75,94.875,87.0,90.875,964200,0,1
2000-01-06,93.0,93.5,80.0,80.0,250400,0,1
2000-01-07,80.0,83.25,76.0,77.375,408700,0,1
2000-01-10,79.125,82.0,74.25,80.75,836800,0,1
2000-01-11,80.25,80.75,73.0,74.0,195600,0,1
2000-01-12,75.25,78.25,67.25,68.0,459200,0,1
2000-01-13,71.25,73.0,67.0,67.75,338300,0,1
2000-01-14,68.375,69.0,66.0,66.625,235000,0,1
2000-01-18,68.0,85.5,66.6875,81.75,984200,0,1
2000-01-19,83.25,91.75,83.125,86.375,736800,0,1
2000-01-20,86.75,88.875,82.25,86.5,300700,0,1
2000-01-21,85.5,90.75,82.75,89.0,212200,0,1
2000-01-24,89.75,103.0,89.625,95.0,671200,0,1
2000-01-25,96.125,96.625,88.75,94.25,251800,0,1
2000-01-26,94.75,94.75,86.0,86.5,162900,0,1
2000-01-27,88.75,89.25,81.5,83.0,159300,0,1
2000-01-28,78.25,78.5,69.875,70.25,637300,0,1
2000-01-31,70.625,71.25,64.0,67.0,377300,0,1
2000-02-01,67.125,67.25,61.25,64.75,367100,0,1
2000-02-02,65.0,66.875,62.75,64.875,260800,0,1
2000-02-03,67.25,67.25,60.5,60.5,768000,0,1
2000-02-04,61.625,62.0,54.5,55.75,1154100,0,1
2000-02-07,55.875,67.625,52.0,65.5,3274500,0,1
2000-02-08,64.75,67.25,59.5,61.875,832000,0,1
2000-02-09,64.375,66.75,61.5,62.125,856600,0,1
2000-02-10,64.625,72.25,63.75,72.25,925600,0,1
2000-02-11,72.5,73.0,66.0,66.5,433100,0,1
2000-02-14,66.375,66.375,60.0,64.5,512800,0,1
2000-02-15,64.125,69.0,62.0,68.875,324200,0,1
2000-02-16,68.0,70.5,66.25,70.0,321400,0,1
2000-02-17,72.5,77.625,71.25,76.375,975100,0,1
2000-02-18,78.5,79.625,71.0,71.375,318600,0,1
2000-02-22,71.375,72.0,66.75,70.25,226100,0,1
2000-02-23,71.0,71.0,65.625,66.75,403200,0,1
2000-02-24,66.5,67.5,61.25,64.25,243100,0,1
2000-02-25,64.25,64.25,61.25,61.75,407600,0,1
2000-02-28,61.75,63.25,60.5,60.75,408000,0,1
2000-02-29,60.875,61.0,56.25,56.625,460900,0,1
2000-03-01,56.625,56.75,47.125,50.375,1396200,0,1
2000-03-02,52.0,53.75,49.25,50.0,611100,0,1
2000-03-03,51.5,52.25,49.0,51.25,698600,0,1
2000-03-06,52.5,53.0,46.0,47.125,845400,0,1
2000-03-07,52.25,66.0,49.25,59.375,3409300,0,1
2000-03-08,60.5,68.0,56.625,64.875,1250100,0,1
