date,open,high,low,close,volume,dividend,split
2019-03-07,24.8,30.99,24.58,29.41,3162200,0,1
2019-03-08,30.34,32.5,29.0,31.61,651400,0,1
2019-03-11,31.97,34.19,30.5,31.43,217800,0,1
2019-03-12,29.29,31.475,28.21,30.0,482100,0,1
2019-03-13,30.74,30.95,29.83,30.01,223900,0,1
2019-03-14,30.0,30.725,30.0,30.09,195100,0,1
2019-03-15,30.62,38.1,30.45,38.1,334400,0,1
2019-03-18,39.98,43.39,35.7,36.5,576800,0,1
2019-03-19,36.98,37.416,34.51,35.65,145600,0,1
2019-03-20,36.99,37.239,32.52,32.97,351400,0,1
2019-03-21,33.37,35.46,31.6,33.92,312900,0,1
2019-03-22,34.79,34.79,33.01,34.52,109400,0,1
2019-03-25,34.51,35.48,33.5,34.9,98500,0,1
2019-03-26,35.57,36.3,34.6,34.95,325700,0,1
2019-03-27,34.97,35.41,32.355,34.0,153700,0,1
2019-03-28,34.03,34.665,31.11,32.1,197100,0,1
2019-03-29,32.14,34.87,32.11,33.47,165100,0,1
2019-04-01,33.25,34.07,32.79,33.53,419400,0,1
2019-04-02,33.46,33.81,31.51,32.15,169900,0,1
2019-04-03,32.3,32.59,29.58,30.18,484400,0,1
2019-04-04,30.97,31.5,29.5,30.455,266200,0,1
2019-04-05,30.35,31.8,29.62,30.05,147100,0,1
2019-04-08,30.0,30.21,29.7,29.8,138100,0,1
2019-04-09,29.63,30.87,29.3,29.99,200300,0,1
2019-04-10,30.39,30.39,29.3,29.73,221200,0,1
2019-04-11,29.9,30.28,28.8,30.1,381900,0,1
2019-04-12,30.25,31.47,29.93,30.36,179200,0,1
2019-04-15,30.22,30.36,29.6,30.2,223600,0,1
2019-04-16,30.05,30.841,29.87,30.32,123100,0,1
2019-04-17,30.37,30.37,29.8,29.98,326200,0,1
2019-04-18,29.86,30.64,29.78,30.12,476500,0,1
2019-04-22,29.97,32.266,29.97,31.68,170800,0,1
2019-04-23,31.9,32.086,31.0,31.24,101100,0,1
2019-04-24,31.27,34.5,30.52,34.5,260900,0,1
2019-04-25,34.5,41.174,33.96,38.54,2107400,0,1
