date,open,high,low,close,volume,dividend,split
2010-01-05,4.474,4.48,4.41,4.452,76000,0,1
2010-01-06,4.48,4.482,4.47,4.482,56000,0,1
2010-01-07,4.298,4.3,4.254,4.3,49500,0,1
2010-01-08,4.29,4.36,4.29,4.358,26000,0,1
2010-01-11,4.44,4.444,4.426,4.444,134000,0,1
2010-01-12,4.39,4.39,4.33,4.366,67000,0,1
2010-01-13,4.37,4.45,4.37,4.45,35000,0,1
2010-01-14,4.49,4.5,4.47,4.488,271500,0,1
2010-01-15,4.52,4.554,4.468,4.51,70000,0,1
2010-01-19,4.19,4.226,4.13,4.224,165000,0,1
2010-01-20,4.02,4.032,3.924,3.96,1448500,0,1
2010-01-21,3.928,3.928,3.9,3.9,61500,0,1
2010-01-22,3.878,3.88,3.77,3.77,291500,0,1
2010-01-25,3.792,3.872,3.792,3.872,230000,0,1
2010-01-26,3.7,3.73,3.69,3.69,73000,0,1
2010-01-27,3.668,3.668,3.6,3.63,90000,0,1
2010-01-28,3.71,3.778,3.698,3.7,174000,0,1
2010-01-29,3.778,3.78,3.722,3.76,27000,0,1
2010-02-01,3.678,3.692,3.66,3.66,38000,0,1
2010-02-02,3.662,3.71,3.662,3.71,26500,0,1
2010-02-03,3.904,3.904,3.85,3.894,38000,0,1
2010-02-04,3.786,3.786,3.642,3.642,134500,0,1
2010-02-05,3.596,3.596,3.5,3.518,302500,0,1
2010-02-08,3.578,3.578,3.514,3.514,97500,0,1
2010-02-09,3.492,3.51,3.49,3.51,31000,0,1
2010-02-10,3.554,3.588,3.53,3.588,95000,0,1
2010-02-11,3.712,3.768,3.712,3.768,40500,0,1
2010-02-12,3.8,3.8,3.75,3.752,104500,0,1
2010-02-16,3.8,3.892,3.8,3.836,56500,0,1
2010-02-17,3.868,3.92,3.86,3.88,58500,0,1
2010-02-18,3.88,3.9,3.82,3.9,80000,0,1
2010-02-19,3.71,3.756,3.654,3.744,76000,0,1
2010-02-22,3.878,3.878,3.85,3.878,386500,0,1
2010-02-23,3.88,3.88,3.85,3.862,21000,0,1
2010-02-24,3.836,3.88,3.836,3.86,40000,0,1
2010-02-25,3.764,3.828,3.764,3.824,126000,0,1
