date,open,high,low,close,volume,dividend,split
2000-01-03,5.9688,6.0,5.5,5.5625,179700,0,1
2000-01-04,5.25,5.5,4.8125,4.8125,96300,0,1
2000-01-05,4.9688,5.1875,4.875,5.0,107100,0,1
2000-01-06,5.0,5.125,4.75,4.75,149400,0,1
2000-01-07,5.0,5.0625,4.875,5.0,69100,0,1
2000-01-10,5.125,5.25,5.0,5.0312,168400,0,1
2000-01-11,5.0625,5.125,5.0,5.0,202800,0,1
2000-01-12,5.0,5.0625,4.875,4.9062,59200,0,1
2000-01-13,5.0,5.125,4.875,5.0,162100,0,1
2000-01-14,5.0312,5.0625,5.0,5.0625,105000,0,1
2000-01-18,5.0,5.0,4.75,4.75,111900,0,1
2000-01-19,4.9062,4.9375,4.8125,4.875,51900,0,1
2000-01-20,4.875,5.0,4.8438,4.875,99800,0,1
2000-01-21,4.8594,4.9688,4.8125,4.8438,168500,0,1
2000-01-24,4.8125,5.0,4.75,4.9375,143400,0,1
2000-01-25,4.875,4.9375,4.5625,4.8125,131800,0,1
2000-01-26,4.7812,4.9062,4.625,4.7812,62200,0,1
2000-01-27,4.75,4.9375,4.5,4.7344,117600,0,1
2000-01-28,4.9375,4.9375,4.6875,4.8438,89700,0,1
2000-01-31,4.9375,4.9375,4.75,4.875,69900,0,1
2000-02-01,4.875,5.2188,4.8125,5.0625,173500,0,1
2000-02-02,5.125,5.1875,4.75,4.875,129500,0,1
2000-02-03,4.9375,5.0,4.7812,4.875,173900,0,1
2000-02-04,4.8906,5.0,4.8125,4.8438,99900,0,1
2000-02-07,4.9062,4.9375,4.75,4.875,112100,0,1
2000-02-08,4.875,4.9375,4.5,4.5,234400,0,1
2000-02-09,4.5,4.6875,4.5,4.5312,92300,0,1
2000-02-10,4.625,4.7188,4.5,4.5,117600,0,1
2000-02-11,4.625,4.6875,4.4375,4.5,136000,0,1
2000-02-14,4.5312,4.625,4.375,4.4062,82200,0,1
2000-02-15,4.4062,4.625,4.375,4.5312,148600,0,1
2000-02-16,4.5,4.625,4.4375,4.4375,97600,0,1
2000-02-17,4.5625,4.5625,4.4375,4.5,40900,0,1
2000-02-18,4.5,4.5625,4.25,4.25,90100,0,1
2000-02-22,4.375,4.5625,4.25,4.5625,163100,0,1
2000-02-23,4.5312,4.625,4.125,4.125,100900,0,1
2000-02-24,4.0938,4.5625,4.0938,4.4375,248900,0,1
2000-02-25,4.5625,4.625,4.375,4.375,458500,0,1
2000-02-28,4.5,4.625,4.25,4.25,328100,0,1
2000-02-29,4.25,4.5625,4.25,4.5,247300,0,1
2000-03-01,4.4375,4.5625,4.375,4.4375,113700,0,1
2000-03-02,4.5,4.5625,4.4375,4.5625,85600,0,1
2000-03-03,4.5,4.5625,4.4375,4.4375,170700,0,1
2000-03-06,4.5625,4.5625,4.3125,4.375,79900,0,1
2000-03-07,4.5,4.5625,4.3125,4.4375,124600,0,1
2000-03-08,4.4375,4.4375,4.25,4.3438,94700,0,1
2000-03-09,4.3281,4.375,4.3125,4.375,94000,0,1
2000-03-10,4.375,4.375,4.25,4.25,55700,0,1
2000-03-13,4.25,4.4375,4.1875,4.375,142500,0,1
2000-03-14,4.25,4.4375,4.25,4.3125,73500,0,1
2000-03-15,4.375,4.5,4.2812,4.4062,246700,0,1
2000-03-16,4.375,4.625,4.375,4.5,332600,0,1
2000-03-17,4.3906,4.625,4.375,4.4375,180800,0,1
2000-03-20,4.5625,4.5625,4.2812,4.2812,73900,0,1
2000-03-21,4.2188,4.5625,4.1875,4.5156,154500,0,1
2000-03-22,4.375,4.5625,4.375,4.375,206500,0,1
2000-03-23,4.375,4.5625,4.375,4.5,136700,0,1
2000-03-24,4.375,4.375,3.9375,4.0625,702700,0,1
2000-03-27,4.0938,4.25,4.0,4.0,268100,0,1
2000-03-28,4.125,4.375,4.0625,4.25,236700,0,1
