date,open,high,low,close,volume,dividend,split
2000-01-03,5.625,5.9375,5.5312,5.9375,1605400,0,1
2000-01-04,6.0312,6.0625,5.75,5.8438,1431200,0,1
2000-01-05,5.5312,5.8125,5.5,5.75,871200,0,1
2000-01-06,5.6875,5.6875,5.5625,5.6562,783400,0,1
2000-01-07,5.6562,5.875,5.5938,5.875,1040800,0,1
2000-01-10,5.875,6.0,5.7812,6.0,895000,0,1
2000-01-11,5.75,5.9062,5.75,5.875,885400,0,1
2000-01-12,5.7188,5.9062,5.7188,5.875,194000,0,1
2000-01-13,5.9375,5.9375,5.7812,5.9375,499400,0,1
2000-01-14,5.875,6.0,5.875,6.0,617400,0,1
2000-01-18,5.9375,5.9375,5.6875,5.8125,754200,0,1
2000-01-19,5.25,5.4375,5.25,5.375,937000,0,1
2000-01-20,5.5312,5.5625,5.375,5.4062,689200,0,1
2000-01-21,5.4375,5.4375,5.2812,5.3438,275600,0,1
2000-01-24,5.3125,5.3125,5.125,5.125,806400,0,1
2000-01-25,5.125,5.1562,5.0312,5.0938,727600,0,1
2000-01-26,5.0938,5.1875,5.0938,5.1562,181000,0,1
2000-01-27,5.1875,5.3125,5.1875,5.25,363800,0,1
2000-01-28,5.0938,5.1562,5.0,5.0312,408400,0,1
2000-01-31,5.0,5.0312,4.875,5.0,1624000,0,1
2000-02-01,4.8125,4.875,4.8125,4.875,433800,0,1
2000-02-02,4.8125,4.8125,4.5312,4.5938,1699400,0,1
2000-02-03,4.7188,4.75,4.6562,4.6875,1120800,0,1
2000-02-04,4.875,5.0,4.8438,5.0,933200,0,1
2000-02-07,5.0938,5.25,4.9688,5.1875,905200,0,1
2000-02-08,5.25,5.25,5.0938,5.2188,422000,0,1
2000-02-09,5.25,5.4688,5.0938,5.4375,1481200,0,1
2000-02-10,5.4062,5.4688,5.3438,5.4375,834000,0,1
2000-02-11,5.3438,5.375,5.125,5.2188,728200,0,1
2000-02-14,5.2188,5.25,5.125,5.25,1154400,0,1
2000-02-15,5.1562,5.2188,5.125,5.2188,555400,0,1
2000-02-16,5.0938,5.0938,5.0312,5.0625,362200,0,1
2000-02-17,5.0,5.0,4.9375,4.9688,605000,0,1
2000-02-18,5.0,5.1562,4.9688,5.125,813000,0,1
2000-02-22,4.9375,4.9375,4.75,4.875,879000,0,1
2000-02-23,4.875,4.9688,4.875,4.9375,374400,0,1
2000-02-24,4.75,4.7812,4.5938,4.6562,819400,0,1
2000-02-25,4.7188,4.8438,4.6562,4.7812,715400,0,1
2000-02-28,5.0,5.0,4.7812,4.875,353000,0,1
2000-02-29,4.75,4.875,4.6875,4.8438,272200,0,1
2000-03-01,4.8125,4.8438,4.6875,4.8125,319800,0,1
2000-03-02,4.6875,4.6875,4.5625,4.5938,1209800,0,1
2000-03-03,4.625,4.7188,4.5938,4.7188,616400,0,1
2000-03-06,4.5938,4.6875,4.5625,4.5625,880400,0,1
2000-03-07,4.5625,4.625,4.5312,4.5312,407600,0,1
2000-03-08,4.5938,4.6875,4.5625,4.6562,559800,0,1
2000-03-09,4.8125,5.0625,4.75,5.0312,712600,0,1
2000-03-10,5.0312,5.0312,4.9375,4.9688,293600,0,1
2000-03-13,4.9375,4.9375,4.8438,4.8438,645600,0,1
2000-03-14,4.9062,4.9062,4.8438,4.875,307600,0,1
2000-03-15,4.8125,4.875,4.7812,4.8438,208200,0,1
2000-03-16,4.8438,4.9375,4.75,4.9375,420000,0,1
2000-03-17,4.875,4.9375,4.875,4.9062,357400,0,1
2000-03-20,4.875,4.875,4.7812,4.8125,274200,0,1
2000-03-21,4.8125,4.9062,4.7812,4.875,343800,0,1
2000-03-22,4.8438,4.875,4.8438,4.875,254200,0,1
2000-03-23,4.6875,4.9062,4.6875,4.875,167000,0,1
2000-03-24,4.8125,4.9375,4.8125,4.875,110600,0,1
2000-03-27,4.8438,4.9062,4.8125,4.875,277000,0,1
2000-03-28,4.8125,4.8125,4.625,4.6875,310800,0,1
2000-03-29,4.7812,4.875,4.7812,4.8125,381800,0,1
2000-03-30,4.75,4.75,4.625,4.625,614400,0,1
2000-03-31,4.625,4.75,4.625,4.75,490200,0,1
2000-04-03,4.6875,4.6875,4.4375,4.5,363200,0,1
