date,open,high,low,close,volume,dividend,split
2016-07-29,27.66,28.0,24.26,25.5,5135100,0,1
2016-08-01,26.51,27.4,25.68,26.02,1008300,0,1
2016-08-02,26.04,26.407,25.03,25.85,332600,0,1
2016-08-03,26.21,26.34,25.25,25.52,207600,0,1
2016-08-04,25.5,25.88,25.0,25.78,143100,0,1
2016-08-05,26.0,26.05,25.09,25.62,281400,0,1
2016-08-08,24.84,25.57,24.8,25.12,296800,0,1
2016-08-09,25.39,25.81,25.05,25.4,252300,0,1
2016-08-10,25.25,25.26,24.61,24.87,459700,0,1
2016-08-11,25.15,25.28,24.795,24.96,217100,0,1
2016-08-12,25.1,25.17,24.586,25.11,186600,0,1
2016-08-15,25.48,32.89,25.48,31.11,2228000,0,1
2016-08-16,32.68,34.489,30.302,30.85,969400,0,1
2016-08-17,30.8,30.8,28.5,29.3,496000,0,1
2016-08-18,29.75,29.75,25.79,26.39,667900,0,1
2016-08-19,26.16,28.76,25.5,27.56,760100,0,1
2016-08-22,28.31,31.49,27.68,29.8,1338300,0,1
2016-08-23,29.72,30.77,28.27,29.89,471000,0,1
2016-08-24,29.38,29.97,28.27,28.6,396100,0,1
2016-08-25,28.79,30.7,28.21,30.18,1203200,0,1
2016-08-26,25.7,29.275,25.34,28.98,1964300,0,1
2016-08-29,28.65,29.63,27.58,27.66,400700,0,1
2016-08-30,27.33,27.7,25.841,25.96,524800,0,1
2016-08-31,25.8,27.0,25.511,25.6,184600,0,1
2016-09-01,25.5,25.79,24.81,25.27,471500,0,1
2016-09-02,25.49,26.329,24.882,25.08,691500,0,1
2016-09-06,25.11,25.68,24.8,25.29,311800,0,1
2016-09-07,25.79,26.343,25.35,25.88,400000,0,1
2016-09-08,26.0,26.768,25.66,26.61,411700,0,1
2016-09-09,26.81,27.216,26.01,26.23,421000,0,1
2016-09-12,26.0,27.225,25.37,26.45,441300,0,1
2016-09-13,25.9,27.14,25.4,27.0,284200,0,1
2016-09-14,27.0,27.98,26.5,27.31,274300,0,1
2016-09-15,27.41,28.2,26.871,28.13,321000,0,1
2016-09-16,27.84,28.0,26.52,26.67,239400,0,1
2016-09-19,26.91,27.13,25.3,25.4,305800,0,1
2016-09-20,25.4,25.7,25.0,25.1,116000,0,1
2016-09-21,25.1,25.615,24.7,25.34,226700,0,1
2016-09-22,25.41,25.8,24.85,25.04,251600,0,1
2016-09-23,25.1,25.32,24.87,25.04,204900,0,1
2016-09-26,24.89,26.88,24.89,26.5,351200,0,1
2016-09-27,26.47,26.8,25.52,26.36,298000,0,1
2016-09-28,26.5,26.93,25.457,25.51,229300,0,1
2016-09-29,25.56,25.85,25.1,25.11,103500,0,1
2016-09-30,25.0,26.31,24.901,26.16,226900,0,1
2016-10-03,26.16,26.51,25.533,25.68,48600,0,1
2016-10-04,25.5,25.991,25.26,25.5,121400,0,1
2016-10-05,25.62,25.72,25.0,25.15,126500,0,1
2016-10-06,25.31,25.43,24.291,24.5,226200,0,1
2016-10-07,24.52,24.52,22.44,22.45,195400,0,1
2016-10-10,22.67,23.45,22.452,23.41,106400,0,1
2016-10-11,23.46,23.749,21.521,22.63,143500,0,1
2016-10-12,22.55,22.7,22.01,22.22,55500,0,1
2016-10-13,23.49,24.95,23.0,24.29,393800,0,1
2016-10-14,24.52,25.252,24.3,24.96,230600,0,1
2016-10-17,25.0,25.0,24.16,24.31,53400,0,1
2016-10-18,24.57,24.995,24.21,24.26,48600,0,1
2016-10-19,24.25,24.46,23.5,24.01,102100,0,1
2016-10-20,24.05,24.05,23.46,23.47,43300,0,1
2016-10-21,23.38,24.2,23.27,23.67,74000,0,1
2016-10-24,23.69,24.06,23.481,23.85,15100,0,1
2016-10-25,23.9,23.9,22.47,23.03,48700,0,1
2016-10-26,22.856,23.49,22.29,22.46,101600,0,1
2016-10-27,22.62,23.35,21.29,21.7,253500,0,1
2016-10-28,21.59,22.48,21.5,22.2,40600,0,1
2016-10-31,22.38,22.69,21.38,21.67,125500,0,1
2016-11-01,21.93,22.0,21.34,21.77,64400,0,1
2016-11-02,22.65,22.95,21.91,22.31,134400,0,1
2016-11-03,22.3,22.34,21.34,21.75,115300,0,1
2016-11-04,21.7,22.57,21.52,22.51,138200,0,1
2016-11-07,22.79,23.15,22.0,22.85,97000,0,1
2016-11-08,22.61,23.74,22.38,23.0,50600,0,1
2016-11-09,22.01,23.12,21.5,22.5,159300,0,1
2016-11-10,22.4,24.42,22.4,23.5,143000,0,1
2016-11-11,24.5,25.0,22.651,24.94,128900,0,1
2016-11-14,25.0,25.41,24.36,25.02,110200,0,1
2016-11-15,25.23,26.33,24.82,26.16,346000,0,1
2016-11-16,26.79,26.79,25.53,25.86,195500,0,1
2016-11-17,26.21,26.72,25.78,26.0,114000,0,1
2016-11-18,26.38,26.38,25.25,25.68,161900,0,1
2016-11-21,25.64,25.841,24.55,24.83,99800,0,1
2016-11-22,24.65,25.04,24.28,24.71,107900,0,1
2016-11-23,24.86,24.86,24.13,24.36,30000,0,1
2016-11-25,24.43,24.59,23.41,23.84,49600,0,1
2016-11-28,23.67,23.87,23.0,23.62,96100,0,1
2016-11-29,23.48,24.0,23.28,23.65,74800,0,1
2016-11-30,23.34,23.693,23.005,23.09,35900,0,1
2016-12-01,23.19,23.19,21.4,21.5,135800,0,1
2016-12-02,21.75,22.543,21.043,21.54,51600,0,1
2016-12-05,21.56,22.37,21.56,21.58,43200,0,1
2016-12-06,21.62,22.1,21.02,21.57,26000,0,1
2016-12-07,21.72,22.37,21.21,21.77,89800,0,1
2016-12-08,22.0,22.295,21.255,21.79,47200,0,1
2016-12-09,21.79,22.12,21.145,21.325,37200,0,1
2016-12-12,21.23,22.5,21.23,21.45,97200,0,1
2016-12-13,21.47,22.4,21.315,22.0,87700,0,1
2016-12-14,22.18,22.4,21.483,22.24,55000,0,1
2016-12-15,22.37,24.3,21.805,24.3,116500,0,1
2016-12-16,24.63,25.249,22.627,24.28,97300,0,1
2016-12-19,24.22,24.81,23.176,23.62,122000,0,1
2016-12-20,23.5,24.54,23.29,23.82,80200,0,1
2016-12-21,23.55,24.35,23.28,23.65,66800,0,1
2016-12-22,23.58,23.673,23.14,23.47,34000,0,1
2016-12-23,23.29,23.6,23.01,23.43,17200,0,1
2016-12-27,23.54,23.54,22.265,22.77,113000,0,1
2016-12-28,22.63,22.75,22.22,22.5,25600,0,1
2016-12-29,22.62,23.4,22.305,22.83,27300,0,1
2016-12-30,22.81,23.265,22.051,22.2,22100,0,1
2017-01-03,22.59,22.59,21.705,22.3,52000,0,1
2017-01-04,21.955,22.62,21.95,22.1,24100,0,1
2017-01-05,22.14,22.9,22.1,22.11,16800,0,1
2017-01-06,22.31,22.75,22.2,22.7,43300,0,1
2017-01-09,22.61,23.405,22.435,22.71,58600,0,1
2017-01-10,22.92,23.565,22.63,23.16,41700,0,1
2017-01-11,23.21,24.49,23.15,23.79,41600,0,1
2017-01-12,23.82,24.05,23.0,23.44,27700,0,1
2017-01-13,23.4,23.89,23.355,23.6,22000,0,1
2017-01-17,23.36,23.49,23.056,23.27,19200,0,1
2017-01-18,23.25,23.97,23.133,23.45,20500,0,1
2017-01-19,23.55,23.79,23.07,23.64,24200,0,1
2017-01-20,23.51,23.98,23.38,23.84,59900,0,1
2017-01-23,23.8,23.815,22.65,23.09,59900,0,1
2017-01-24,23.0,23.35,21.25,22.71,187400,0,1
2017-01-25,22.38,22.68,21.5,22.45,111600,0,1
2017-01-26,22.21,22.449,21.55,22.33,85200,0,1
2017-01-27,22.2,22.78,21.93,22.49,43000,0,1
2017-01-30,22.38,23.48,22.0,22.61,96300,0,1
2017-01-31,22.26,22.995,22.26,22.52,8200,0,1
2017-02-01,22.53,23.35,22.445,23.02,29600,0,1
2017-02-02,23.06,23.06,22.45,22.85,17600,0,1
2017-02-03,22.735,22.925,22.463,22.76,20700,0,1
2017-02-06,22.93,23.0,22.52,22.94,24300,0,1
2017-02-07,23.0,23.4,22.2,22.87,46600,0,1
2017-02-08,22.89,23.0,22.13,22.94,29300,0,1
2017-02-09,22.63,23.19,22.05,23.09,55800,0,1
2017-02-10,23.47,26.9,23.47,26.9,309400,0,1
2017-02-13,27.01,27.01,25.06,26.36,228600,0,1
2017-02-14,25.52,25.894,24.75,25.69,268400,0,1
2017-02-15,25.47,26.5,24.748,26.37,190700,0,1
2017-02-16,26.0,27.0,25.745,27.0,141700,0,1
2017-02-17,26.6,27.858,26.53,27.64,84100,0,1
2017-02-21,27.47,27.809,27.12,27.65,50600,0,1
2017-02-22,27.57,27.57,26.55,27.35,55400,0,1
2017-02-23,27.14,27.17,26.01,27.12,44400,0,1
2017-02-24,27.05,27.2,26.29,27.2,38200,0,1
2017-02-27,26.86,27.18,26.361,26.87,79200,0,1
2017-02-28,26.46,27.16,26.46,27.11,36100,0,1
2017-03-01,26.98,27.69,26.758,27.41,78700,0,1
2017-03-02,27.0,27.673,26.93,27.38,82700,0,1
2017-03-03,27.08,27.4,26.46,27.05,58900,0,1
2017-03-06,26.82,26.918,26.047,26.6,59100,0,1
2017-03-07,26.2,26.42,25.56,26.32,66700,0,1
2017-03-08,26.46,27.9,26.45,27.07,88500,0,1
2017-03-09,26.76,27.37,26.44,27.11,26000,0,1
2017-03-10,27.36,27.89,26.5,27.75,42700,0,1
2017-03-13,27.51,27.97,27.51,27.9,37100,0,1
2017-03-14,27.9,28.41,26.78,28.07,131100,0,1
2017-03-15,28.0,29.18,27.9,28.77,149800,0,1
2017-03-16,30.01,31.39,29.01,29.34,2573900,0,1
2017-03-17,29.34,30.125,29.098,30.05,299500,0,1
2017-03-20,30.19,30.34,29.695,29.99,100500,0,1
2017-03-21,29.89,30.17,29.04,29.32,246800,0,1
2017-03-22,29.22,29.58,28.75,29.12,197700,0,1
2017-03-23,29.26,29.443,28.76,28.9,79100,0,1
2017-03-24,28.9,29.2,28.26,28.57,103600,0,1
2017-03-27,28.28,28.28,27.13,27.4,209300,0,1
2017-03-28,27.33,29.17,27.33,28.85,200100,0,1
2017-03-29,28.88,29.1,28.28,28.97,88600,0,1
2017-03-30,28.98,29.29,28.69,29.14,64900,0,1
2017-03-31,29.37,30.0,29.31,29.78,113700,0,1
2017-04-03,29.92,29.92,29.12,29.465,126300,0,1
2017-04-04,30.24,31.28,30.01,30.11,215200,0,1
2017-04-05,30.54,30.74,30.24,30.34,198600,0,1
2017-04-06,30.38,31.39,30.14,30.76,162000,0,1
2017-04-07,30.6,31.02,30.32,30.69,116800,0,1
2017-04-10,30.96,31.41,30.81,31.1,165100,0,1
2017-04-11,31.28,31.8,30.8,31.21,105100,0,1
2017-04-12,31.53,31.93,29.625,30.16,119100,0,1
2017-04-13,29.95,31.08,29.6,29.73,56100,0,1
2017-04-17,29.48,29.77,28.77,29.22,219200,0,1
2017-04-18,29.3,29.38,29.0,29.22,66600,0,1
2017-04-19,29.42,30.25,29.24,29.95,75800,0,1
2017-04-20,30.11,30.61,29.55,30.07,70600,0,1
2017-04-21,30.33,30.42,29.28,29.76,159000,0,1
2017-04-24,29.56,30.287,29.56,30.07,39700,0,1
2017-04-25,30.11,30.79,29.58,30.38,109000,0,1
2017-04-26,30.2,30.83,28.92,29.84,70000,0,1
2017-04-27,29.88,30.28,29.6,29.99,57500,0,1
2017-04-28,30.19,30.59,29.58,29.87,69700,0,1
2017-05-01,30.13,30.92,29.91,30.77,80300,0,1
2017-05-02,30.88,31.849,30.51,30.87,52400,0,1
2017-05-03,31.01,31.38,30.56,30.77,74100,0,1
2017-05-04,31.2,31.2,30.3,30.78,114300,0,1
2017-05-05,30.94,31.27,30.85,31.02,94400,0,1
2017-05-08,31.19,31.19,30.08,30.89,107600,0,1
2017-05-09,30.94,31.65,30.5,30.82,168600,0,1
2017-05-10,30.52,32.04,30.52,31.86,122500,0,1
2017-05-11,31.61,32.58,30.52,31.99,146800,0,1
2017-05-12,30.07,32.22,30.07,31.96,397300,0,1
2017-05-15,32.26,33.25,31.78,33.11,114400,0,1
2017-05-16,32.82,33.0,31.58,32.79,85800,0,1
2017-05-17,32.08,32.75,31.4,32.12,101500,0,1
2017-05-18,31.68,32.4,31.51,32.23,105800,0,1
2017-05-19,32.02,32.4,31.73,32.01,102400,0,1
2017-05-22,31.8,31.987,31.27,31.85,121200,0,1
2017-05-23,31.99,32.755,31.38,32.3,161200,0,1
2017-05-24,32.78,33.39,32.4,33.38,115700,0,1
2017-05-25,33.5,34.96,33.48,34.59,712100,0,1
2017-05-26,34.92,34.92,34.11,34.16,99000,0,1
2017-05-30,33.75,33.97,32.4,33.03,88400,0,1
2017-05-31,33.19,33.29,32.5,32.77,88600,0,1
2017-06-01,32.505,33.6,32.0,32.73,154100,0,1
2017-06-02,32.5,34.448,32.36,33.7,228800,0,1
2017-06-05,33.6,34.69,33.56,34.45,101000,0,1
2017-06-06,34.17,35.404,33.81,34.89,89100,0,1
2017-06-07,35.0,35.417,34.52,34.77,52200,0,1
2017-06-08,34.9,35.82,34.57,35.82,77000,0,1
2017-06-09,35.5,36.5,35.31,36.12,558300,0,1
2017-06-12,35.25,35.89,32.0,33.84,346500,0,1
2017-06-13,34.01,35.4,33.84,34.93,145400,0,1
2017-06-14,35.5,35.75,34.75,35.5,178700,0,1
2017-06-15,35.19,35.71,34.75,35.62,189600,0,1
2017-06-16,35.64,36.58,35.56,36.26,107800,0,1
2017-06-19,36.36,37.244,36.33,37.0,280400,0,1
2017-06-20,37.07,37.335,36.02,36.6,206800,0,1
2017-06-21,36.78,37.14,35.92,36.09,189800,0,1
2017-06-22,36.17,37.1,35.52,36.35,95900,0,1
2017-06-23,36.49,37.0,36.3,36.5,50200,0,1
2017-06-26,36.66,36.84,34.725,35.26,119300,0,1
2017-06-27,34.951,36.2,34.7,34.95,55800,0,1
2017-06-28,35.867,36.385,34.9,35.11,36700,0,1
2017-06-29,35.02,35.86,33.93,34.23,153900,0,1
2017-06-30,34.35,34.99,34.2,34.78,44500,0,1
2017-07-03,35.0,35.304,33.67,34.03,71800,0,1
2017-07-05,34.03,35.4,33.73,34.96,72300,0,1
2017-07-06,35.0,35.6,33.82,34.92,166100,0,1
2017-07-07,34.97,35.844,34.63,35.41,143400,0,1
2017-07-10,35.74,36.74,35.55,36.49,138900,0,1
2017-07-11,35.98,36.99,35.98,36.76,162000,0,1
2017-07-12,37.0,38.57,36.44,38.41,174400,0,1
2017-07-13,38.69,39.45,37.02,38.34,134900,0,1
2017-07-14,38.26,38.99,37.91,38.58,45000,0,1
2017-07-17,38.45,38.88,38.25,38.7,54100,0,1
2017-07-18,38.72,39.019,38.225,38.59,50100,0,1
2017-07-19,38.83,39.436,38.82,39.17,24900,0,1
2017-07-20,38.5,38.5,37.181,38.33,133200,0,1
2017-07-21,38.0,39.0,38.0,38.63,108100,0,1
2017-07-24,38.5,38.85,37.851,38.7,32700,0,1
2017-07-25,38.93,39.48,37.65,38.54,21800,0,1
2017-07-26,38.75,39.4,37.8,39.35,72200,0,1
2017-07-27,39.16,39.45,38.0,38.37,153500,0,1
2017-07-28,38.28,39.39,37.425,37.77,176100,0,1
2017-07-31,37.65,39.181,37.12,37.83,186600,0,1
2017-08-01,38.0,38.88,37.34,37.85,241800,0,1
2017-08-02,37.86,38.14,37.265,37.52,261100,0,1
2017-08-03,37.62,38.72,37.62,38.2,112700,0,1
2017-08-04,36.69,39.87,36.11,38.93,153100,0,1
2017-08-07,39.07,39.32,38.11,38.49,88700,0,1
2017-08-08,38.31,38.46,37.22,37.62,105200,0,1
2017-08-09,37.22,38.0,37.11,37.93,222900,0,1
2017-08-10,37.26,37.79,36.855,37.52,563400,0,1
2017-08-11,37.42,37.99,37.19,37.52,67500,0,1
2017-08-14,37.5,38.51,37.21,38.32,254800,0,1
2017-08-15,38.14,39.14,38.11,38.66,95600,0,1
2017-08-16,38.8,39.82,38.63,39.72,135300,0,1
2017-08-17,39.48,39.98,38.74,38.75,97500,0,1
2017-08-18,39.0,39.14,38.162,38.86,107100,0,1
2017-08-21,38.64,38.725,37.26,37.96,139600,0,1
2017-08-22,37.75,38.79,37.3,38.64,76200,0,1
2017-08-23,38.23,38.98,38.19,38.58,54900,0,1
2017-08-24,38.56,38.84,38.04,38.53,39900,0,1
2017-08-25,38.67,38.96,38.05,38.19,84000,0,1
2017-08-28,38.18,39.43,37.53,38.93,140700,0,1
2017-08-29,38.93,39.06,37.9,38.66,251100,0,1
2017-08-30,38.93,39.4,38.85,39.14,128800,0,1
2017-08-31,38.98,39.649,38.98,39.4,84500,0,1
2017-09-01,39.26,40.0,39.03,39.71,89600,0,1
2017-09-05,39.71,40.0,39.06,39.2,74700,0,1
2017-09-06,39.47,39.8,38.665,38.88,46200,0,1
2017-09-07,39.01,39.68,38.95,39.33,30400,0,1
2017-09-08,39.58,39.97,39.03,39.25,32600,0,1
2017-09-11,39.63,39.875,39.391,39.61,64200,0,1
2017-09-12,39.65,39.78,39.16,39.3,28500,0,1
2017-09-13,39.17,39.582,38.85,38.9,14300,0,1
2017-09-14,38.92,39.27,38.77,38.8,10000,0,1
2017-09-15,39.0,39.36,38.63,39.23,68000,0,1
2017-09-18,39.41,39.44,38.6,38.77,87600,0,1
2017-09-19,38.86,39.89,38.86,39.63,47300,0,1
2017-09-20,39.84,39.89,39.18,39.58,28500,0,1
2017-09-21,39.44,40.87,39.15,40.75,168400,0,1
2017-09-22,40.8,41.95,40.5,41.19,113300,0,1
2017-09-25,40.97,40.97,39.145,39.65,74600,0,1
2017-09-26,39.84,39.84,38.82,39.19,79000,0,1
2017-09-27,39.46,39.84,38.73,39.23,71500,0,1
2017-09-28,39.703,40.32,39.21,40.03,108200,0,1
2017-09-29,40.0,41.0,40.0,40.94,164900,0,1
2017-10-02,40.41,41.0,40.01,40.5,59400,0,1
2017-10-03,40.6,40.9,40.12,40.25,60700,0,1
2017-10-04,40.31,40.985,40.01,40.69,104900,0,1
2017-10-05,40.69,40.965,40.01,40.52,11200,0,1
2017-10-06,40.71,40.78,40.45,40.64,22600,0,1
2017-10-09,40.845,41.0,40.45,40.8,29900,0,1
2017-10-10,40.753,40.96,39.92,40.0,31000,0,1
2017-10-11,40.1,40.81,39.71,40.49,68400,0,1
2017-10-12,40.4,40.96,40.253,40.76,57200,0,1
2017-10-13,40.79,41.147,40.47,40.75,56600,0,1
2017-10-16,40.84,41.47,40.75,41.01,57500,0,1
2017-10-17,40.75,41.39,40.33,40.91,56400,0,1
2017-10-18,40.75,41.36,40.111,41.12,77300,0,1
2017-10-19,41.0,41.0,40.47,40.96,24700,0,1
2017-10-20,41.0,41.1,40.45,41.01,26500,0,1
2017-10-23,40.99,41.34,40.51,41.01,94600,0,1
2017-10-24,41.186,41.26,40.55,41.15,72300,0,1
2017-10-25,41.11,41.29,40.0,40.35,167600,0,1
2017-10-26,40.44,41.0,40.44,40.87,59200,0,1
2017-10-27,41.0,41.04,40.4,40.67,81300,0,1
2017-10-30,40.39,41.3,40.245,40.87,126900,0,1
2017-10-31,41.0,41.78,40.976,41.41,51300,0,1
2017-11-01,41.34,42.5,41.08,42.05,98800,0,1
2017-11-02,41.82,42.47,41.28,42.03,43100,0,1
2017-11-03,42.0,42.89,41.02,42.66,107000,0,1
2017-11-06,42.56,44.72,42.45,44.03,312100,0,1
2017-11-07,44.31,44.41,43.35,43.6,299200,0,1
2017-11-08,43.61,45.23,43.41,44.48,123400,0,1
2017-11-09,44.16,44.85,43.505,44.05,541600,0,1
2017-11-10,44.08,45.68,43.31,43.63,1228900,0,1
2017-11-13,43.75,44.01,42.92,43.2,212400,0,1
2017-11-14,42.89,43.2,42.15,42.69,89800,0,1
2017-11-15,42.24,42.33,41.37,41.8,245800,0,1
2017-11-16,39.62,40.4,38.77,40.16,1292900,0,1
2017-11-17,40.11,42.05,39.7,41.83,1080400,0,1
2017-11-20,45.89,46.32,41.93,42.51,801800,0,1
2017-11-21,42.76,43.1,42.56,42.97,262000,0,1
2017-11-22,43.11,43.419,42.66,42.8,288100,0,1
2017-11-24,43.07,43.159,42.62,42.81,137200,0,1
2017-11-27,43.45,43.45,42.33,42.46,180300,0,1
2017-11-28,42.6,42.6,41.61,41.9,276800,0,1
2017-11-29,41.94,42.174,40.12,40.17,223400,0,1
2017-11-30,40.1,40.9,38.7,39.97,337300,0,1
2017-12-01,40.18,40.36,38.82,39.44,402800,0,1
2017-12-04,40.44,40.44,38.08,38.15,517500,0,1
2017-12-05,38.15,39.54,37.78,38.22,288000,0,1
2017-12-06,38.25,39.64,38.22,39.33,130300,0,1
2017-12-07,39.47,40.67,39.41,40.37,165500,0,1
2017-12-08,40.78,41.7,40.78,41.46,162400,0,1
2017-12-11,41.48,42.097,40.67,40.96,117100,0,1
2017-12-12,41.12,41.58,40.5,41.25,147700,0,1
2017-12-13,41.25,41.97,41.23,41.67,98900,0,1
2017-12-14,41.81,41.82,40.62,40.67,134300,0,1
2017-12-15,40.66,41.117,40.08,40.09,132300,0,1
2017-12-18,40.16,40.43,38.61,38.8,219600,0,1
2017-12-19,38.97,39.575,37.33,38.6,225500,0,1
2017-12-20,38.89,39.09,37.93,38.74,150000,0,1
2017-12-21,38.76,39.2,37.89,38.1,223900,0,1
2017-12-22,37.82,38.035,37.36,37.86,150100,0,1
2017-12-26,37.97,38.11,37.26,37.39,142100,0,1
2017-12-27,37.35,37.68,36.826,37.02,133800,0,1
2017-12-28,36.96,37.26,36.71,36.99,121400,0,1
2017-12-29,36.99,37.54,36.72,37.48,142000,0,1
2018-01-02,37.8,38.12,37.07,37.12,254900,0,1
2018-01-03,37.19,38.37,37.1,38.05,402300,0,1
2018-01-04,38.04,39.267,37.896,39.14,269700,0,1
2018-01-05,39.4,41.107,39.21,40.49,615000,0,1
2018-01-08,42.0,42.0,40.52,41.61,521500,0,1
2018-01-09,41.89,42.0,40.17,40.3,341600,0,1
2018-01-10,40.0,40.39,37.12,38.98,624800,0,1
2018-01-11,39.16,39.52,38.17,39.27,210100,0,1
2018-01-12,39.49,39.85,39.3,39.46,136300,0,1
2018-01-16,40.0,40.0,38.211,38.45,216400,0,1
2018-01-17,38.78,39.5,38.51,39.05,185700,0,1
2018-01-18,39.04,39.36,38.75,39.25,83900,0,1
2018-01-19,39.4,39.5,38.92,39.09,84500,0,1
2018-01-22,39.17,39.295,38.38,38.8,165200,0,1
2018-01-23,38.83,39.29,38.75,39.19,97100,0,1
2018-01-24,39.2,39.49,38.637,38.77,271100,0,1
2018-01-25,38.01,38.24,36.63,37.25,561500,0,1
2018-01-26,37.06,39.65,36.915,39.35,436900,0,1
2018-01-29,39.72,39.75,37.87,38.31,211700,0,1
2018-01-30,38.39,38.55,37.88,38.26,116700,0,1
2018-01-31,38.52,39.03,38.3,38.97,81100,0,1
2018-02-01,38.49,38.96,38.2,38.48,58500,0,1
2018-02-02,38.22,38.29,37.5,38.12,96300,0,1
2018-02-05,37.63,38.4,37.25,37.32,145800,0,1
2018-02-06,36.7,37.42,36.01,37.24,136700,0,1
2018-02-07,37.01,37.55,36.725,36.85,115400,0,1
2018-02-08,36.93,36.98,35.84,36.0,154100,0,1
2018-02-09,36.0,36.67,35.46,35.94,241300,0,1
2018-02-12,36.0,37.669,36.0,37.15,152800,0,1
2018-02-13,37.04,38.42,36.8,38.27,264600,0,1
2018-02-14,43.47,43.9,40.44,42.3,611300,0,1
2018-02-15,42.4,42.5,40.588,42.34,270300,0,1
2018-02-16,41.66,42.69,41.5,42.51,285600,0,1
2018-02-20,41.85,42.22,40.5,42.18,258200,0,1
2018-02-21,42.2,43.25,42.13,42.18,252900,0,1
2018-02-22,42.49,42.67,41.79,41.96,129800,0,1
2018-02-23,41.99,42.74,41.339,42.65,108300,0,1
