date,open,high,low,close,volume,dividend,split
2000-01-03,16.5312,16.6875,16.25,16.6875,11600,0,1
2000-01-04,16.6875,16.75,16.5938,16.5938,12000,0,1
2000-01-05,16.6562,17.0,16.5,16.625,59000,0,1
2000-01-06,16.5938,16.75,16.5938,16.625,5200,0,1
2000-01-07,16.625,16.6875,16.4688,16.6875,26000,0,1
2000-01-10,16.4375,16.6875,16.4375,16.6875,6000,0,1
2000-01-11,16.5312,16.6875,16.5312,16.5312,18000,0,1
2000-01-12,16.2812,16.9375,16.2656,16.625,38000,0,1
2000-01-13,16.5312,16.625,16.4688,16.625,19400,0,1
2000-01-14,16.4375,16.625,16.4375,16.625,3000,0,1
2000-01-18,16.5625,16.5625,16.0,16.25,8000,0,1
2000-01-19,16.25,16.5312,16.25,16.25,1600,0,1
2000-01-20,16.5,16.5625,16.4062,16.5,6800,0,1
2000-01-21,16.4688,16.4688,16.25,16.4375,11600,0,1
2000-01-24,16.25,16.25,16.0,16.0,12800,0,1
2000-01-25,16.0,16.125,15.0625,15.0625,22000,0,1
2000-01-26,15.25,15.5,15.25,15.375,95400,0,1
2000-01-27,15.4375,15.5,15.25,15.25,17800,0,1
2000-01-28,15.5,15.5,15.125,15.1875,25800,0,1
2000-01-31,15.0625,16.75,15.0625,16.25,25800,0,1
2000-02-01,16.25,16.25,15.125,15.1875,33600,0,1
2000-02-02,15.1875,15.625,15.1875,15.5781,7200,0,1
2000-02-03,16.0,16.125,15.8125,16.0,1400,0,1
2000-02-04,15.5,15.875,15.5,15.875,3600,0,1
2000-02-07,16.0,16.0,15.75,15.75,8600,0,1
2000-02-08,16.0,16.0,15.75,16.0,39200,0,1
2000-02-09,16.0312,16.0312,15.9688,15.9688,36400,0,1
2000-02-10,15.9688,16.0,15.9688,16.0,18000,0,1
2000-02-11,16.0,16.0625,15.9062,15.9062,60400,0,1
2000-02-14,15.8438,17.25,15.5,17.0,102800,0,1
2000-02-15,17.25,17.25,16.9375,16.9375,45400,0,1
2000-02-16,16.9375,16.9375,16.5938,16.6562,24200,0,1
2000-02-17,16.7188,16.75,16.5,16.5,125600,0,1
2000-02-18,16.7188,16.7188,16.125,16.3125,9400,0,1
2000-02-22,16.1875,16.3125,16.0938,16.3125,7400,0,1
2000-02-23,16.3125,16.3125,16.0625,16.0625,38200,0,1
2000-02-24,16.125,16.125,15.625,15.75,96400,0,1
2000-02-25,15.9062,16.125,15.875,15.875,5200,0,1
2000-02-28,15.875,16.125,15.875,16.0,1800,0,1
2000-02-29,15.875,16.0625,15.875,16.0,105200,0,1
2000-03-01,16.0625,16.0625,15.875,15.875,57000,0,1
2000-03-02,15.75,15.75,15.6875,15.6875,4400,0,1
2000-03-03,15.75,15.75,15.625,15.625,12200,0,1
2000-03-06,15.75,15.75,15.6875,15.6875,800,0,1
2000-03-07,15.75,15.9375,15.75,15.75,6600,0,1
2000-03-08,15.875,16.0,15.75,16.0,4600,0,1
2000-03-09,15.9375,15.9375,15.8125,15.875,91800,0,1
2000-03-10,15.8125,15.9375,15.75,15.8125,114600,0,1
2000-03-13,15.8125,15.9688,15.8125,15.9062,30400,0,1
2000-03-14,15.9375,15.9375,15.75,15.75,15600,0,1
2000-03-15,15.7812,15.7812,15.6875,15.6875,8200,0,1
2000-03-16,15.5312,15.625,14.125,15.5625,27600,0,1
2000-03-17,15.5,15.9688,15.375,15.75,13800,0,1
2000-03-20,15.875,15.9688,15.7812,15.7812,7200,0,1
2000-03-21,15.7812,15.875,15.5,15.875,8800,0,1
2000-03-22,15.875,16.375,15.8125,16.375,17800,0,1
2000-03-23,16.2812,16.3125,14.875,15.375,23800,0,1
2000-03-24,15.125,15.375,15.125,15.25,3000,0,1
2000-03-27,15.375,15.375,15.25,15.25,1400,0,1
2000-03-28,15.25,15.2812,15.25,15.25,19200,0,1
2000-03-29,15.1562,15.2969,15.125,15.2812,20000,0,1
2000-03-30,15.4375,15.5625,15.4062,15.5,15800,0,1
2000-03-31,15.4062,15.5,15.375,15.5,14400,0,1
2000-04-03,15.375,15.5,15.25,15.25,5200,0,1
