date,open,high,low,close,volume,dividend,split
2000-01-03,3.3672,3.4375,3.3125,3.4062,282400,0,1
2000-01-04,3.4062,3.4219,3.3438,3.3516,53600,0,1
2000-01-05,3.3594,3.4062,3.3438,3.4062,71200,0,1
2000-01-06,3.3984,3.4219,3.3438,3.3594,264000,0,1
2000-01-07,3.3672,3.375,3.3438,3.3516,111200,0,1
2000-01-10,3.3516,3.5,3.3516,3.4453,192000,0,1
2000-01-11,3.4531,3.5156,3.4375,3.5078,272000,0,1
2000-01-12,3.5078,3.5078,3.4531,3.4609,216000,0,1
2000-01-13,3.4453,3.4688,3.4375,3.4688,114400,0,1
2000-01-14,3.4688,3.4688,3.4141,3.4609,32000,0,1
2000-01-18,3.4609,3.5312,3.4453,3.5,46400,0,1
2000-01-19,3.5,3.625,3.5,3.625,217600,0,1
2000-01-20,3.6562,3.9375,3.6562,3.8906,356800,0,1
2000-01-21,3.8906,4.0625,3.8125,3.8906,408000,0,1
2000-01-24,3.8438,3.8438,3.625,3.625,217600,0,1
2000-01-25,3.625,3.7031,3.625,3.625,44800,0,1
2000-01-26,3.6328,3.6328,3.6016,3.6094,120800,0,1
2000-01-27,3.5938,3.6016,3.4688,3.4688,73600,0,1
2000-01-28,3.4688,3.4688,3.4219,3.4375,135200,0,1
2000-01-31,3.4297,3.4297,3.375,3.375,48000,0,1
2000-02-01,3.375,3.375,3.3125,3.3672,78400,0,1
2000-02-02,3.3672,3.375,3.3438,3.3672,139200,0,1
2000-02-03,3.375,3.375,3.3438,3.375,167200,0,1
2000-02-04,3.375,3.5312,3.3594,3.5312,266400,0,1
2000-02-07,3.5312,3.625,3.5312,3.625,119200,0,1
2000-02-08,3.625,3.6797,3.625,3.6406,88000,0,1
2000-02-09,3.625,3.6719,3.5938,3.6562,36800,0,1
2000-02-10,3.6562,3.6562,3.5703,3.5703,64800,0,1
2000-02-11,3.5625,3.625,3.5547,3.5781,53600,0,1
2000-02-14,3.6094,3.625,3.5781,3.5938,84800,0,1
2000-02-15,3.5781,3.5938,3.5156,3.5781,99200,0,1
2000-02-16,3.5781,3.7812,3.5781,3.7031,206400,0,1
2000-02-17,3.6719,3.7969,3.6094,3.7812,288800,0,1
2000-02-18,3.7656,3.7734,3.6484,3.6719,62400,0,1
2000-02-22,3.6562,3.6719,3.625,3.625,112000,0,1
2000-02-23,3.5938,3.5938,3.4531,3.4531,180000,0,1
2000-02-24,3.4844,3.5,3.2344,3.2344,148000,0,1
2000-02-25,3.2344,3.2656,3.1328,3.1875,85600,0,1
2000-02-28,3.1719,3.1719,3.0703,3.125,201600,0,1
2000-02-29,3.0938,3.1406,3.0469,3.1406,87200,0,1
2000-03-01,3.0703,3.0781,3.0312,3.0469,118400,0,1
2000-03-02,3.0781,3.4062,3.0703,3.3438,643200,0,1
2000-03-03,3.3203,3.4062,3.2891,3.4062,168800,0,1
2000-03-06,3.4062,3.6719,3.4062,3.5703,224800,0,1
2000-03-07,3.5938,3.625,3.5781,3.5938,590400,0,1
2000-03-08,3.5859,3.6172,3.5781,3.6016,59200,0,1
2000-03-09,3.5938,3.6094,3.5781,3.5781,71200,0,1
2000-03-10,3.5625,3.5938,3.5625,3.5938,145600,0,1
2000-03-13,3.5781,3.6562,3.5703,3.6562,92800,0,1
2000-03-14,3.6875,3.7188,3.6875,3.6953,113600,0,1
2000-03-15,3.6953,3.7188,3.6953,3.7031,33600,0,1
2000-03-16,3.7188,3.8047,3.7188,3.7812,201600,0,1
2000-03-17,3.7656,3.9922,3.7656,3.9609,232800,0,1
2000-03-20,4.0,4.0859,3.9844,4.0156,316000,0,1
2000-03-21,4.0469,4.3125,4.0078,4.3125,358400,0,1
2000-03-22,4.5,4.5547,4.3906,4.3906,653600,0,1
2000-03-23,4.4922,4.5547,4.4375,4.4844,432000,0,1
2000-03-24,4.5078,4.5859,4.4375,4.5469,481600,0,1
2000-03-27,4.625,5.0469,4.625,5.0,1090400,0,1
2000-03-28,5.0312,5.25,4.8906,4.8906,694400,0,1
2000-03-29,4.8828,4.8828,4.7656,4.8125,844000,0,1
2000-03-30,4.7812,4.7812,4.6562,4.6562,165600,0,1
2000-03-31,4.6562,4.7812,4.625,4.7812,183200,0,1
2000-04-03,4.7656,5.0,4.75,4.9531,236000,0,1
2000-04-04,4.9844,4.9844,4.625,4.8438,263200,0,1
2000-04-05,4.8125,4.875,4.7188,4.875,191200,0,1
2000-04-06,4.9219,4.9219,4.8516,4.875,264000,0,1
2000-04-07,4.8672,4.9062,4.8281,4.8828,380000,0,1
2000-04-10,4.9141,4.9922,4.7188,4.7422,272800,0,1
2000-04-11,4.7188,4.75,4.6875,4.7422,156800,0,1
2000-04-12,4.75,4.7656,4.6562,4.7031,143200,0,1
