date,open,high,low,close,volume,dividend,split
2014-05-16,9.7,10.76,9.59,10.06,6568800,0,1
2014-05-19,10.4,10.49,9.5,9.9,888100,0,1
2014-05-20,9.76,9.85,9.5,9.5,398800,0,1
2014-05-21,9.51,9.7,9.5,9.625,264300,0,1
2014-05-22,9.75,9.75,9.21,9.31,459400,0,1
2014-05-23,9.31,9.38,9.05,9.22,226500,0,1
2014-05-27,9.65,10.2,9.351,10.2,546700,0,1
2014-05-28,10.53,10.71,10.25,10.44,397100,0,1
2014-05-29,10.88,11.0,10.5,10.56,548700,0,1
2014-05-30,11.5,11.5,10.82,10.96,322200,0,1
2014-06-02,11.05,11.4,11.0,11.25,301300,0,1
2014-06-03,11.87,12.54,11.35,12.22,401700,0,1
2014-06-04,12.19,13.0,11.65,12.08,627900,0,1
2014-06-05,12.41,12.63,11.55,12.01,271100,0,1
2014-06-06,12.23,14.79,12.1,14.54,772800,0,1
2014-06-09,15.06,15.85,13.05,14.02,1256300,0,1
2014-06-10,14.56,15.12,12.73,13.64,1229600,0,1
2014-06-11,13.86,13.99,13.06,13.65,362100,0,1
2014-06-12,14.41,14.41,12.35,12.92,603700,0,1
2014-06-13,12.53,13.75,12.53,13.67,437200,0,1
2014-06-16,14.0,14.5,13.3,13.92,460900,0,1
2014-06-17,13.81,14.08,13.11,13.38,279200,0,1
2014-06-18,13.17,13.707,13.1,13.61,289700,0,1
2014-06-19,13.7,14.0,13.17,13.58,340200,0,1
2014-06-20,13.97,14.374,13.43,13.49,707900,0,1
2014-06-23,13.52,13.899,13.22,13.29,322900,0,1
2014-06-24,13.36,13.59,12.8,13.08,612300,0,1
2014-06-25,13.35,13.35,12.45,12.85,543900,0,1
2014-06-26,13.0,13.16,12.41,13.14,480800,0,1
2014-06-27,13.05,13.79,12.94,13.29,1359200,0,1
2014-06-30,13.7,14.95,13.7,14.78,2175100,0,1
2014-07-01,15.03,15.46,14.18,14.5,559400,0,1
2014-07-02,14.6,14.74,14.25,14.51,240900,0,1
2014-07-03,14.51,15.16,14.34,15.04,224600,0,1
2014-07-07,15.15,15.45,14.56,14.63,321100,0,1
2014-07-08,14.63,14.63,13.02,14.3,763500,0,1
2014-07-09,14.35,14.63,13.99,14.39,380900,0,1
2014-07-10,13.99,13.99,13.25,13.45,452500,0,1
2014-07-11,13.37,13.62,13.035,13.27,372300,0,1
2014-07-14,13.37,13.62,13.35,13.4,314800,0,1
2014-07-15,13.44,13.619,12.71,13.15,344600,0,1
2014-07-16,13.18,13.29,12.56,13.07,400800,0,1
2014-07-17,12.98,13.2,12.33,12.38,451600,0,1
2014-07-18,12.41,12.96,11.93,12.41,766200,0,1
2014-07-21,12.38,12.593,12.11,12.51,535400,0,1
