date,open,high,low,close,volume,dividend,split
2000-01-03,1.0039,1.0156,0.9922,0.9922,131200,0,1
2000-01-04,0.9844,1.0078,0.9609,0.9707,67200,0,1
2000-01-05,1.0,1.0,0.9766,0.9766,129600,0,1
2000-01-06,0.9766,0.9766,0.9609,0.9609,188800,0,1
2000-01-07,0.9609,0.9844,0.9375,0.9844,116800,0,1
2000-01-10,0.9375,0.9844,0.9375,0.9375,19200,0,1
2000-01-11,0.9844,1.0,0.9453,0.9453,86400,0,1
2000-01-12,0.9688,1.0,0.9688,1.0,60800,0,1
2000-01-13,1.0,1.0156,0.9844,0.9844,156800,0,1
2000-01-14,0.9883,1.0156,0.9883,1.0156,340800,0,1
2000-01-18,1.0078,1.0156,0.9961,1.0039,156800,0,1
2000-01-19,1.0039,1.0039,0.9492,0.959,241600,0,1
2000-01-20,0.9492,1.0078,0.9492,0.9844,300800,0,1
2000-01-21,0.9805,0.9844,0.9492,0.9531,275200,0,1
2000-01-24,0.9531,0.9844,0.9258,0.9258,326400,0,1
2000-01-25,0.9766,0.9766,0.9141,0.9141,2587200,0,1
2000-01-26,0.9297,0.9375,0.9297,0.9375,233600,0,1
2000-01-27,0.959,1.0938,0.9492,1.0664,817600,0,1
2000-01-28,1.0781,1.0781,1.0078,1.0312,504000,0,1
2000-01-31,1.0547,1.1719,1.0469,1.125,982400,0,1
2000-02-01,1.0859,1.1094,1.0859,1.1016,97600,0,1
2000-02-02,1.1055,1.1094,0.9492,1.0078,1073600,0,1
2000-02-03,1.0,1.0156,0.9727,0.9922,572800,0,1
2000-02-04,1.0156,1.0156,1.0039,1.0156,388800,0,1
2000-02-07,1.0156,1.0703,0.9922,1.0703,126400,0,1
2000-02-08,1.0508,1.1016,1.0234,1.0742,75200,0,1
2000-02-09,1.1016,1.1016,1.0469,1.0703,147200,0,1
2000-02-10,1.1289,1.1406,1.0938,1.0938,454400,0,1
2000-02-11,1.0938,1.1562,1.082,1.1094,331200,0,1
2000-02-14,1.125,1.125,1.0312,1.0469,220800,0,1
2000-02-15,1.0391,1.0781,1.0391,1.0391,1006400,0,1
2000-02-16,1.0469,1.0781,1.0391,1.0391,2041600,0,1
2000-02-17,1.0312,1.0625,1.0234,1.0469,662400,0,1
2000-02-18,1.0234,1.0859,1.0234,1.0312,793600,0,1
2000-02-22,1.0234,1.043,1.0234,1.0312,201600,0,1
2000-02-23,1.0312,1.0352,1.0078,1.0156,204800,0,1
2000-02-24,1.0,1.0469,1.0,1.0234,476800,0,1
2000-02-25,1.0391,1.0547,1.0156,1.0547,374400,0,1
2000-02-28,1.0859,1.1094,1.0312,1.0859,121600,0,1
2000-02-29,1.0859,1.125,1.0859,1.125,244800,0,1
