date,open,high,low,close,volume,dividend,split
2009-10-30,15.0836,15.0989,14.6261,14.7786,7300,0,1
2009-11-02,14.7939,14.7939,14.7176,14.7176,19500,0,1
2009-11-03,14.5956,14.6414,14.4736,14.5041,24900,0,1
2009-11-04,14.4736,14.5041,13.9093,14.2601,32000,0,1
2009-11-05,14.1838,14.3363,14.1838,14.2906,17500,0,1
2009-11-06,14.1381,14.2601,13.8635,14.0618,1500,0,1
2009-11-09,14.0313,14.0313,13.7263,13.7568,33600,0,1
2009-11-10,14.0313,14.8244,13.345,13.3907,229200,0,1
2009-11-11,13.65,13.7263,13.4365,13.65,83000,0,1
2009-11-12,14.0313,14.4736,13.7263,13.7568,81900,0,1
2009-11-13,13.8025,13.8635,13.2687,13.8635,35200,0,1
2009-11-16,13.8635,13.8788,13.7263,13.833,39500,0,1
2009-11-17,13.7568,13.8788,13.7263,13.8483,42900,0,1
2009-11-18,13.8788,14.0313,13.711,13.8025,16600,0,1
2009-11-19,13.8788,14.1076,13.65,14.1076,23500,0,1
2009-11-20,14.016,14.0923,14.0008,14.0771,26800,0,1
2009-11-23,13.8788,13.955,13.8025,13.8788,43100,0,1
2009-11-24,13.9398,13.955,13.8788,13.955,3800,0,1
2009-11-25,13.9398,14.1076,13.8788,13.9855,9200,0,1
2009-11-27,13.8788,13.8788,13.65,13.8025,18100,0,1
2009-11-30,13.7415,13.8025,13.7263,13.8025,4900,0,1
2009-12-01,13.7568,14.3211,13.589,14.3211,39900,0,1
2009-12-02,14.3058,14.4888,14.3058,14.4888,17800,0,1
2009-12-03,14.4888,14.4888,14.1838,14.1838,2900,0,1
2009-12-04,14.0923,14.3363,14.0923,14.3363,300,0,1
2009-12-07,14.3363,14.4888,14.2753,14.4736,9500,0,1
2009-12-08,14.4888,15.4039,14.4888,15.0989,12500,0,1
2009-12-09,15.0836,15.0989,14.9464,14.9464,5200,0,1
2009-12-10,15.0226,15.0226,14.7939,14.7939,4500,0,1
2009-12-11,14.8091,14.8091,14.8091,14.8091,100,0,1
2009-12-14,14.8701,14.8701,14.8701,14.8701,2300,0,1
2009-12-15,14.8244,14.8244,14.4126,14.6414,3100,0,1
2009-12-16,14.7481,14.9464,14.7176,14.9464,1400,0,1
2009-12-17,14.6566,14.6566,14.6414,14.6414,2500,0,1
2009-12-18,14.6414,14.6414,14.3363,14.5498,4500,0,1
2009-12-21,14.4126,14.4888,14.4126,14.4888,22700,0,1
2009-12-22,14.4888,14.8854,14.4888,14.8701,4800,0,1
2009-12-23,14.9464,14.9464,14.7939,14.9464,6200,0,1
2009-12-24,14.7786,15.0074,14.1076,15.0074,7600,0,1
2009-12-28,14.8701,15.0226,14.8701,14.9464,11900,0,1
2009-12-29,14.8091,15.2362,14.3058,14.6414,13500,0,1
2009-12-30,14.6719,14.9311,14.6719,14.9311,9600,0,1
2009-12-31,14.8701,14.9464,14.7939,14.9464,2100,0,1
2010-01-04,14.9464,15.0226,14.9464,14.9616,7700,0,1
2010-01-05,14.9616,14.9616,14.9464,14.9464,5500,0,1
2010-01-06,14.9311,14.9464,14.7939,14.7939,4300,0,1
2010-01-07,14.9006,14.9464,14.7939,14.9464,31100,0,1
2010-01-08,14.9006,14.9921,14.8701,14.9464,4800,0,1
2010-01-11,14.7481,14.9464,14.7176,14.8701,6100,0,1
2010-01-12,14.9159,14.9311,14.4126,14.5193,15900,0,1
2010-01-13,14.8701,14.8701,14.7176,14.7786,2800,0,1
2010-01-14,14.7939,14.9311,14.7939,14.9311,1700,0,1
2010-01-15,15.0379,15.0379,14.5041,14.7939,3000,0,1
2010-01-19,14.7786,14.7786,14.6414,14.7176,4700,0,1
2010-01-20,14.7786,14.7786,14.4888,14.7481,3000,0,1
2010-01-21,14.4888,14.6109,14.3058,14.3363,27400,0,1
2010-01-22,14.2753,14.2753,14.1838,14.2753,46600,0,1
2010-01-25,14.3363,14.6261,13.9855,14.1076,23300,0,1
2010-01-26,14.1228,14.2601,14.016,14.016,26600,0,1
2010-01-27,14.1076,14.1838,13.8788,14.1076,11400,0,1
2010-01-28,14.0313,14.9006,14.0313,14.1076,24400,0,1
2010-01-29,14.2906,15.6022,14.0771,14.4888,31100,0,1
2010-02-01,14.3058,14.3058,13.7263,13.7263,11200,0,1
2010-02-02,14.1991,14.1991,14.0313,14.0313,15700,0,1
2010-02-03,13.8788,14.1381,13.8635,14.0313,20600,0,1
2010-02-04,13.955,13.955,13.5738,13.7568,28300,0,1
2010-02-05,13.7263,14.0313,13.65,13.9093,58600,0,1
2010-02-08,13.65,13.8635,13.5738,13.772,29000,0,1
2010-02-09,13.5585,13.894,13.5585,13.6653,23400,0,1
2010-02-10,13.6653,13.9093,13.589,13.589,19900,0,1
2010-02-11,13.589,13.8025,13.5738,13.8025,13400,0,1
2010-02-12,13.8788,14.0923,13.6958,13.955,25900,0,1
2010-02-16,13.894,14.016,13.894,13.894,12200,0,1
2010-02-17,14.3973,14.3973,13.6958,13.7263,89700,0,1
2010-02-18,13.711,13.8635,13.4975,13.65,47600,0,1
2010-02-19,13.6653,13.7263,13.467,13.467,55900,0,1
2010-02-22,13.467,14.2448,13.284,13.7873,55900,0,1
2010-02-23,13.7873,13.8025,13.6958,13.772,32500,0,1
2010-02-24,13.8483,13.9703,13.833,13.955,43200,0,1
2010-02-25,13.8788,14.0008,13.65,13.8788,35700,0,1
2010-02-26,13.8635,13.894,13.833,13.8788,37600,0,1
2010-03-01,13.955,14.1838,13.955,13.9855,39400,0,1
2010-03-02,13.955,13.9703,13.8025,13.8788,57800,0,1
2010-03-03,13.8788,14.016,13.8025,13.8483,41600,0,1
2010-03-04,13.8635,14.1076,13.7263,14.1076,65200,0,1
2010-03-05,14.8549,14.8549,14.4126,14.4736,41800,0,1
2010-03-08,14.4888,14.9464,14.2906,14.5041,57300,0,1
2010-03-09,15.2362,15.2362,14.4126,14.5041,42000,0,1
2010-03-10,14.5193,14.6719,14.2906,14.3363,74400,0,1
2010-03-11,14.2753,14.4736,14.2601,14.2753,44600,0,1
2010-03-12,14.3973,14.6871,14.3363,14.5041,178200,0,1
2010-03-15,14.8244,14.8854,14.5498,14.5956,119100,0,1
2010-03-16,14.6414,14.7176,14.4888,14.6109,47300,0,1
2010-03-17,14.6871,14.8244,14.4888,14.5956,192300,0,1
2010-03-18,14.6414,14.6414,14.4278,14.5651,41200,0,1
2010-03-19,14.4888,14.5651,14.3516,14.4888,62200,0,1
2010-03-22,14.5346,14.6871,14.4126,14.4278,54700,0,1
2010-03-23,14.5041,14.5651,14.4888,14.5498,53900,0,1
2010-03-24,14.6261,14.6261,14.4583,14.4888,31600,0,1
2010-03-25,14.5346,14.7481,14.4583,14.4736,102900,0,1
2010-03-26,14.5193,14.6261,14.4583,14.4888,99100,0,1
2010-03-29,14.1838,14.1838,13.8635,13.8635,44200,0,1
2010-03-30,13.8483,13.9245,13.8178,13.8178,10900,0,1
2010-03-31,13.8788,13.9703,13.7873,13.9398,7200,0,1
2010-04-01,13.8025,13.9398,13.8025,13.8788,9400,0,1
2010-04-05,13.955,13.9703,13.7263,13.8635,9400,0,1
2010-04-06,13.8788,13.8788,13.8483,13.8788,18800,0,1
2010-04-07,13.7263,13.7263,12.2011,13.6805,61800,0,1
2010-04-08,13.7263,13.7263,13.345,13.4822,69200,0,1
2010-04-09,13.5585,13.5585,13.2687,13.3907,70600,0,1
2010-04-12,13.5738,13.5738,13.284,13.345,135700,0,1
2010-04-13,13.4822,13.5738,13.1772,13.4517,91800,0,1
2010-04-14,13.7263,13.7263,13.3755,13.4975,48900,0,1
2010-04-15,13.4212,13.711,13.04,13.345,353900,0,1
2010-04-16,14.1076,14.2143,13.9245,14.0313,392100,0,1
2010-04-19,13.711,14.1381,13.5738,13.8788,137900,0,1
2010-04-20,13.8025,13.8025,13.65,13.6958,39700,0,1
2010-04-21,13.4975,13.5738,13.345,13.4975,1524100,0,1
2010-04-22,13.7263,13.7263,13.4517,13.6348,196900,0,1
2010-04-23,13.5128,13.6348,13.5128,13.5738,219700,0,1
2010-04-26,13.5738,13.6195,13.4975,13.5585,232200,0,1
2010-04-27,13.5128,13.6043,13.2687,13.3907,301800,0,1
2010-04-28,13.3755,13.528,13.1925,13.3602,83800,0,1
2010-04-29,13.3602,13.5738,13.3602,13.5738,580400,0,1
2010-04-30,13.5738,13.6043,13.4975,13.5433,162800,0,1
2010-05-03,13.65,13.65,13.467,13.589,146300,0,1
2010-05-04,13.6653,13.6653,13.2992,13.467,133800,0,1
2010-05-05,13.4975,13.4975,13.04,13.345,203200,0,1
2010-05-06,13.345,13.345,12.7349,13.0705,312800,0,1
2010-05-07,12.9027,13.2535,12.5824,13.2077,156700,0,1
2010-05-10,13.467,13.467,13.0095,13.345,109800,0,1
2010-05-11,12.9637,13.5128,12.9484,13.4212,90200,0,1
2010-05-12,13.5128,13.5128,13.2535,13.2687,126100,0,1
2010-05-13,13.1315,13.5128,13.0705,13.1925,94500,0,1
2010-05-14,13.1772,13.1772,12.8264,12.9637,86700,0,1
2010-05-17,13.2382,13.3145,12.8569,12.9637,68400,0,1
2010-05-18,13.345,13.406,12.5824,12.7654,126200,0,1
2010-05-19,12.7197,12.7807,12.6129,12.7044,59600,0,1
2010-05-20,12.5824,12.5977,12.2011,12.4604,154600,0,1
2010-05-21,12.3079,12.8264,12.2011,12.5519,132400,0,1
2010-05-24,12.5062,12.7807,12.4299,12.7349,94200,0,1
2010-05-25,12.5367,12.6129,12.3994,12.4452,145600,0,1
2010-05-26,12.4452,12.8417,12.4452,12.7044,90200,0,1
2010-05-27,12.8112,13.1772,12.5824,13.101,70200,0,1
2010-05-28,13.0095,13.1772,12.9027,13.0552,76300,0,1
2010-06-01,13.0552,13.0705,12.7807,12.8112,61500,0,1
2010-06-02,12.9332,12.9332,12.5062,12.7349,87900,0,1
2010-06-03,12.7349,12.9637,12.5977,12.7807,74200,0,1
2010-06-04,12.6434,12.9637,12.5977,12.7654,78100,0,1
2010-06-07,12.7654,12.979,12.6282,12.7654,63900,0,1
2010-06-08,12.7349,12.7654,12.5977,12.6587,44900,0,1
2010-06-09,12.9027,12.9027,12.6129,12.6129,60100,0,1
2010-06-10,12.7502,12.8874,12.6129,12.8264,69400,0,1
2010-06-11,12.9484,13.162,12.8264,13.1162,93000,0,1
2010-06-14,13.284,13.3297,12.9942,13.0705,90900,0,1
2010-06-15,13.2992,13.467,13.2535,13.3602,217700,0,1
2010-06-16,13.2687,13.4212,13.223,13.2535,134400,0,1
2010-06-17,13.2535,13.3602,13.162,13.1772,50900,0,1
2010-06-18,13.1467,13.3907,13.0857,13.3907,103500,0,1
2010-06-21,13.2687,13.3755,13.1925,13.2992,50600,0,1
2010-06-22,13.3602,13.3602,13.1162,13.1467,145900,0,1
