date,open,high,low,close,volume,dividend,split
2005-11-18,3.8125,3.875,3.0487,3.1625,143706400,0,1
2005-11-21,3.2538,3.3688,3.1875,3.2687,33676800,0,1
2005-11-22,3.1875,3.2313,2.8438,2.9375,25755200,0,1
2005-11-23,2.9925,3.0125,2.9388,2.975,8253600,0,1
2005-11-25,2.9787,3.0,2.9375,2.96,2330400,0,1
2005-11-28,2.96,3.025,2.9475,2.9625,6484800,0,1
2005-11-29,2.945,2.9562,2.635,2.6688,16241600,0,1
2005-11-30,2.6662,2.8387,2.6588,2.8138,6432800,0,1
2005-12-01,2.8563,2.9662,2.825,2.8937,5836800,0,1
2005-12-02,2.9637,3.125,2.9062,3.0825,9434400,0,1
2005-12-05,3.14,3.2375,3.0687,3.2075,5653600,0,1
2005-12-06,3.2575,3.27,3.065,3.0875,4617600,0,1
2005-12-07,3.1137,3.2062,3.1137,3.2062,3523200,0,1
2005-12-08,3.1875,3.235,3.1625,3.1875,1992800,0,1
2005-12-09,3.2,3.23,3.1,3.125,1599200,0,1
2005-12-12,3.125,3.1975,3.0938,3.1862,2622400,0,1
2005-12-13,3.22,3.2375,3.1562,3.1988,2128800,0,1
2005-12-14,3.25,3.4062,3.2338,3.375,8248800,0,1
2005-12-15,3.375,3.4562,3.35,3.4237,4250400,0,1
2005-12-16,3.4225,3.455,3.3138,3.455,8036800,0,1
2005-12-19,3.4488,3.45,3.1437,3.3112,7141600,0,1
2005-12-20,3.4425,3.5363,3.3563,3.5087,11580800,0,1
2005-12-21,3.5187,3.6,3.4862,3.5687,9884800,0,1
2005-12-22,3.5725,3.6037,3.4987,3.5875,4285600,0,1
2005-12-23,3.5875,3.965,3.5687,3.9025,15113600,0,1
2005-12-27,3.9875,4.365,3.94,4.1575,33193600,0,1
2005-12-28,4.2512,4.5925,4.2125,4.5437,29310400,0,1
2005-12-29,4.8688,5.0,4.785,4.9825,36177600,0,1
2005-12-30,4.9538,4.9675,4.6512,4.7888,29355200,0,1
2006-01-03,4.6487,4.6737,4.1475,4.17,32660800,0,1
2006-01-04,4.0925,4.1487,3.91,3.9588,30113600,0,1
2006-01-05,4.065,4.4625,4.0212,4.4538,28586400,0,1
2006-01-06,4.4,4.5462,4.2063,4.4338,22208800,0,1
2006-01-09,4.4913,4.4963,4.3463,4.4788,8494400,0,1
2006-01-10,4.5225,4.8113,4.4425,4.6875,23698400,0,1
2006-01-11,4.785,4.8187,4.5625,4.7112,10361600,0,1
2006-01-12,4.6425,4.925,4.6425,4.8137,12392800,0,1
2006-01-13,4.8513,5.0425,4.8137,4.8775,8647200,0,1
2006-01-17,4.895,4.9262,4.6312,4.7712,7448800,0,1
