date,open,high,low,close,volume,dividend,split
2019-05-10,42.0,45.0,41.06,41.57,186322500,0,1
2019-05-13,38.79,39.24,36.08,37.1,79442400,0,1
2019-05-14,38.31,39.96,36.85,39.96,46661100,0,1
2019-05-15,39.37,41.88,38.95,41.29,36086100,0,1
2019-05-16,41.48,44.06,41.25,43.0,38115500,0,1
2019-05-17,41.98,43.29,41.27,41.91,20225700,0,1
2019-05-20,41.19,41.68,39.46,41.59,29222300,0,1
2019-05-21,42.0,42.24,41.25,41.5,10802900,0,1
2019-05-22,41.05,41.28,40.5,41.25,9089500,0,1
2019-05-23,40.8,41.09,40.02,40.47,11119900,0,1
2019-05-24,41.28,41.51,40.5,41.51,8786800,0,1
2019-05-28,41.7,41.8,40.6,40.95,13391600,0,1
2019-05-29,40.52,40.71,39.147,39.94,14060400,0,1
2019-05-30,40.07,40.38,39.5,39.8,26451900,0,1
2019-05-31,41.15,41.57,39.41,40.41,23209800,0,1
2019-06-03,40.744,41.85,40.24,41.25,16605300,0,1
2019-06-04,42.56,42.88,40.7,42.75,23432100,0,1
2019-06-05,42.87,45.66,42.5,45.0,28609600,0,1
2019-06-06,45.0,45.75,44.28,44.92,16403700,0,1
2019-06-07,44.92,45.67,44.13,44.16,12654700,0,1
2019-06-10,44.02,44.59,42.53,42.61,11618700,0,1
2019-06-11,43.22,43.65,41.8,42.45,9095000,0,1
2019-06-12,42.52,42.65,41.71,42.17,5958200,0,1
2019-06-13,43.05,44.35,42.8,44.31,10178900,0,1
2019-06-14,44.75,44.8,43.11,43.23,7902200,0,1
2019-06-17,43.28,44.079,42.93,43.78,6557600,0,1
2019-06-18,44.3,44.89,43.75,43.86,7313600,0,1
2019-06-19,44.46,45.5,43.95,44.86,10331500,0,1
2019-06-20,45.03,45.29,43.51,43.86,9567400,0,1
2019-06-21,43.85,44.14,43.38,44.0,4974000,0,1
2019-06-24,44.0,44.07,42.82,43.09,5985100,0,1
2019-06-25,43.28,43.79,42.443,43.09,5753300,0,1
2019-06-26,43.25,43.4,42.36,42.5,8109100,0,1
2019-06-27,43.35,45.3,43.2,45.13,20155100,0,1
2019-06-28,45.1,47.08,45.08,46.38,28657000,0,1
2019-07-01,46.98,47.04,44.06,44.27,17740000,0,1
2019-07-02,44.55,44.68,43.75,44.0,11881300,0,1
2019-07-03,44.0,44.46,43.79,44.23,3380000,0,1
2019-07-05,44.31,44.55,43.01,43.53,8239500,0,1
2019-07-08,43.59,43.85,42.75,42.95,9304100,0,1
2019-07-09,43.18,44.23,42.98,44.2,5251600,0,1
2019-07-10,44.48,44.8,43.56,43.7,9746500,0,1
2019-07-11,44.1,44.29,43.31,43.99,8050900,0,1
2019-07-12,44.16,44.24,43.39,43.99,8760500,0,1
2019-07-15,44.2,44.7,43.97,44.53,5811200,0,1
2019-07-16,44.6,44.98,44.02,44.13,5613300,0,1
2019-07-17,44.06,44.35,43.52,43.62,5854100,0,1
2019-07-18,43.5,43.85,43.19,43.71,4123600,0,1
2019-07-19,43.9,44.086,43.16,43.18,4021000,0,1
2019-07-22,43.25,43.72,43.01,43.69,3815300,0,1
2019-07-23,43.75,44.31,43.11,43.36,5110100,0,1
2019-07-24,43.36,43.87,43.36,43.76,3775700,0,1
2019-07-25,43.72,43.96,43.21,43.4,4412000,0,1
2019-07-26,43.42,44.96,43.39,44.52,7598800,0,1
2019-07-29,45.0,45.627,43.12,43.88,8652200,0,1
2019-07-30,43.71,43.74,42.49,42.59,7686300,0,1
2019-07-31,42.6,42.98,41.84,42.14,5970800,0,1
2019-08-01,42.14,42.536,41.0,41.31,7349700,0,1
2019-08-02,41.03,41.06,39.95,40.4,8225700,0,1
2019-08-05,39.35,39.42,38.433,39.05,9799300,0,1
2019-08-06,39.68,40.808,38.36,39.15,8570300,0,1
2019-08-07,39.06,39.99,38.32,39.7,8896000,0,1
2019-08-08,41.98,43.0,41.25,42.97,29610500,0,1
2019-08-09,39.56,40.68,38.71,40.05,35138800,0,1
2019-08-12,39.83,39.95,37.0,37.0,21231300,0,1
2019-08-13,37.0,37.46,36.12,36.45,18990600,0,1
2019-08-14,36.0,36.3,33.36,33.96,24481600,0,1
2019-08-15,34.52,34.55,32.92,33.22,13265800,0,1
2019-08-16,33.46,35.48,33.4,35.23,13883200,0,1
2019-08-19,35.53,35.8,34.37,34.61,10853100,0,1
2019-08-20,34.48,36.07,34.39,35.29,10760700,0,1
2019-08-21,35.5,35.83,34.75,34.91,7923000,0,1
2019-08-22,34.8,34.91,33.52,34.0,8513300,0,1
2019-08-23,33.65,34.23,33.12,33.43,8160600,0,1
2019-08-26,33.67,33.83,33.06,33.31,5662500,0,1
2019-08-27,33.69,34.24,32.98,33.11,6574800,0,1
2019-08-28,32.56,33.05,32.26,32.59,6245500,0,1
2019-08-29,32.9,33.3,32.6,32.76,5772200,0,1
2019-08-30,33.0,33.13,32.04,32.57,6628700,0,1
2019-09-03,32.1,32.53,30.665,30.7,12154000,0,1
2019-09-04,30.91,32.36,30.85,31.99,10357600,0,1
2019-09-05,32.33,33.03,32.25,32.51,7933300,0,1
2019-09-06,32.71,32.74,31.41,31.86,7036000,0,1
2019-09-09,32.05,32.39,31.46,32.24,7448400,0,1
2019-09-10,32.0,33.74,31.65,33.51,10817100,0,1
2019-09-11,33.38,35.14,33.02,34.0,14715800,0,1
2019-09-12,34.14,34.486,33.33,34.07,7734800,0,1
2019-09-13,34.25,34.435,32.94,33.25,9428600,0,1
2019-09-16,33.6,34.8,33.47,34.43,7942600,0,1
2019-09-17,34.75,34.75,33.55,34.29,5561300,0,1
2019-09-18,34.35,34.89,33.75,34.26,6608300,0,1
2019-09-19,34.2,34.64,33.68,33.82,6869600,0,1
2019-09-20,33.98,34.217,32.5,32.6,11935400,0,1
2019-09-23,32.52,33.01,32.06,33.0,5513000,0,1
2019-09-24,33.0,33.145,31.01,31.3,10579900,0,1
2019-09-25,31.27,31.72,30.76,31.68,7875000,0,1
2019-09-26,31.72,32.13,31.13,31.57,6058700,0,1
2019-09-27,31.71,31.9,30.13,30.29,11846700,0,1
2019-09-30,30.4,30.735,30.17,30.47,4986600,0,1
2019-10-01,30.37,30.51,28.65,29.15,13380200,0,1
2019-10-02,28.67,29.55,28.31,29.0,8782400,0,1
2019-10-03,28.97,29.88,28.52,29.72,9412000,0,1
2019-10-04,29.9,30.18,28.9,29.67,8597700,0,1
2019-10-07,30.6,30.75,29.83,30.37,10083800,0,1
2019-10-08,30.01,30.15,29.17,29.28,7769100,0,1
2019-10-09,29.62,29.62,28.81,29.07,7112900,0,1
2019-10-10,29.21,29.28,28.58,28.87,7716300,0,1
2019-10-11,28.95,30.4,28.94,30.13,10216900,0,1
2019-10-14,30.22,31.54,29.819,31.12,7945400,0,1
2019-10-15,31.2,32.17,31.195,32.0,7843800,0,1
2019-10-16,31.8,32.38,31.438,31.87,7781600,0,1
2019-10-17,31.8,32.93,31.45,32.62,7200800,0,1
2019-10-18,32.55,32.66,31.27,32.06,7844500,0,1
2019-10-21,31.95,32.283,31.185,31.41,7203400,0,1
2019-10-22,31.41,33.89,30.22,32.53,19214800,0,1
2019-10-23,32.87,33.27,32.17,33.05,6709800,0,1
2019-10-24,33.0,33.42,32.51,33.28,6729300,0,1
2019-10-25,33.2,33.48,32.61,32.71,8077300,0,1
2019-10-28,32.9,33.355,32.5,33.22,7532800,0,1
2019-10-29,32.37,32.92,31.815,32.42,9319200,0,1
2019-10-30,32.51,33.8,32.11,33.75,10732700,0,1
2019-10-31,33.23,33.36,31.26,31.5,15912400,0,1
2019-11-01,31.45,31.7,30.741,31.37,10434300,0,1
2019-11-04,31.45,31.75,30.12,31.08,28787400,0,1
2019-11-05,29.13,29.3,27.97,28.02,51963500,0,1
2019-11-06,26.06,27.55,25.58,26.94,130965700,0,1
2019-11-07,26.8,27.42,26.45,27.38,65861400,0,1
2019-11-08,27.48,27.62,26.915,27.01,44923600,0,1
2019-11-11,27.03,27.21,26.23,27.14,41138100,0,1
2019-11-12,27.38,27.66,26.66,26.7,37095400,0,1
2019-11-13,26.47,26.82,26.14,26.71,32678300,0,1
2019-11-14,26.8,26.86,25.665,25.99,27893900,0,1
2019-11-15,26.18,26.8,25.955,26.79,41236200,0,1
2019-11-18,26.8,27.0,26.3,26.75,35916100,0,1
2019-11-19,26.77,27.22,26.61,27.05,31793500,0,1
2019-11-20,27.06,28.4,26.945,28.03,52746600,0,1
2019-11-21,28.67,29.6,28.5,29.46,54551400,0,1
2019-11-22,29.84,30.13,29.21,29.56,42302900,0,1
2019-11-25,28.69,29.6,28.38,29.11,36967500,0,1
2019-11-26,29.49,30.15,29.36,29.53,28746600,0,1
2019-11-27,29.42,29.59,28.88,29.49,22421400,0,1
2019-11-29,29.41,29.85,29.25,29.6,8115100,0,1
2019-12-02,29.32,29.525,28.7,28.98,16927100,0,1
2019-12-03,28.2,29.33,28.15,29.02,25252400,0,1
2019-12-04,29.1,29.2,28.7,29.06,22517600,0,1
2019-12-05,28.94,28.99,28.18,28.65,22504300,0,1
2019-12-06,28.4,28.925,27.8,27.86,32816100,0,1
2019-12-09,27.96,28.36,27.68,27.68,20977300,0,1
2019-12-10,27.73,27.993,27.605,27.89,23602700,0,1
2019-12-11,27.99,28.545,27.85,28.42,23281700,0,1
2019-12-12,28.29,28.75,28.19,28.69,23569900,0,1
2019-12-13,28.58,28.84,28.27,28.49,25431600,0,1
2019-12-16,29.11,30.13,29.1,30.05,57382500,0,1
2019-12-17,30.37,30.42,29.53,29.75,38250700,0,1
2019-12-18,29.62,30.14,29.34,30.13,35375100,0,1
2019-12-19,29.84,30.17,29.53,29.99,33799700,0,1
2019-12-20,30.1,31.03,29.85,30.45,95455100,0,1
2019-12-23,30.49,30.94,29.83,30.33,31209100,0,1
2019-12-24,30.33,30.84,30.11,30.44,12938600,0,1
2019-12-26,30.47,30.79,30.03,30.67,22200800,0,1
2019-12-27,30.8,31.06,30.17,30.17,18462200,0,1
2019-12-30,30.13,30.2,29.35,29.74,18805900,0,1
2019-12-31,29.11,29.95,28.9,29.74,16228400,0,1
2020-01-02,29.94,31.0,29.79,30.99,20578900,0,1
2020-01-03,30.62,31.43,30.48,31.37,18822700,0,1
2020-01-06,31.01,32.06,31.0,31.58,21204700,0,1
2020-01-07,31.79,32.84,31.36,32.81,30119600,0,1
2020-01-08,32.73,34.52,32.46,33.93,43944400,0,1
2020-01-09,34.45,34.47,33.22,33.97,29385500,0,1
2020-01-10,34.08,34.99,33.835,34.01,34266400,0,1
2020-01-13,34.29,34.34,33.55,34.14,16915800,0,1
2020-01-14,34.2,35.02,33.92,34.84,26019000,0,1
2020-01-15,34.9,35.149,34.51,35.01,20762200,0,1
2020-01-16,35.03,35.06,34.18,34.68,21947800,0,1
2020-01-17,34.97,35.25,34.65,35.13,17251200,0,1
2020-01-21,35.5,37.8,35.41,37.6,48746700,0,1
2020-01-22,37.94,37.94,36.92,37.04,29765200,0,1
2020-01-23,36.97,37.95,36.725,37.4,21366000,0,1
2020-01-24,37.5,37.665,36.25,36.8,21598000,0,1
2020-01-27,35.23,36.65,34.19,36.3,18818000,0,1
2020-01-28,37.14,37.33,36.04,37.01,28974000,0,1
2020-01-29,36.98,37.565,36.8,36.99,16863000,0,1
2020-01-30,36.82,37.132,35.95,36.68,22847000,0,1
2020-01-31,37.0,37.04,35.69,36.29,21553700,0,1
2020-02-03,36.75,37.64,36.53,37.59,23537300,0,1
2020-02-04,37.87,38.99,37.26,38.53,32425900,0,1
2020-02-05,38.89,38.97,36.735,36.81,38413300,0,1
2020-02-06,37.3,37.39,36.73,37.09,52699300,0,1
2020-02-07,39.98,41.0,38.86,40.63,112325800,0,1
2020-02-10,40.65,41.34,39.96,40.01,60840800,0,1
2020-02-11,40.25,41.465,40.05,41.27,33896000,0,1
2020-02-12,41.5,41.86,41.065,41.25,26444900,0,1
2020-02-13,40.93,41.55,40.0,40.09,23850900,0,1
2020-02-14,40.02,40.31,38.7,39.66,32014200,0,1
2020-02-18,39.49,40.27,39.45,40.18,22149300,0,1
2020-02-19,40.42,41.23,40.115,41.05,23287300,0,1
2020-02-20,41.0,41.19,39.85,40.92,25446400,0,1
2020-02-21,40.89,40.89,40.05,40.72,20595500,0,1
2020-02-24,38.21,39.14,37.75,38.31,37123200,0,1
2020-02-25,38.9,39.15,35.5,35.89,49281600,0,1
