date,open,high,low,close,volume,dividend,split
2011-10-14,16.5,19.0,16.25,17.5,2954400,0,1
2011-10-17,17.72,18.95,17.5,18.6,354600,0,1
2011-10-18,18.8,19.0,18.21,19.0,136200,0,1
2011-10-19,19.0,19.42,17.48,17.65,145000,0,1
2011-10-20,17.6,18.3,17.58,17.88,260300,0,1
2011-10-21,18.03,19.8,17.81,19.56,644400,0,1
2011-10-24,19.57,21.5,19.57,20.23,194000,0,1
2011-10-25,19.97,20.43,19.06,19.39,125000,0,1
2011-10-26,19.77,20.2,18.71,19.04,59700,0,1
2011-10-27,19.74,20.0,18.75,19.12,60500,0,1
2011-10-28,19.44,20.39,19.01,20.39,69500,0,1
2011-10-31,20.31,21.25,19.48,20.99,123400,0,1
2011-11-01,20.27,20.94,19.76,20.46,271000,0,1
2011-11-02,20.89,21.2,19.8,20.75,56200,0,1
2011-11-03,21.05,21.15,20.12,20.17,79700,0,1
2011-11-04,19.86,20.27,19.08,19.27,97300,0,1
2011-11-07,19.01,19.75,18.85,18.86,48300,0,1
2011-11-08,19.18,19.33,18.5,18.71,55300,0,1
2011-11-09,18.5,19.0,18.5,18.72,78100,0,1
2011-11-10,18.96,19.35,18.51,18.6,40300,0,1
2011-11-11,21.4,21.5,19.33,19.46,215500,0,1
2011-11-14,19.12,20.63,19.12,19.71,59700,0,1
2011-11-15,19.51,19.95,19.41,19.85,60300,0,1
2011-11-16,19.54,20.26,19.4,20.05,30900,0,1
2011-11-17,19.86,22.26,19.86,22.01,332900,0,1
2011-11-18,22.25,23.04,22.24,22.36,223100,0,1
2011-11-21,22.13,22.31,20.2,20.47,520400,0,1
2011-11-22,20.48,20.62,19.61,20.54,67900,0,1
2011-11-23,20.71,20.98,19.32,19.67,251600,0,1
2011-11-25,19.69,20.5,19.36,19.36,54400,0,1
2011-11-28,19.88,20.32,19.3,19.37,99800,0,1
2011-11-29,19.43,19.65,18.75,18.88,99400,0,1
2011-11-30,19.69,19.83,19.06,19.76,124700,0,1
2011-12-01,19.68,20.27,19.5,19.99,110600,0,1
2011-12-02,20.27,20.4,19.55,20.25,98800,0,1
2011-12-05,20.65,20.65,19.75,19.93,75400,0,1
2011-12-06,19.94,20.25,19.45,19.5,100200,0,1
2011-12-07,19.11,19.99,19.11,19.84,196100,0,1
2011-12-08,19.68,20.43,19.6,20.11,69000,0,1
2011-12-09,20.12,20.57,20.02,20.14,29900,0,1
2011-12-12,20.0,20.29,19.46,19.86,35900,0,1
2011-12-13,19.92,21.14,19.7,20.82,282800,0,1
2011-12-14,20.63,21.06,20.0,21.03,109000,0,1
2011-12-15,21.14,21.45,20.51,20.55,194400,0,1
2011-12-16,20.9,21.08,20.56,20.9,1195200,0,1
