date,open,high,low,close,volume,dividend,split
2018-10-03,23.0,23.49,20.33,21.18,8385100,0,1
2018-10-04,21.5,21.51,20.58,20.96,1112900,0,1
2018-10-05,20.95,21.78,20.85,20.99,914000,0,1
2018-10-08,20.95,20.95,19.84,20.04,797300,0,1
2018-10-09,20.0,20.3,19.7,19.94,1244300,0,1
2018-10-10,20.0,20.14,19.7,20.0,1077600,0,1
2018-10-11,19.83,20.32,18.79,19.04,1228300,0,1
2018-10-12,19.3,19.9,19.0,19.21,358900,0,1
2018-10-15,19.3,19.74,19.0,19.43,329100,0,1
2018-10-16,19.35,20.86,19.35,20.2,362700,0,1
2018-10-17,20.03,20.38,20.0,20.1,147500,0,1
2018-10-18,20.1,20.22,19.01,19.14,228700,0,1
2018-10-19,19.15,20.48,19.15,19.44,337900,0,1
2018-10-22,19.66,19.83,18.0,18.95,259600,0,1
2018-10-23,18.55,19.26,18.0,18.8,280300,0,1
2018-10-24,18.93,19.11,17.24,17.24,365700,0,1
2018-10-25,17.26,20.33,16.7,19.5,1153300,0,1
2018-10-26,19.5,19.66,18.6,18.69,666900,0,1
2018-10-29,19.15,19.22,17.78,17.99,529400,0,1
2018-10-30,18.05,19.04,18.05,18.84,355900,0,1
2018-10-31,19.46,19.82,19.11,19.2,337600,0,1
2018-11-01,19.38,20.64,19.22,20.23,311800,0,1
2018-11-02,20.65,20.74,19.56,20.26,251300,0,1
2018-11-05,20.59,20.6,19.18,19.34,204400,0,1
2018-11-06,19.43,19.95,19.34,19.4,120200,0,1
2018-11-07,19.76,21.11,19.51,20.29,580200,0,1
2018-11-08,20.02,20.2,15.84,18.07,2383500,0,1
2018-11-09,18.49,18.58,17.52,17.68,737500,0,1
2018-11-12,17.98,18.2,17.5,17.7,264700,0,1
2018-11-13,17.8,18.45,17.8,18.11,341800,0,1
2018-11-14,18.47,18.65,18.23,18.55,219500,0,1
2018-11-15,18.5,18.85,18.45,18.74,247200,0,1
2018-11-16,18.66,19.52,18.64,19.2,362200,0,1
2018-11-19,19.2,19.2,16.24,16.46,624500,0,1
2018-11-20,15.98,16.88,15.68,16.1,482900,0,1
2018-11-21,16.27,16.98,15.91,16.65,315600,0,1
2018-11-23,17.18,17.18,16.63,16.89,134800,0,1
2018-11-26,17.1,17.31,16.71,17.0,387700,0,1
2018-11-27,16.95,17.07,16.65,16.71,107500,0,1
2018-11-28,16.76,17.83,16.58,17.63,311400,0,1
2018-11-29,17.74,18.2,17.64,18.05,242300,0,1
2018-11-30,18.21,19.0,18.05,18.63,352700,0,1
2018-12-03,19.32,19.42,18.65,18.89,251400,0,1
2018-12-04,19.28,19.28,18.19,18.39,369800,0,1
2018-12-06,17.97,18.28,17.5,18.04,189700,0,1
2018-12-07,17.86,18.29,17.05,17.09,300300,0,1
2018-12-10,17.22,17.22,16.31,16.59,214100,0,1
2018-12-11,17.0,17.14,15.82,16.01,908500,0,1
2018-12-12,16.1,16.66,16.01,16.49,389200,0,1
2018-12-13,16.47,17.08,16.14,16.87,354300,0,1
2018-12-14,16.58,17.44,16.37,17.39,325300,0,1
2018-12-17,17.18,18.8,17.11,18.44,1031300,0,1
2018-12-18,18.43,19.69,18.1,19.44,726000,0,1
2018-12-19,19.59,21.69,19.51,20.04,1069800,0,1
2018-12-20,19.76,21.34,19.76,20.67,1024700,0,1
2018-12-21,21.11,21.19,18.65,19.56,4138100,0,1
2018-12-24,19.23,19.4,17.76,18.1,207600,0,1
2018-12-26,18.29,18.42,16.83,17.62,483000,0,1
2018-12-27,17.44,18.06,16.9,17.9,244100,0,1
2018-12-28,17.95,17.99,17.34,17.86,241400,0,1
2018-12-31,18.0,18.33,17.6,18.11,337200,0,1
2019-01-02,17.85,18.73,17.51,18.53,194600,0,1
2019-01-03,18.39,18.5,17.54,17.87,231000,0,1
2019-01-04,17.95,18.97,17.95,18.59,319900,0,1
2019-01-07,18.75,18.85,18.17,18.7,187300,0,1
2019-01-08,18.87,19.2,18.81,19.13,193500,0,1
2019-01-09,19.11,19.48,19.01,19.34,195300,0,1
2019-01-10,19.27,19.27,18.86,19.0,225200,0,1
2019-01-11,18.85,19.2,18.85,18.99,152100,0,1
2019-01-14,18.7,19.11,18.55,18.8,156400,0,1
2019-01-15,18.74,19.18,18.64,18.97,122200,0,1
2019-01-16,19.03,19.11,18.8,19.0,156600,0,1
2019-01-17,18.95,19.06,18.8,19.06,77500,0,1
2019-01-18,19.06,19.18,18.66,18.94,288100,0,1
2019-01-22,18.86,19.05,18.03,18.3,163000,0,1
2019-01-23,18.35,19.06,18.0,18.39,198700,0,1
2019-01-24,18.28,18.93,18.22,18.9,166900,0,1
2019-01-25,19.15,19.35,18.86,18.98,173200,0,1
2019-01-28,18.83,19.14,18.73,18.94,228700,0,1
2019-01-29,18.85,19.1,18.69,18.88,136800,0,1
2019-01-30,18.97,19.14,18.74,18.8,225000,0,1
2019-01-31,18.84,19.46,18.84,19.31,368200,0,1
2019-02-01,19.17,19.35,18.52,18.58,134600,0,1
