date,open,high,low,close,volume,dividend,split
2014-10-02,36.0,39.43,34.49,37.72,16000600,0,1
2014-10-03,36.25,36.8,31.2,32.18,4069700,0,1
2014-10-06,32.33,33.29,32.0,32.8,802900,0,1
2014-10-07,33.0,34.55,32.69,32.82,937500,0,1
2014-10-08,32.82,32.95,30.65,31.05,1020200,0,1
2014-10-09,30.85,31.62,26.54,26.71,1775000,0,1
2014-10-10,26.94,27.28,24.25,25.87,1337900,0,1
2014-10-13,25.57,26.9,25.48,26.41,479100,0,1
2014-10-14,26.75,26.84,25.736,26.18,800900,0,1
2014-10-15,25.6,25.6,22.561,24.67,1361200,0,1
2014-10-16,23.96,24.6,23.27,23.89,620700,0,1
2014-10-17,24.39,28.87,24.0,26.87,801400,0,1
2014-10-20,27.45,30.29,26.8,30.02,683800,0,1
2014-10-21,30.35,32.15,29.61,30.89,941900,0,1
2014-10-22,30.33,30.342,27.15,27.9,952500,0,1
2014-10-23,28.05,28.235,25.745,26.01,946200,0,1
2014-10-24,26.06,26.28,23.9,25.16,1005900,0,1
2014-10-27,26.29,26.9,25.6,26.05,1538900,0,1
2014-10-28,26.3,26.4,25.27,25.69,378800,0,1
2014-10-29,26.62,26.86,25.0,25.06,341500,0,1
2014-10-30,24.85,25.83,23.78,24.4,758400,0,1
2014-10-31,24.92,25.43,24.55,25.1,827100,0,1
2014-11-03,25.15,26.05,25.0,25.72,1020700,0,1
2014-11-04,25.69,26.438,25.25,26.03,387500,0,1
2014-11-05,26.04,26.3,25.14,25.44,420500,0,1
2014-11-06,25.62,26.09,25.2,25.7,313700,0,1
2014-11-07,25.67,27.45,25.62,26.01,451500,0,1
2014-11-10,26.0,28.12,25.77,28.1,616300,0,1
2014-11-11,27.0,27.27,23.51,23.66,2331500,0,1
2014-11-12,23.51,23.84,20.91,21.31,1659900,0,1
2014-11-13,21.565,22.74,21.49,22.01,1143900,0,1
2014-11-14,21.66,22.75,21.5,21.57,826300,0,1
2014-11-17,21.6,22.29,21.42,21.57,554100,0,1
2014-11-18,21.83,22.25,21.4,22.08,483800,0,1
2014-11-19,22.12,22.74,21.69,22.29,713500,0,1
2014-11-20,22.08,23.1,22.0,23.0,457400,0,1
2014-11-21,22.74,23.153,22.25,22.28,654100,0,1
2014-11-24,22.25,23.1,22.22,23.0,189800,0,1
2014-11-25,23.38,24.308,22.99,23.27,456500,0,1
2014-11-26,23.24,23.95,23.07,23.9,166200,0,1
2014-11-28,24.04,24.28,23.62,24.26,136800,0,1
2014-12-01,23.97,23.996,22.98,23.01,425800,0,1
2014-12-02,23.03,23.13,21.76,22.05,803400,0,1
2014-12-03,22.02,22.57,21.1,21.15,320400,0,1
2014-12-04,21.23,21.56,19.05,20.9,876900,0,1
2014-12-05,20.7,21.03,20.39,20.73,617300,0,1
2014-12-08,20.56,21.34,20.11,21.1,407100,0,1
2014-12-09,20.36,21.13,20.29,21.0,345300,0,1
2014-12-10,20.78,20.98,19.5,20.13,418400,0,1
2014-12-11,20.23,20.685,19.36,19.38,748700,0,1
2014-12-12,19.18,19.2,16.74,18.44,2432300,0,1
2014-12-15,18.89,19.82,18.27,19.16,876400,0,1
2014-12-16,19.4,19.562,18.39,18.4,461700,0,1
2014-12-17,18.98,21.4,18.57,20.71,947700,0,1
2014-12-18,21.17,21.17,19.59,20.81,867800,0,1
2014-12-19,20.75,21.08,19.8,20.06,2301400,0,1
2014-12-22,20.7,21.29,19.81,20.38,945800,0,1
2014-12-23,20.62,20.95,20.184,20.79,531500,0,1
2014-12-24,20.71,20.77,20.006,20.44,171900,0,1
2014-12-26,20.4,20.89,20.19,20.31,144100,0,1
2014-12-29,20.44,20.44,19.15,19.44,429100,0,1
2014-12-30,19.59,19.82,19.08,19.54,637200,0,1
2014-12-31,19.69,20.19,19.06,19.85,425900,0,1
2015-01-02,19.99,20.83,19.99,20.78,325300,0,1
2015-01-05,20.6,22.04,20.32,22.02,596600,0,1
2015-01-06,21.85,22.64,21.69,22.6,1012000,0,1
2015-01-07,22.86,22.96,21.985,22.34,899100,0,1
2015-01-08,22.34,22.47,20.75,21.4,694000,0,1
2015-01-09,21.5,21.68,20.68,20.9,859500,0,1
2015-01-12,21.13,22.8,21.1,21.82,875800,0,1
2015-01-13,22.24,22.89,21.8,22.21,660500,0,1
2015-01-14,22.0,22.54,21.88,22.22,1026900,0,1
2015-01-15,22.4,24.487,22.05,23.28,1500700,0,1
2015-01-16,23.16,23.86,22.42,22.5,512200,0,1
2015-01-20,22.66,22.872,21.01,21.35,656800,0,1
2015-01-21,21.33,21.69,20.464,21.21,432900,0,1
2015-01-22,21.21,21.387,20.13,20.52,721900,0,1
2015-01-23,20.52,20.649,19.71,20.45,674600,0,1
