date,open,high,low,close,volume,dividend,split
2015-06-12,30.5,31.99,29.18,30.59,10899000,0,1
2015-06-15,30.89,30.89,28.5,30.55,1023100,0,1
2015-06-16,30.03,30.6,29.51,29.68,383100,0,1
2015-06-17,29.42,29.874,28.074,28.28,570700,0,1
2015-06-18,27.35,29.2,27.0,28.65,553400,0,1
2015-06-19,28.95,29.64,28.66,29.34,197200,0,1
2015-06-22,29.49,29.51,28.5,28.56,179500,0,1
2015-06-23,28.55,29.3,28.36,28.75,259500,0,1
2015-06-24,28.75,28.935,28.0,28.33,227100,0,1
2015-06-25,28.55,29.28,27.88,27.96,216000,0,1
2015-06-26,28.25,28.415,27.69,28.25,438200,0,1
2015-06-29,28.13,28.13,27.44,27.5,226700,0,1
2015-06-30,27.83,28.42,27.6,28.4,126500,0,1
2015-07-01,28.93,29.4,27.761,27.99,126000,0,1
2015-07-02,27.92,28.7,27.92,28.52,217000,0,1
2015-07-06,28.16,28.49,27.65,27.7,234300,0,1
2015-07-07,27.75,28.51,27.75,28.45,462900,0,1
2015-07-08,28.3,30.15,27.89,29.78,288500,0,1
2015-07-09,30.5,33.0,29.37,32.96,595100,0,1
2015-07-10,33.55,34.845,32.03,34.38,1201700,0,1
2015-07-13,34.85,35.39,32.05,32.92,590500,0,1
2015-07-14,32.72,33.51,30.53,30.96,415500,0,1
2015-07-15,30.9,31.59,28.75,28.95,256500,0,1
2015-07-16,28.8,31.95,28.0,31.69,446500,0,1
2015-07-17,31.55,32.5,30.11,30.67,250600,0,1
2015-07-20,30.86,31.61,30.25,30.97,296600,0,1
2015-07-21,31.1,32.43,30.23,32.03,182100,0,1
2015-07-22,32.13,32.366,31.04,31.27,264700,0,1
2015-07-23,31.21,31.996,31.21,31.54,96300,0,1
2015-07-24,31.37,31.63,30.892,31.26,105700,0,1
2015-07-27,31.12,31.3,30.54,30.71,198200,0,1
2015-07-28,31.01,32.96,30.6,32.635,132800,0,1
2015-07-29,32.94,34.87,32.56,34.43,333900,0,1
2015-07-30,34.5,34.72,33.13,34.17,157700,0,1
2015-07-31,34.11,35.74,34.11,34.28,419200,0,1
2015-08-03,34.37,35.96,34.29,35.24,473700,0,1
2015-08-04,35.15,35.62,32.4,32.91,530000,0,1
2015-08-05,32.98,34.49,30.62,31.26,411000,0,1
2015-08-06,31.26,32.25,28.74,31.45,757200,0,1
2015-08-07,32.5,32.92,30.12,31.49,809300,0,1
2015-08-10,31.73,32.79,30.3,31.57,243600,0,1
2015-08-11,31.47,32.35,30.88,31.53,144900,0,1
2015-08-12,30.92,32.041,30.31,31.58,111700,0,1
2015-08-13,32.84,32.84,30.12,30.43,182300,0,1
2015-08-14,30.24,30.9,29.096,29.87,151400,0,1
2015-08-17,29.9,30.3,29.43,30.12,295800,0,1
2015-08-18,30.18,30.73,29.72,30.1,162500,0,1
2015-08-19,29.9,30.265,28.9,29.06,232900,0,1
2015-08-20,28.91,29.18,27.91,27.99,366000,0,1
2015-08-21,27.55,28.65,27.185,27.72,381600,0,1
2015-08-24,26.21,27.88,25.02,26.78,568800,0,1
2015-08-25,27.54,28.26,25.39,26.0,568800,0,1
2015-08-26,26.81,26.92,24.78,26.88,660700,0,1
2015-08-27,27.38,28.31,26.93,27.66,221100,0,1
2015-08-28,27.5,28.62,27.44,28.33,172700,0,1
2015-08-31,28.27,28.52,27.31,27.36,177800,0,1
2015-09-01,26.96,27.24,26.46,26.78,155300,0,1
2015-09-02,27.11,27.69,26.89,27.37,190500,0,1
2015-09-03,27.27,27.8,26.72,26.82,159400,0,1
2015-09-04,26.55,27.58,26.55,27.35,156000,0,1
2015-09-08,27.67,28.36,27.3,27.82,595400,0,1
2015-09-09,27.89,28.66,27.27,27.34,174900,0,1
2015-09-10,27.18,28.05,27.18,27.54,97000,0,1
2015-09-11,27.34,28.51,27.3,28.49,101800,0,1
2015-09-14,28.44,28.69,27.3,27.63,362700,0,1
2015-09-15,27.57,27.86,27.35,27.49,137200,0,1
2015-09-16,27.38,27.98,27.14,27.25,335700,0,1
2015-09-17,27.11,27.4,26.41,26.64,215100,0,1
2015-09-18,26.35,26.99,25.69,25.69,907300,0,1
2015-09-21,25.97,26.4,25.03,25.65,399100,0,1
2015-09-22,25.25,25.7,24.72,25.61,240600,0,1
2015-09-23,25.57,26.06,25.32,25.77,159900,0,1
2015-09-24,25.51,25.82,25.07,25.49,147500,0,1
2015-09-25,25.69,25.76,25.3,25.47,169500,0,1
2015-09-28,25.26,25.26,24.19,24.39,336600,0,1
2015-09-29,24.37,24.46,23.5,23.75,212500,0,1
2015-09-30,23.95,24.68,23.6,23.98,1382000,0,1
2015-10-01,24.1,24.28,23.45,23.99,325500,0,1
2015-10-02,23.725,24.59,23.27,24.39,307200,0,1
2015-10-05,24.49,26.35,24.44,26.16,407400,0,1
2015-10-06,25.99,27.215,25.98,26.39,210000,0,1
2015-10-07,26.56,27.4,26.03,27.38,219800,0,1
2015-10-08,27.68,28.72,27.4,28.5,337300,0,1
2015-10-09,28.47,28.98,28.18,28.7,304000,0,1
2015-10-12,28.58,28.63,27.9,28.13,280200,0,1
2015-10-13,27.86,27.94,27.38,27.49,197900,0,1
2015-10-14,27.5,27.55,26.34,26.79,163700,0,1
2015-10-15,26.69,27.41,26.47,26.85,178900,0,1
2015-10-16,27.0,27.48,26.66,27.3,258800,0,1
2015-10-19,27.28,27.44,26.8,27.2,139700,0,1
2015-10-20,27.1,27.14,25.97,26.27,131500,0,1
2015-10-21,26.22,26.29,25.21,25.42,317200,0,1
2015-10-22,25.61,25.75,25.15,25.49,109500,0,1
2015-10-23,25.64,26.76,25.21,25.71,144600,0,1
2015-10-26,25.66,25.83,25.26,25.65,124100,0,1
2015-10-27,25.44,25.45,24.65,24.7,229700,0,1
2015-10-28,24.77,25.53,24.69,25.51,223100,0,1
2015-10-29,24.85,24.85,24.0,24.39,395300,0,1
2015-10-30,24.46,24.46,22.91,23.13,628700,0,1
2015-11-02,23.27,24.64,22.74,24.23,450000,0,1
2015-11-03,24.18,24.87,23.81,24.5,308100,0,1
2015-11-04,24.44,24.69,23.0,23.16,697200,0,1
2015-11-05,23.26,23.77,22.6,23.55,464900,0,1
2015-11-06,24.0,24.6,20.82,23.04,1473800,0,1
2015-11-09,23.04,23.05,21.805,22.18,499600,0,1
2015-11-10,22.01,22.67,21.6,21.96,331600,0,1
2015-11-11,22.05,22.245,21.573,21.95,138500,0,1
2015-11-12,21.79,22.08,21.26,21.41,127900,0,1
2015-11-13,21.36,21.57,20.74,21.07,196600,0,1
2015-11-16,21.1,21.24,20.64,20.96,149800,0,1
2015-11-17,21.06,21.25,20.38,20.46,213800,0,1
2015-11-18,20.51,21.0,20.31,20.85,315100,0,1
2015-11-19,20.81,20.93,20.36,20.57,124200,0,1
2015-11-20,20.54,21.16,20.54,21.02,109700,0,1
2015-11-23,20.93,21.47,20.9,21.06,126900,0,1
2015-11-24,20.98,21.19,20.69,21.04,120000,0,1
2015-11-25,20.99,21.89,20.9,21.74,180900,0,1
2015-11-27,21.71,21.98,21.48,21.62,46300,0,1
2015-11-30,21.73,21.99,21.39,21.55,199000,0,1
2015-12-01,22.0,22.26,21.04,21.41,175200,0,1
2015-12-02,21.41,21.41,20.97,21.24,125500,0,1
2015-12-03,21.25,22.11,21.07,21.42,173700,0,1
2015-12-04,21.34,21.86,21.185,21.3,131700,0,1
2015-12-07,21.29,21.6,20.71,21.14,203700,0,1
2015-12-08,20.88,21.07,20.65,20.76,104700,0,1
2015-12-09,20.75,21.71,20.6,21.13,136300,0,1
2015-12-10,21.04,22.72,21.04,22.53,917400,0,1
2015-12-11,22.19,22.61,21.91,22.51,130700,0,1
2015-12-14,22.41,22.89,21.07,21.88,144300,0,1
2015-12-15,21.99,22.77,21.99,22.6,142500,0,1
2015-12-16,22.77,22.94,22.35,22.86,97500,0,1
2015-12-17,22.98,23.08,22.34,22.42,103300,0,1
2015-12-18,22.36,23.04,22.02,22.41,86100,0,1
2015-12-21,22.5,22.62,21.85,21.94,126000,0,1
2015-12-22,22.08,22.95,21.78,22.55,200600,0,1
2015-12-23,22.75,22.92,22.24,22.28,95900,0,1
2015-12-24,22.25,22.86,22.15,22.56,32900,0,1
2015-12-28,22.51,22.64,22.02,22.39,143000,0,1
2015-12-29,22.46,22.99,22.45,22.95,93900,0,1
2015-12-30,22.98,23.26,22.811,23.09,85800,0,1
2015-12-31,22.9,23.07,22.63,22.81,117700,0,1
2016-01-04,22.4,22.8,22.05,22.69,220600,0,1
2016-01-05,22.58,23.09,22.52,22.85,175500,0,1
2016-01-06,22.51,23.53,22.4,23.09,183300,0,1
2016-01-07,22.5,22.83,21.432,22.0,118100,0,1
2016-01-08,22.16,22.28,21.75,22.02,145700,0,1
2016-01-11,22.25,23.24,21.255,21.95,210800,0,1
2016-01-12,22.21,23.24,22.06,22.83,167200,0,1
2016-01-13,23.07,23.2,22.51,22.83,127800,0,1
2016-01-14,23.07,24.25,22.51,23.89,358400,0,1
2016-01-15,23.17,24.43,22.75,24.29,333600,0,1
2016-01-19,24.5,24.94,24.34,24.55,226500,0,1
2016-01-20,24.19,24.49,23.3,24.13,246700,0,1
2016-01-21,24.29,25.92,23.99,25.54,377700,0,1
2016-01-22,25.8,25.87,25.33,25.7,215400,0,1
2016-01-25,25.56,25.56,24.39,24.69,108600,0,1
2016-01-26,24.89,25.06,24.26,24.89,102300,0,1
2016-01-27,24.71,24.92,23.5,23.67,118900,0,1
2016-01-28,23.91,24.5,23.69,24.25,253900,0,1
2016-01-29,24.27,24.69,23.77,24.26,106900,0,1
2016-02-01,24.11,24.504,23.87,23.95,176700,0,1
2016-02-02,23.56,24.32,23.3,24.09,68500,0,1
2016-02-03,24.18,24.24,23.63,24.22,189300,0,1
2016-02-04,24.24,24.32,23.86,24.26,169700,0,1
2016-02-05,24.14,24.208,22.67,23.36,150000,0,1
2016-02-08,23.08,23.08,21.68,22.25,125900,0,1
2016-02-09,21.91,22.41,21.11,21.25,100800,0,1
2016-02-10,21.35,22.08,20.73,21.62,131000,0,1
2016-02-11,21.28,22.38,20.918,22.04,166900,0,1
2016-02-12,22.29,22.57,22.13,22.29,196100,0,1
2016-02-16,22.75,22.886,22.0,22.24,65600,0,1
2016-02-17,22.33,22.75,22.24,22.69,97500,0,1
2016-02-18,22.68,22.99,22.37,22.75,250300,0,1
2016-02-19,22.69,23.17,21.935,22.98,162700,0,1
2016-02-22,23.25,23.25,22.71,22.74,80400,0,1
2016-02-23,22.61,23.2,22.39,22.87,58500,0,1
2016-02-24,22.58,23.04,22.28,22.69,164600,0,1
2016-02-25,22.67,23.11,22.285,23.09,60100,0,1
2016-02-26,22.94,22.98,22.16,22.93,119100,0,1
2016-02-29,22.84,24.0,22.79,23.82,183200,0,1
2016-03-01,24.05,24.87,23.76,24.52,151500,0,1
2016-03-02,24.59,25.237,24.44,25.1,162700,0,1
2016-03-03,25.17,26.0,25.13,25.16,319200,0,1
2016-03-04,26.0,26.42,24.255,26.16,1129200,0,1
2016-03-07,26.18,26.335,25.12,25.22,287200,0,1
2016-03-08,24.28,24.75,23.28,24.25,934100,0,1
2016-03-09,24.92,25.2,24.35,24.53,4168100,0,1
2016-03-10,24.55,24.7,23.505,23.75,804400,0,1
2016-03-11,24.06,24.17,23.5,23.77,336600,0,1
2016-03-14,23.59,24.42,23.57,24.2,384000,0,1
2016-03-15,24.08,24.12,22.95,23.06,373800,0,1
2016-03-16,22.91,23.01,22.45,22.73,400300,0,1
2016-03-17,22.62,23.13,22.53,22.97,267300,0,1
2016-03-18,23.05,23.45,22.74,23.05,262600,0,1
2016-03-21,23.06,23.41,23.01,23.03,178900,0,1
2016-03-22,22.74,22.81,22.35,22.5,253100,0,1
2016-03-23,22.37,22.71,22.05,22.4,308200,0,1
2016-03-24,22.24,22.465,21.82,22.0,591200,0,1
2016-03-28,22.14,22.47,22.03,22.08,210800,0,1
2016-03-29,22.12,23.24,22.01,23.21,350600,0,1
2016-03-30,23.29,23.99,23.215,23.73,235200,0,1
2016-03-31,23.82,23.82,22.68,22.68,423300,0,1
2016-04-01,23.2,24.48,23.01,24.28,579100,0,1
2016-04-04,24.22,24.24,23.64,23.77,164100,0,1
2016-04-05,23.55,23.72,22.92,23.72,318300,0,1
2016-04-06,23.83,24.2,23.43,24.02,344100,0,1
2016-04-07,23.96,24.15,23.46,23.93,586700,0,1
2016-04-08,24.03,24.35,23.92,24.25,201400,0,1
2016-04-11,24.4,24.5,23.69,23.74,234100,0,1
2016-04-12,23.68,24.12,23.5,23.78,139400,0,1
2016-04-13,23.91,24.43,23.8,24.41,121000,0,1
2016-04-14,24.32,24.55,23.75,24.28,282400,0,1
2016-04-15,24.28,24.92,24.115,24.74,155200,0,1
2016-04-18,24.64,24.741,24.189,24.28,75300,0,1
2016-04-19,24.56,24.84,24.29,24.76,195400,0,1
2016-04-20,24.71,25.04,24.51,24.9,149600,0,1
2016-04-21,24.9,24.98,24.15,24.26,112800,0,1
2016-04-22,24.18,24.63,23.78,24.57,137800,0,1
