date,open,high,low,close,volume,dividend,split
2000-01-03,25.9306,26.0,24.7778,25.0278,1055700,0,1
2000-01-04,25.0278,25.1667,23.0,24.6667,522400,0,1
2000-01-05,23.5694,25.2222,23.5556,25.1389,612100,0,1
2000-01-06,24.8194,24.8194,23.7222,23.7778,263800,0,1
2000-01-07,23.6667,24.0556,23.1111,23.5139,333900,0,1
2000-01-10,23.4444,25.0,23.4444,24.3056,325800,0,1
2000-01-11,24.1944,24.7778,24.0,24.4722,317800,0,1
2000-01-12,24.3333,24.5556,23.6111,23.8611,512700,0,1
2000-01-13,24.3889,24.4444,23.3333,23.9444,397500,0,1
2000-01-14,23.9444,26.7778,23.7778,26.6389,1008900,0,1
2000-01-18,26.5,26.8889,25.6944,26.4722,630600,0,1
2000-01-19,26.4583,26.6667,26.0,26.3056,277600,0,1
2000-01-20,26.4444,27.9167,26.2778,27.2222,1087800,0,1
2000-01-21,27.4444,27.9444,27.2222,27.9444,298300,0,1
2000-01-24,27.9444,28.8333,27.7778,28.0278,388300,0,1
2000-01-25,28.0,28.2222,27.2778,27.5972,1076500,0,1
2000-01-26,27.7639,27.8333,27.4167,27.5,1212700,0,1
2000-01-27,27.2222,28.6667,27.2222,28.0556,486400,0,1
2000-01-28,28.0278,28.3611,27.5,27.5833,479700,0,1
2000-01-31,27.5833,28.3056,25.4444,26.3056,336700,0,1
2000-02-01,26.6389,27.3611,26.0,26.4722,360100,0,1
2000-02-02,26.4444,26.8333,25.3889,26.2639,494700,0,1
2000-02-03,26.2639,30.5,26.1667,28.8889,1344600,0,1
2000-02-04,29.8889,30.5,29.1111,29.4167,640000,0,1
2000-02-07,29.5278,30.2222,29.2778,29.8889,470200,0,1
2000-02-08,29.7778,31.0556,29.6944,30.25,632800,0,1
2000-02-09,30.25,30.6111,29.9722,29.9722,328500,0,1
2000-02-10,30.25,30.5833,29.3333,29.9167,371700,0,1
2000-02-11,29.3611,29.7222,28.8333,29.0,582400,0,1
2000-02-14,29.1111,30.0,28.75,29.6528,297000,0,1
2000-02-15,29.6667,30.7778,29.5556,29.7222,439800,0,1
2000-02-16,30.0556,31.5,29.4444,30.9444,295800,0,1
2000-02-17,31.3889,31.5,26.6667,26.9444,4403700,0,1
2000-02-18,27.0833,27.5,26.1111,26.8333,1025500,0,1
2000-02-22,27.2083,27.2222,25.0,25.0833,1654800,0,1
2000-02-23,25.5,27.8611,25.0833,27.8333,1073800,0,1
2000-02-24,28.0,28.3889,27.7778,28.1667,425400,0,1
2000-02-25,28.1667,28.1667,27.7778,28.0139,307300,0,1
2000-02-28,28.0139,28.4444,27.6667,28.3333,442900,0,1
2000-02-29,28.1111,29.8889,28.1111,29.5833,534600,0,1
2000-03-01,29.8611,30.2222,28.4444,29.7778,273100,0,1
2000-03-02,29.0139,29.6667,29.0,29.3611,276300,0,1
2000-03-03,29.1944,29.7778,28.8889,29.6389,543100,0,1
2000-03-06,29.6944,30.1111,29.2778,29.5556,245700,0,1
2000-03-07,29.5556,31.1389,29.0556,29.3889,497200,0,1
2000-03-08,29.3333,29.3333,27.8056,28.5,342100,0,1
2000-03-09,28.4722,28.8889,28.2222,28.5,266800,0,1
2000-03-10,28.8889,29.1667,27.8889,27.9722,283500,0,1
2000-03-13,27.8889,28.2778,26.4444,26.9444,257500,0,1
2000-03-14,26.8611,27.5833,26.7222,26.8333,305200,0,1
2000-03-15,27.1667,27.1667,22.5278,25.1389,1178200,0,1
2000-03-16,24.6667,25.1389,19.4444,20.6667,2797800,0,1
2000-03-17,21.1667,21.5,17.6944,19.4861,5892400,0,1
2000-03-20,20.0,22.1111,20.0,20.0,1626000,0,1
2000-03-21,20.3889,22.3333,20.3333,22.0694,1817200,0,1
2000-03-22,19.7778,22.2778,19.5556,20.2778,6015600,0,1
2000-03-23,20.3194,21.0556,20.0,20.5,1671700,0,1
2000-03-24,21.4167,23.6667,21.3333,22.8611,1636300,0,1
2000-03-27,23.1667,23.5556,22.8333,23.3333,414100,0,1
2000-03-28,23.4444,23.4444,22.4444,22.6944,827700,0,1
2000-03-29,22.7639,22.8333,21.8889,22.25,754200,0,1
2000-03-30,22.1111,22.6667,21.3333,21.4444,401100,0,1
2000-03-31,22.0,22.6944,21.1111,22.2222,914400,0,1
2000-04-03,22.1111,22.3889,20.7222,21.3056,825300,0,1
2000-04-04,21.3056,21.9722,19.4444,21.0556,1282900,0,1
2000-04-05,20.6667,22.3333,20.6111,21.8333,1299300,0,1
2000-04-06,21.3333,24.2083,21.3333,23.5556,694800,0,1
2000-04-07,23.7222,24.1111,23.1111,24.0556,652500,0,1
2000-04-10,23.9722,24.1111,21.3333,22.3333,733900,0,1
2000-04-11,21.6944,22.1667,21.1111,21.7778,639600,0,1
2000-04-12,21.7778,21.8333,21.1111,21.1389,837000,0,1
2000-04-13,21.1944,21.6389,21.1111,21.1667,487800,0,1
2000-04-14,21.0556,21.0556,20.4444,20.5278,640300,0,1
2000-04-17,20.5,21.8333,20.2222,21.3611,829500,0,1
2000-04-18,21.7222,22.3889,21.3333,22.1667,711000,0,1
2000-04-19,22.2778,22.5,19.5556,20.6389,958000,0,1
2000-04-20,21.3333,25.3333,21.3333,24.25,2139000,0,1
2000-04-24,23.5,24.6111,22.5,24.1667,780300,0,1
2000-04-25,24.5556,25.7778,24.5,25.6944,439200,0,1
2000-04-26,25.5556,25.7778,24.0,24.25,283000,0,1
2000-04-27,23.5694,25.3333,23.1111,25.1667,523900,0,1
2000-04-28,25.4444,25.8056,24.0556,25.3333,251500,0,1
2000-05-01,25.1389,25.7778,24.7778,25.5,246600,0,1
2000-05-02,25.4722,25.5,23.2222,23.3056,305200,0,1
2000-05-03,23.2778,24.2222,23.0,23.5278,490000,0,1
2000-05-04,23.5556,23.8889,23.2778,23.5,607200,0,1
2000-05-05,23.1667,24.3333,22.9722,24.25,186300,0,1
2000-05-08,24.3333,24.3333,22.3889,22.3889,384900,0,1
2000-05-09,22.7778,23.1389,21.0556,21.5556,404100,0,1
2000-05-10,21.5,21.6111,20.3889,21.1667,504100,0,1
2000-05-11,21.7778,23.7778,21.4444,23.3333,655800,0,1
2000-05-12,23.3056,24.0,23.1944,23.5,299700,0,1
2000-05-15,23.7569,23.7778,22.0,22.7222,369400,0,1
2000-05-16,22.6944,22.8889,22.1111,22.5278,470700,0,1
2000-05-17,22.4861,22.4861,22.0,22.3056,280300,0,1
2000-05-18,22.2222,22.4444,21.8889,22.1667,359200,0,1
2000-05-19,22.3611,22.3611,21.1111,21.3611,233500,0,1
2000-05-22,21.4444,22.4444,20.7778,22.4444,394600,0,1
2000-05-23,22.1667,22.3333,20.7222,20.8333,388000,0,1
2000-05-24,21.1389,22.5556,20.0,22.5278,957300,0,1
2000-05-25,22.5,22.6111,20.7778,20.8333,391000,0,1
2000-05-26,21.1111,21.7778,20.5556,20.8333,373600,0,1
2000-05-30,20.8889,21.6944,20.6667,21.6944,553200,0,1
2000-05-31,21.75,21.7778,21.0556,21.3333,699900,0,1
2000-06-01,21.3611,22.0556,21.3611,22.0278,335700,0,1
2000-06-02,22.1389,23.2778,22.1389,22.75,739000,0,1
2000-06-05,22.8333,23.3889,22.7778,23.2292,615300,0,1
2000-06-06,23.1111,23.4167,22.2222,22.3194,290700,0,1
2000-06-07,22.6667,23.8889,22.3889,23.8889,397300,0,1
2000-06-08,23.6111,24.1111,23.3611,23.5,390700,0,1
2000-06-09,23.5833,23.9722,23.4444,23.7778,119400,0,1
2000-06-12,23.6389,23.8889,22.6944,22.9444,719700,0,1
2000-06-13,22.1111,22.4444,21.1111,21.3889,1074300,0,1
2000-06-14,21.9167,22.0556,20.8889,20.9444,825300,0,1
2000-06-15,20.9028,20.9444,19.8889,20.4722,2140300,0,1
2000-06-16,20.6528,20.8611,19.8333,20.1667,825300,0,1
2000-06-19,20.1528,20.1667,19.5556,19.8056,1006300,0,1
2000-06-20,19.8056,21.1667,19.7778,20.8889,1842300,0,1
