date,open,high,low,close,volume,dividend,split
2011-07-20,17.7767,18.7091,10.1341,11.1537,18751900,0,1
2011-07-21,11.9613,12.1609,10.29,10.3524,3136100,0,1
2011-07-22,10.3648,10.9916,10.29,10.686,1208300,0,1
2011-07-25,10.6018,11.1631,10.6018,11.1007,854000,0,1
2011-07-26,11.3626,11.4125,10.8357,11.3595,952400,0,1
2011-07-27,11.3564,11.3564,10.3711,10.4646,810000,0,1
2011-07-28,10.5457,10.8949,10.5239,10.5706,513400,0,1
2011-07-29,10.1341,10.29,9.947,10.0468,533300,0,1
2011-08-01,10.2775,10.2775,9.4075,9.4231,413300,0,1
2011-08-02,9.4481,9.4481,8.4534,8.5282,1058600,0,1
2011-08-03,8.6748,8.9242,8.5407,8.8806,634900,0,1
2011-08-04,8.9648,9.2485,8.8089,8.8587,737900,0,1
2011-08-05,9.0053,9.1176,7.8329,8.7808,667600,0,1
2011-08-08,8.0012,8.4191,7.8734,8.1353,771600,0,1
2011-08-09,8.1104,8.8026,8.1104,8.7184,500900,0,1
2011-08-10,8.6062,8.7309,8.3661,8.5345,195300,0,1
2011-08-11,8.7215,8.8307,8.3442,8.4191,275100,0,1
2011-08-12,8.5376,8.5875,8.2413,8.3099,350500,0,1
2011-08-15,8.4097,8.4097,7.8734,7.9576,397900,0,1
2011-08-16,7.8516,7.9482,7.3589,7.5148,527800,0,1
2011-08-17,7.493,7.5616,7.4244,7.5273,190800,0,1
2011-08-18,7.4493,7.6707,7.3059,7.4805,218300,0,1
2011-08-19,7.3277,7.652,7.3277,7.546,427400,0,1
2011-08-22,7.7237,7.7237,7.4524,7.4712,283800,0,1
2011-08-23,7.521,7.6551,7.3527,7.6333,213500,0,1
2011-08-24,7.6364,8.4035,7.6364,8.1883,549000,0,1
2011-08-25,8.4503,10.6423,8.4503,9.4325,1900400,0,1
2011-08-26,9.6851,9.9782,8.7496,9.7848,1034200,0,1
2011-08-29,10.0561,10.5394,9.7537,10.3025,921300,0,1
2011-08-30,10.4397,11.3658,10.2401,10.9542,1975800,0,1
2011-08-31,11.2972,11.7524,10.9978,11.5934,1326700,0,1
2011-09-01,11.7088,11.846,11.2878,11.5061,672100,0,1
2011-09-02,11.0882,11.2254,10.8076,10.8949,549600,0,1
2011-09-06,10.2339,10.8045,9.9906,10.6798,450900,0,1
2011-09-07,10.9604,11.3782,10.7141,11.2535,406600,0,1
2011-09-08,11.2254,11.2629,10.8076,11.1381,191700,0,1
2011-09-09,10.8481,11.5778,10.739,11.5154,544200,0,1
2011-09-12,11.3751,11.6901,11.0758,11.6246,573400,0,1
2011-09-13,11.6932,11.6932,11.2286,11.6869,282200,0,1
2011-09-14,11.6776,11.6776,10.7577,10.7608,833400,0,1
2011-09-15,10.8357,10.8357,9.4793,9.6196,849800,0,1
2011-09-16,9.6508,9.6508,8.8868,9.102,774400,0,1
2011-09-19,8.8868,9.3327,8.8868,8.9679,291800,0,1
2011-09-20,8.9648,9.2984,8.3255,8.3474,395400,0,1
2011-09-21,8.3287,8.8213,8.1977,8.6592,334400,0,1
2011-09-22,8.8681,8.8681,8.3785,8.7309,379700,0,1
2011-09-23,8.8712,8.8712,8.3536,8.3785,279300,0,1
2011-09-26,8.4191,8.7309,7.8266,8.2445,332800,0,1
2011-09-27,8.3848,8.787,8.2663,8.7278,278000,0,1
2011-09-28,9.1363,9.1363,8.6124,8.8307,471700,0,1
2011-09-29,9.049,9.1363,8.2226,8.7777,371600,0,1
2011-09-30,8.7309,8.8057,8.1104,8.5282,1827300,0,1
2011-10-03,8.3973,8.7091,7.9607,8.0605,440000,0,1
2011-10-04,7.9545,8.0543,7.7331,7.9514,481600,0,1
2011-10-05,7.9077,7.9514,7.7362,7.9451,205200,0,1
2011-10-06,7.9202,8.154,7.7424,8.0605,219000,0,1
2011-10-07,8.0387,8.2476,7.8017,7.8734,161300,0,1
2011-10-10,8.073,8.1696,7.9202,8.1696,277400,0,1
2011-10-11,8.101,8.2663,7.8266,8.1821,103500,0,1
2011-10-12,8.1665,8.2663,7.8734,7.9514,304900,0,1
2011-10-13,7.8266,8.0293,7.8017,7.8672,154800,0,1
2011-10-14,8.0262,8.6717,7.8578,8.6436,316200,0,1
2011-10-17,8.6093,8.6405,7.8422,8.2258,229900,0,1
2011-10-18,8.3193,9.0271,8.1977,8.9959,416200,0,1
2011-10-19,8.9211,9.3015,8.2632,8.3162,306500,0,1
2011-10-20,8.2881,8.3567,8.2102,8.2944,136900,0,1
