symbol,buy_date
RGEN,2020-11-12
U,2020-10-22
EQIX,2020-10-08
LOGI,2020-09-24
RDFN,2020-09-10
BL,2020-08-27
ETSY,2020-08-13
WING,2020-07-23
LULU,2020-07-09
STAA,2020-06-25
HUBS,2020-06-11
LVGO,2020-05-28
QDEL,2020-05-14
BYND,2020-04-23
DOCU,2020-04-09
QDEL,2020-03-26
CSGP,2020-03-12
SE,2020-02-27
NEE,2020-02-13
PINS,2020-01-23
ISRG,2020-01-09
FRPT,2019-12-19
PODD,2019-12-05
PTON,2019-11-27
ETSY,2019-11-14
DDOG,2019-10-24
NVCR,2019-10-10
ZUO,2019-09-26
TDOC,2019-09-12
FSLY,2019-08-22
EDU,2019-08-08
RGEN,2019-07-25
ROKU,2019-07-11
NVCR,2019-06-27
ZG,2019-06-13
UBER,2019-05-23
CRM,2019-05-09
SWAV,2019-04-25
FIVE,2019-04-11
XLNX,2019-03-28
ROKU,2019-03-14
RDFN,2019-02-28
GH,2019-02-14
NEE,2019-01-24
SKX,2019-01-10
BILI,2018-12-20
ZEN,2018-12-06
GH,2018-11-21
UPWK,2018-11-08
UPWK,2018-10-25
EA,2018-10-11
GDDY,2018-09-27
TWLO,2018-09-13
SFIX,2018-08-23
YNDX,2018-08-09
DOCU,2018-07-26
MDB,2018-07-12
BZUN,2018-06-28
IQ,2018-06-14
CRM,2018-05-24
HUBS,2018-05-10
IQ,2018-04-25
AAXN,2018-04-25
BMY,2018-03-28
NTNX,2018-03-28
PANW,2018-02-28
MDB,2018-02-28
ANAB,2018-01-24
AYX,2018-01-24
EDIT,2017-12-20
CWH,2017-11-22
TDOC,2017-11-22
ABMD,2017-10-25
EDIT,2017-09-27
TCEHY,2017-09-27
ALGN,2017-08-23
HUBS,2017-08-23
FSLR,2017-07-26
LYV,2017-07-26
BLUE,2017-06-28
TTD,2017-05-24
MOMO,2017-05-24
MELI,2017-04-26
ABMD,2017-04-26
VEEV,2017-03-22
LYV,2017-03-22
TTD,2017-02-22
TREX,2017-02-22
TWLO,2017-01-25
TWTR,2017-01-25
CWH,2016-12-21
UI,2016-11-23
ETSY,2016-11-23
TWOU,2016-10-26
RMD,2016-10-26
TEAM,2016-09-28
CMG,2016-09-28
IT,2016-08-24
UA,2016-08-24
MSTR,2016-07-27
TWOU,2016-07-27
NUVA,2016-06-22
EA,2016-06-22
NTES,2016-05-25
AX,2016-04-27
AVGO,2016-04-27
SHOP,2016-03-23
WDAY,2016-03-23
SHOP,2016-02-24
PLNT,2016-01-27
ICE,2016-01-27
CYBR,2015-11-25
TTWO,2015-11-25
AAXN,2015-10-28
BIIB,2015-10-28
SKX,2015-09-23
W,2015-08-26
NXPI,2015-07-22
SWKS,2015-07-22
PLAY,2015-06-24
LGF-A,2015-05-27
CERN,2015-04-22
EEFT,2015-03-25
TRIP,2015-02-25
BIDU,2015-02-25
TRUE,2015-01-28
BLUE,2015-01-28
MELI,2014-12-23
ZEN,2014-12-23
SSNC,2014-11-25
ANET,2014-11-25
VEEV,2014-09-24
PRLB,2014-08-27
MSTR,2014-07-23
CAMP,2014-06-25
ALGN,2014-06-25
PODD,2014-05-28
SPLK,2014-05-28
FIVE,2014-04-23
PANW,2014-04-23
NUVA,2014-03-26
ZG,2014-02-26
UI,2014-01-22
TWTR,2013-12-18
IONS,2013-11-27
YELP,2013-11-27
MIDD,2013-10-23
CSGP,2013-09-25
ALNY,2013-07-24
SIRI,2013-06-26
GTLS,2013-06-26
AX,2013-05-22
SGEN,2013-04-24
MIDD,2013-03-27
EQIX,2013-03-27
BMY,2013-02-27
ISRG,2013-01-23
TILE,2012-12-19
AMCX,2012-12-19
AX,2012-11-21
MTZ,2012-11-21
FB,2012-10-24
YNDX,2012-09-26
FB,2012-07-25
TREX,2012-07-25
PRLB,2012-06-27
TRIP,2012-05-23
ZG,2012-04-25
MELI,2012-01-25
ISRG,2012-01-25
CRM,2011-12-21
TSLA,2011-11-23
ZG,2011-09-28
EBS,2011-04-27
NXPI,2011-03-23
LULU,2010-12-22
JOBS,2010-07-28
OLED,2010-06-23
EDU,2010-04-28
LPSN,2010-02-24
EXAS,2010-02-24
AMT,2009-12-23
FDS,2009-08-19
GOOGL,2009-07-15
CPRT,2009-04-15
CHKP,2009-04-15
OTEX,2009-03-18
MELI,2009-02-18
MNST,2009-01-21
CRM,2009-01-21
ISRG,2008-11-19
SOHU,2008-11-19
BIDU,2008-08-20
AVAV,2008-08-20
VMW,2008-05-21
GOOGL,2008-05-21
IPGP,2008-03-19
TTWO,2007-12-19
INFN,2007-11-21
TTWO,2007-09-19
UAA,2007-09-19
VRTX,2007-07-18
BMRN,2007-05-16
IPGP,2007-04-18
EXEL,2007-03-21
CMG,2007-01-17
BLKB,2006-11-15
BIDU,2006-10-18
MNTA,2006-08-16
UAA,2006-07-19
ISRG,2006-02-15
IRBT,2005-12-21
EXEL,2005-10-19
ISRG,2005-09-21
OLED,2005-05-18
ISRG,2005-03-16
VRTX,2005-01-19
NTES,2004-12-15
