symbol,buy_date
FVRR,2020-11-05
ADSK,2020-10-15
PINS,2020-10-01
BAND,2020-09-17
FVRR,2020-09-03
JD,2020-08-20
WIX,2020-08-06
ASML,2020-07-17
CRWD,2020-07-02
WEX,2020-06-18
CRWD,2020-06-04
GMED,2020-05-21
NOW,2020-05-07
ZM,2020-04-16
SHOP,2020-04-02
ZM,2020-03-19
LKNCY,2020-03-05
DXCM,2020-02-20
NVTA,2020-02-06
NICE,2020-01-16
TSLA,2020-01-02
ACN,2019-12-19
HUBS,2019-12-05
NFLX,2019-11-21
TTD,2019-11-07
NBIX,2019-10-17
ZM,2019-10-03
SEDG,2019-09-19
WORK,2019-09-05
JKHY,2019-08-15
CWBHF,2019-08-01
ZNGA,2019-07-18
ZM,2019-07-03
WM,2019-06-20
HQY,2019-06-06
SNPS,2019-05-16
WIX,2019-05-02
ZNGA,2019-04-18
OLLI,2019-04-04
HRC,2019-03-21
TWLO,2019-03-07
NTDOY,2019-02-21
APPN,2019-02-07
HA,2019-01-17
TWLO,2019-01-03
TLK,2018-12-13
MA,2018-11-29
ZBRA,2018-11-15
ZS,2018-11-01
AMZN,2018-10-18
SQ,2018-10-04
UNP,2018-09-20
SFIX,2018-09-06
ALK,2018-08-16
ANET,2018-08-02
BB,2018-07-19
SFIX,2018-07-05
AMGN,2018-06-21
WIX,2018-06-07
NEWR,2018-05-17
SHOP,2018-05-03
SHOP,2018-04-20
OKTA,2018-04-20
MKL,2018-03-15
CRUS,2018-03-15
VRNS,2018-02-16
FICO,2018-02-16
PAYC,2018-01-19
OKTA,2018-01-19
APPN,2017-12-15
MTN,2017-12-15
TLND,2017-11-17
CME,2017-11-17
TTD,2017-10-20
HCA,2017-10-20
ANET,2017-09-15
MMM,2017-09-15
LOPE,2017-08-18
JD,2017-08-18
IRBT,2017-07-21
CGNX,2017-07-21
PAYC,2017-06-16
TXT,2017-06-16
CMG,2017-05-19
ODFL,2017-05-19
MAR,2017-04-21
FTNT,2017-04-21
WAL,2017-03-17
BDX,2017-03-17
BWA,2017-02-17
TSCO,2017-02-17
ROL,2017-01-20
NVDA,2017-01-20
MA,2016-12-16
MASI,2016-12-16
MKL,2016-11-18
JBLU,2016-11-18
NKE,2016-10-21
PAC,2016-10-21
SBUX,2016-09-16
ALKS,2016-09-16
FB,2016-08-19
MTCH,2016-08-19
SHOP,2016-07-15
TMUS,2016-07-15
SIVB,2016-06-17
ECL,2016-06-17
BRK.B,2016-05-20
STMP,2016-05-20
MTCH,2016-04-15
WDAY,2016-03-18
ILMN,2016-03-18
GOOG,2016-02-19
CRTO,2016-01-22
TXRH,2016-01-22
KMI,2015-12-18
NYT,2015-12-18
AMG,2015-11-20
BUD,2015-11-20
ROP,2015-10-16
DBI,2015-10-16
MAR,2015-09-18
NVO,2015-09-18
MYL,2015-08-21
UHAL,2015-07-17
CMG,2015-06-19
NDAQ,2015-05-15
JEF,2015-04-17
CASY,2015-04-17
RH,2015-03-20
FB,2015-02-20
XPO,2015-01-16
RPM,2015-01-16
IBKR,2014-12-19
ATVI,2014-12-19
MKL,2014-10-17
MKC,2014-10-17
CTSH,2014-09-19
JWN,2014-09-19
BKNG,2014-08-15
SWIR,2014-08-15
CRTO,2014-07-18
IDXX,2014-07-18
SHW,2014-06-20
CGNX,2014-06-20
LGF.A,2014-05-16
CLB,2014-04-17
CRI,2014-04-17
LFUS,2014-03-21
CVS,2014-02-21
JEF,2014-01-17
CBOE,2014-01-17
H,2013-10-18
SWIR,2013-09-20
TXRH,2013-08-16
MA,2013-06-21
NFLX,2013-06-21
MTN,2013-05-17
MA,2013-04-19
KMX,2013-03-15
CMG,2013-02-15
WSM,2012-12-21
TSLA,2012-11-16
INTU,2012-11-16
WAB,2012-10-19
DAR,2012-09-21
BKNG,2012-08-17
KMI,2012-08-17
GOOG,2012-07-20
TDG,2012-07-20
DDD,2012-06-15
RHI,2012-05-16
LKQ,2012-05-16
HEI,2012-04-20
CLNE,2012-03-16
ULTA,2012-01-20
DDD,2012-01-20
OII,2011-11-18
SBUX,2011-11-18
PEGA,2011-10-21
WSM,2011-09-16
CMI,2011-09-16
GLW,2011-08-19
BCPC,2011-07-15
AAPL,2011-06-17
IIVI,2011-03-18
TNC,2011-01-21
CGNX,2011-01-21
AMZN,2010-12-17
WSO,2010-11-19
GILD,2010-09-17
DISCK,2010-08-20
NKE,2010-07-16
BKNG,2010-06-18
SAM,2010-05-21
DISCK,2010-03-19
NVDA,2009-12-18
AFL,2009-11-20
HAS,2009-10-16
DASTY,2009-09-18
ADBE,2009-08-21
IBKR,2009-06-19
BRK.B,2009-05-15
MCK,2009-02-20
NATI,2009-01-16
CTAS,2008-12-19
DIS,2008-12-19
NATI,2008-10-17
ATVI,2008-09-19
ILMN,2008-07-18
AAPL,2008-06-20
SHW,2008-03-20
CNI,2008-03-20
AAPL,2008-01-18
NFLX,2007-06-15
BRK.B,2007-04-20
MTH,2007-03-16
NTGR,2007-03-16
FDX,2006-12-15
NFLX,2006-09-15
AFL,2006-06-16
NFLX,2006-06-16
SBUX,2006-02-17
NVDA,2005-04-15
SAFT,2005-02-18
SLAB,2005-01-21
NFLX,2004-12-17
NFLX,2004-10-01
DIS,2004-08-20
UNH,2004-05-21
BKNG,2004-05-21
DIS,2003-07-11
HAS,2003-04-11
DIS,2003-03-07
ATVI,2003-02-07
BWA,2003-01-10
FDX,2003-01-10
UNH,2002-12-13
DIS,2002-11-08
AMZN,2002-09-06
ATVI,2002-08-09
DIS,2002-06-07
PYPL,2002-05-10
COST,2002-04-12
